ARMA,EDAD
CONTUNDENTES,ADULTOJOVEN
ARMA DE FUEGO,ADULTO
ARMA DE FUEGO,ADULTO
ARMA DE FUEGO,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTO
ARMA DE FUEGO,ADULTOMAYOR
ARMA BLANCA / CORTOPUNZANTE,ADULTOJOVEN
SIN EMPLEO DE ARMAS,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTO
ARMA BLANCA / CORTOPUNZANTE,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTO
ARMA DE FUEGO,ADULTO
ARMA DE FUEGO,ADULTO
ARMA BLANCA / CORTOPUNZANTE,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTO
ARMA BLANCA / CORTOPUNZANTE,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTO
SIN EMPLEO DE ARMAS,ADULTOJOVEN
SIN EMPLEO DE ARMAS,ADULTOJOVEN
CONTUNDENTES,ADULTO
SIN EMPLEO DE ARMAS,ADULTOJOVEN
CONTUNDENTES,ADULTOMAYOR
ARMA BLANCA / CORTOPUNZANTE,ADULTO
SIN EMPLEO DE ARMAS,ADULTOJOVEN
ARMA DE FUEGO,ADULTOMAYOR
SIN EMPLEO DE ARMAS,ADULTOJOVEN
ARMA DE FUEGO,ANCIANO
ARMA BLANCA / CORTOPUNZANTE,ADULTO
SIN EMPLEO DE ARMAS,ADULTOMAYOR
ARMA DE FUEGO,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTO
CONTUNDENTES,ADULTOJOVEN
SIN EMPLEO DE ARMAS,ADULTO
CONTUNDENTES,ADULTOJOVEN
PERRO,ADULTOJOVEN
CONTUNDENTES,ADULTO
ARMA BLANCA / CORTOPUNZANTE,ADULTO
ARMA BLANCA / CORTOPUNZANTE,ADULTO
SIN EMPLEO DE ARMAS,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTOJOVEN
SIN EMPLEO DE ARMAS,ADULTO
CONTUNDENTES,ANCIANO
ESCOPOLAMINA,ADULTO
ARMA DE FUEGO,ADULTOMAYOR
ARMA BLANCA / CORTOPUNZANTE,ADULTO
ARMA DE FUEGO,ADULTOJOVEN
CONTUNDENTES,ADULTO
SIN EMPLEO DE ARMAS,ADULTO
ARMA BLANCA / CORTOPUNZANTE,ADULTOJOVEN
SIN EMPLEO DE ARMAS,ADULTO
SIN EMPLEO DE ARMAS,ADULTOJOVEN
SIN EMPLEO DE ARMAS,ADOLESCENTE
SIN EMPLEO DE ARMAS,ADULTOJOVEN
ARMA BLANCA / CORTOPUNZANTE,ADULTO
