ARMA,MOVILVICTIMA
CONTUNDENTES,A PIE
ARMA DE FUEGO,A PIE
ARMA DE FUEGO,A PIE
ARMA DE FUEGO,A PIE
ARMA BLANCA / CORTOPUNZANTE,VEHICULO
ARMA DE FUEGO,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
SIN EMPLEO DE ARMAS,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA DE FUEGO,TRANSPORTE PUBLICO
ARMA DE FUEGO,MOTOCICLETA
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,MOTOCICLETA
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
SIN EMPLEO DE ARMAS,A PIE
SIN EMPLEO DE ARMAS,A PIE
CONTUNDENTES,A PIE
SIN EMPLEO DE ARMAS,A PIE
CONTUNDENTES,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
SIN EMPLEO DE ARMAS,A PIE
ARMA DE FUEGO,A PIE
SIN EMPLEO DE ARMAS,VEHICULO
ARMA DE FUEGO,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
SIN EMPLEO DE ARMAS,A PIE
ARMA DE FUEGO,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
CONTUNDENTES,A PIE
SIN EMPLEO DE ARMAS,A PIE
CONTUNDENTES,A PIE
PERRO,A PIE
CONTUNDENTES,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
SIN EMPLEO DE ARMAS,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
SIN EMPLEO DE ARMAS,A PIE
CONTUNDENTES,A PIE
ESCOPOLAMINA,A PIE
ARMA DE FUEGO,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA DE FUEGO,A PIE
CONTUNDENTES,A PIE
SIN EMPLEO DE ARMAS,MOTOCICLETA
ARMA BLANCA / CORTOPUNZANTE,A PIE
SIN EMPLEO DE ARMAS,A PIE
SIN EMPLEO DE ARMAS,A PIE
SIN EMPLEO DE ARMAS,A PIE
SIN EMPLEO DE ARMAS,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
CONTUNDENTES,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA DE FUEGO,A PIE
SIN EMPLEO DE ARMAS,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
ARMA BLANCA / CORTOPUNZANTE,BICICLETA
SIN EMPLEO DE ARMAS,A PIE
ARMA BLANCA / CORTOPUNZANTE,A PIE
