ARMA,NACIONALIDAD
CONTUNDENTES,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
CONTUNDENTES,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
CONTUNDENTES,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA DE FUEGO,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
CONTUNDENTES,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
CONTUNDENTES,COLOMBIA
PERRO,COLOMBIA
CONTUNDENTES,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
CONTUNDENTES,COLOMBIA
ESCOPOLAMINA,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA DE FUEGO,COLOMBIA
CONTUNDENTES,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
CONTUNDENTES,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA DE FUEGO,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA DE FUEGO,-
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA DE FUEGO,COLOMBIA
LLAVE MAESTRA,COLOMBIA
CONTUNDENTES,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA DE FUEGO,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
CONTUNDENTES,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
CONTUNDENTES,COLOMBIA
CONTUNDENTES,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
CONTUNDENTES,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA DE FUEGO,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
ARMA BLANCA / CORTOPUNZANTE,COLOMBIA
SIN EMPLEO DE ARMAS,COLOMBIA
