ARMA,SEXO
CONTUNDENTES,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA DE FUEGO,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
CONTUNDENTES,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
CONTUNDENTES,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
CONTUNDENTES,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
CONTUNDENTES,MASCULINO
PERRO,FEMENINO
CONTUNDENTES,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
CONTUNDENTES,FEMENINO
ESCOPOLAMINA,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA DE FUEGO,MASCULINO
CONTUNDENTES,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
CONTUNDENTES,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA DE FUEGO,-
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
LLAVE MAESTRA,FEMENINO
CONTUNDENTES,FEMENINO
ARMA DE FUEGO,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
CONTUNDENTES,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
CONTUNDENTES,MASCULINO
CONTUNDENTES,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
CONTUNDENTES,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
CONTUNDENTES,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
CONTUNDENTES,FEMENINO
CONTUNDENTES,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
CONTUNDENTES,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA DE FUEGO,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA DE FUEGO,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
CONTUNDENTES,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA DE FUEGO,FEMENINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
CONTUNDENTES,FEMENINO
ARMA DE FUEGO,FEMENINO
CONTUNDENTES,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA DE FUEGO,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
ARMA DE FUEGO,MASCULINO
ARMA DE FUEGO,MASCULINO
CONTUNDENTES,FEMENINO
LLAVE MAESTRA,FEMENINO
LLAVE MAESTRA,FEMENINO
CONTUNDENTES,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,MASCULINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
SIN EMPLEO DE ARMAS,FEMENINO
CONTUNDENTES,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,MASCULINO
CONTUNDENTES,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA DE FUEGO,FEMENINO
ARMA BLANCA / CORTOPUNZANTE,FEMENINO
