BARRIO,ARMA
JARDIN,CONTUNDENTES
CIUDADELA DEL NORTE,ARMA DE FUEGO
VDA. SAN FELIX,ARMA DE FUEGO
SANTA RITA,ARMA DE FUEGO
VDA. SAN FELIX,ARMA BLANCA / CORTOPUNZANTE
LA ARBOLEDA,ARMA DE FUEGO
ALCALA,ARMA BLANCA / CORTOPUNZANTE
CAMPO VALDES 1  C-4,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LOS CERROS EL VERGEL  C-9,ARMA BLANCA / CORTOPUNZANTE
MANRIQUE 1  C-4,ARMA DE FUEGO
SAN PEDRO  C-4,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
DOCE DE OCTUBRE C-6,ARMA BLANCA / CORTOPUNZANTE
EL DIAMANTE C-7,ARMA BLANCA / CORTOPUNZANTE
SAN JAVIER 1 C-13,ARMA BLANCA / CORTOPUNZANTE
BARRIO CAYCEDO C-9,ARMA BLANCA / CORTOPUNZANTE
ARANJUEZ  C-4,SIN EMPLEO DE ARMAS
SEVILLA  C-4,SIN EMPLEO DE ARMAS
FLORIDA NUEVA C-11,CONTUNDENTES
PARQUE PRINCIPAL,SIN EMPLEO DE ARMAS
AVENIDA NAPOLES,CONTUNDENTES
EL LLANITO,ARMA BLANCA / CORTOPUNZANTE
CALLE CALIENTE,SIN EMPLEO DE ARMAS
SANTO DOMINGO DE GUZMAN,ARMA DE FUEGO
CARRIZAL,SIN EMPLEO DE ARMAS
EL BOSQUE,ARMA DE FUEGO
CARRIZAL,ARMA BLANCA / CORTOPUNZANTE
ABAJO,SIN EMPLEO DE ARMAS
EL BOSQUE,ARMA DE FUEGO
ABAJO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,CONTUNDENTES
CHAMBACU,SIN EMPLEO DE ARMAS
NUEVO PORVENIR,CONTUNDENTES
13 DE JUNIO,PERRO
S. JOSE DE LOS CAMPANOS,CONTUNDENTES
BARRIO CENTRO,ARMA BLANCA / CORTOPUNZANTE
BARRIO ABAJO,ARMA BLANCA / CORTOPUNZANTE
LA PAZ,SIN EMPLEO DE ARMAS
ZONA ROSA,ARMA BLANCA / CORTOPUNZANTE
SAN JAVIER,SIN EMPLEO DE ARMAS
BARRIO GALERIAS,CONTUNDENTES
BARRIO GALERIAS,ESCOPOLAMINA
LAS MALVINAS,ARMA DE FUEGO
SITIO O VDA LOS FAROLES,ARMA BLANCA / CORTOPUNZANTE
ALFONSO LOPEZ,ARMA DE FUEGO
PANAMERICANO,CONTUNDENTES
NUEVA COLOMBIA,SIN EMPLEO DE ARMAS
URB.VILLA DARIANA,ARMA BLANCA / CORTOPUNZANTE
BAHIA SOLANO,SIN EMPLEO DE ARMAS
LA VICTORIA,SIN EMPLEO DE ARMAS
SAN FRANCISCO,SIN EMPLEO DE ARMAS
27 DE JULIO,SIN EMPLEO DE ARMAS
CASERÌO LOS VENADOS,ARMA BLANCA / CORTOPUNZANTE
LA GLORIA,CONTUNDENTES
FURATENA,ARMA BLANCA / CORTOPUNZANTE
LOS ALAMOS,ARMA BLANCA / CORTOPUNZANTE
RANCHERIA,ARMA DE FUEGO
LA CATEDRAL E-17,SIN EMPLEO DE ARMAS
EL RINCON E-11,ARMA BLANCA / CORTOPUNZANTE
CASA BLANCA E-11,ARMA BLANCA / CORTOPUNZANTE
PATIO BONITO I E-8,ARMA BLANCA / CORTOPUNZANTE
URB. MANUELA BELTRAN E-19,SIN EMPLEO DE ARMAS
EL TINTAL E-8,ARMA BLANCA / CORTOPUNZANTE
TIMIZA CELULA A LOTE RA-2 E-8,SIN EMPLEO DE ARMAS
BILBAO E-11,ARMA BLANCA / CORTOPUNZANTE
DANIEL ORTEGA,ARMA DE FUEGO
LA FLORIDA,ARMA BLANCA / CORTOPUNZANTE
KENEDDY,SIN EMPLEO DE ARMAS
ALTOS DEL PARRANTIAL,ARMA DE FUEGO
COOPERATIVO,ARMA DE FUEGO
CORREGIMIENTO MATITAS,LLAVE MAESTRA
LA VICTORIA,CONTUNDENTES
JOSE ANTONIO GALAN,ARMA DE FUEGO
TIMANCO,ARMA BLANCA / CORTOPUNZANTE
ALFONSO LOPEZ,SIN EMPLEO DE ARMAS
TIMANCO,ARMA BLANCA / CORTOPUNZANTE
CALAMO,ARMA BLANCA / CORTOPUNZANTE
5 DE FEBRERO,SIN EMPLEO DE ARMAS
CENTRO,ARMA DE FUEGO
CENTRO,SIN EMPLEO DE ARMAS
VEREDA APIAY,CONTUNDENTES
PORFIA,ARMA BLANCA / CORTOPUNZANTE
BALATA,CONTUNDENTES
OKAVANGO,CONTUNDENTES
7 DE AGOSTO,SIN EMPLEO DE ARMAS
13 DE MAYO,SIN EMPLEO DE ARMAS
VEREDA CANHOS NEGROS,SIN EMPLEO DE ARMAS
VDA CONSUELO DE CHINYANQUER,CONTUNDENTES
VEREDA CHIRANQUER,SIN EMPLEO DE ARMAS
SAN FERNANDO,ARMA DE FUEGO
FATIMA,ARMA BLANCA / CORTOPUNZANTE
TERMINAL,ARMA BLANCA / CORTOPUNZANTE
LA ESPERANZA,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
VILLA DOCENTE,ARMA BLANCA / CORTOPUNZANTE
VILLAFLOR II,ARMA BLANCA / CORTOPUNZANTE
CHAPAL,SIN EMPLEO DE ARMAS
TAMASAGRA I,SIN EMPLEO DE ARMAS
LOS FUNDADORES,ARMA BLANCA / CORTOPUNZANTE
VILLAFLOR II,ARMA BLANCA / CORTOPUNZANTE
SANTIAGO,ARMA BLANCA / CORTOPUNZANTE
VISTA HERMOSA,ARMA BLANCA / CORTOPUNZANTE
