BARRIO,EDAD
JARDIN,ADULTOJOVEN
CIUDADELA DEL NORTE,ADULTO
VDA. SAN FELIX,ADULTO
SANTA RITA,ADULTOJOVEN
VDA. SAN FELIX,ADULTO
LA ARBOLEDA,ADULTOMAYOR
ALCALA,ADULTOJOVEN
CAMPO VALDES 1  C-4,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
LOS CERROS EL VERGEL  C-9,ADULTO
MANRIQUE 1  C-4,ADULTO
SAN PEDRO  C-4,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
DOCE DE OCTUBRE C-6,ADULTO
EL DIAMANTE C-7,ADULTOJOVEN
SAN JAVIER 1 C-13,ADULTOJOVEN
BARRIO CAYCEDO C-9,ADULTO
ARANJUEZ  C-4,ADULTOJOVEN
SEVILLA  C-4,ADULTOJOVEN
FLORIDA NUEVA C-11,ADULTO
PARQUE PRINCIPAL,ADULTOJOVEN
AVENIDA NAPOLES,ADULTOMAYOR
EL LLANITO,ADULTO
CALLE CALIENTE,ADULTOJOVEN
SANTO DOMINGO DE GUZMAN,ADULTOMAYOR
CARRIZAL,ADULTOJOVEN
EL BOSQUE,ANCIANO
CARRIZAL,ADULTO
ABAJO,ADULTOMAYOR
EL BOSQUE,ADULTOJOVEN
ABAJO,ADULTO
CENTRO,ADULTOJOVEN
CHAMBACU,ADULTO
NUEVO PORVENIR,ADULTOJOVEN
13 DE JUNIO,ADULTOJOVEN
S. JOSE DE LOS CAMPANOS,ADULTO
BARRIO CENTRO,ADULTO
BARRIO ABAJO,ADULTO
LA PAZ,ADULTOJOVEN
ZONA ROSA,ADULTOJOVEN
SAN JAVIER,ADULTO
BARRIO GALERIAS,ANCIANO
BARRIO GALERIAS,ADULTO
LAS MALVINAS,ADULTOMAYOR
SITIO O VDA LOS FAROLES,ADULTO
ALFONSO LOPEZ,ADULTOJOVEN
PANAMERICANO,ADULTO
NUEVA COLOMBIA,ADULTO
URB.VILLA DARIANA,ADULTOJOVEN
BAHIA SOLANO,ADULTO
LA VICTORIA,ADULTOJOVEN
SAN FRANCISCO,ADOLESCENTE
27 DE JULIO,ADULTOJOVEN
CASERÌO LOS VENADOS,ADULTO
LA GLORIA,ADULTOJOVEN
FURATENA,ADULTOJOVEN
LOS ALAMOS,ADULTO
RANCHERIA,ADULTOJOVEN
LA CATEDRAL E-17,ADULTOJOVEN
EL RINCON E-11,ADULTO
CASA BLANCA E-11,ADULTOJOVEN
PATIO BONITO I E-8,ADULTOMAYOR
URB. MANUELA BELTRAN E-19,ADULTO
EL TINTAL E-8,ADULTOMAYOR
TIMIZA CELULA A LOTE RA-2 E-8,ADULTOJOVEN
BILBAO E-11,ADULTO
DANIEL ORTEGA,OTRA
LA FLORIDA,ADULTOMAYOR
KENEDDY,ADULTO
ALTOS DEL PARRANTIAL,ADULTO
COOPERATIVO,ADULTO
CORREGIMIENTO MATITAS,ADULTOJOVEN
