BARRIO,MOVILAGRESOR
JARDIN,A PIE
CIUDADELA DEL NORTE,A PIE
VDA. SAN FELIX,A PIE
SANTA RITA,MOTOCICLETA
VDA. SAN FELIX,MOTOCICLETA
LA ARBOLEDA,MOTOCICLETA
ALCALA,MOTOCICLETA
CAMPO VALDES 1  C-4,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LOS CERROS EL VERGEL  C-9,A PIE
MANRIQUE 1  C-4,MOTOCICLETA
SAN PEDRO  C-4,VEHICULO
LA CANDELARIA C-10,A PIE
DOCE DE OCTUBRE C-6,MOTOCICLETA
EL DIAMANTE C-7,MOTOCICLETA
SAN JAVIER 1 C-13,A PIE
BARRIO CAYCEDO C-9,MOTOCICLETA
ARANJUEZ  C-4,A PIE
SEVILLA  C-4,A PIE
FLORIDA NUEVA C-11,A PIE
PARQUE PRINCIPAL,A PIE
AVENIDA NAPOLES,A PIE
EL LLANITO,A PIE
CALLE CALIENTE,A PIE
SANTO DOMINGO DE GUZMAN,MOTOCICLETA
CARRIZAL,VEHICULO
EL BOSQUE,MOTOCICLETA
CARRIZAL,A PIE
ABAJO,A PIE
EL BOSQUE,A PIE
ABAJO,A PIE
CENTRO,A PIE
CHAMBACU,A PIE
NUEVO PORVENIR,MOTOCICLETA
13 DE JUNIO,MOTOCICLETA
S. JOSE DE LOS CAMPANOS,A PIE
BARRIO CENTRO,A PIE
BARRIO ABAJO,A PIE
LA PAZ,A PIE
ZONA ROSA,A PIE
SAN JAVIER,A PIE
BARRIO GALERIAS,A PIE
BARRIO GALERIAS,A PIE
LAS MALVINAS,A PIE
SITIO O VDA LOS FAROLES,A PIE
ALFONSO LOPEZ,A PIE
PANAMERICANO,A PIE
NUEVA COLOMBIA,MOTOCICLETA
URB.VILLA DARIANA,MOTOCICLETA
BAHIA SOLANO,A PIE
LA VICTORIA,A PIE
SAN FRANCISCO,A PIE
27 DE JULIO,MOTOCICLETA
CASERÌO LOS VENADOS,A PIE
LA GLORIA,A PIE
FURATENA,A PIE
LOS ALAMOS,MOTOCICLETA
RANCHERIA,MOTOCICLETA
LA CATEDRAL E-17,A PIE
EL RINCON E-11,A PIE
CASA BLANCA E-11,A PIE
PATIO BONITO I E-8,A PIE
URB. MANUELA BELTRAN E-19,A PIE
EL TINTAL E-8,BICICLETA
TIMIZA CELULA A LOTE RA-2 E-8,A PIE
BILBAO E-11,A PIE
DANIEL ORTEGA,A PIE
LA FLORIDA,A PIE
KENEDDY,MOTOCICLETA
ALTOS DEL PARRANTIAL,MOTOCICLETA
COOPERATIVO,MOTOCICLETA
CORREGIMIENTO MATITAS,A PIE
LA VICTORIA,A PIE
JOSE ANTONIO GALAN,A PIE
TIMANCO,A PIE
ALFONSO LOPEZ,MOTOCICLETA
TIMANCO,A PIE
CALAMO,A PIE
5 DE FEBRERO,MOTOCICLETA
CENTRO,A PIE
CENTRO,A PIE
VEREDA APIAY,TRANSPORTE PUBLICO
PORFIA,BICICLETA
BALATA,A PIE
OKAVANGO,A PIE
7 DE AGOSTO,A PIE
13 DE MAYO,A PIE
VEREDA CANHOS NEGROS,MOTOCICLETA
VDA CONSUELO DE CHINYANQUER,A PIE
VEREDA CHIRANQUER,A PIE
SAN FERNANDO,TRANSPORTE PUBLICO
FATIMA,MOTOCICLETA
TERMINAL,A PIE
LA ESPERANZA,A PIE
CENTRO,A PIE
VILLA DOCENTE,MOTOCICLETA
VILLAFLOR II,A PIE
CHAPAL,MOTOCICLETA
TAMASAGRA I,A PIE
LOS FUNDADORES,A PIE
VILLAFLOR II,A PIE
SANTIAGO,A PIE
VISTA HERMOSA,A PIE
BARRIO DIVINA PASTORA,A PIE
BARRIO EL PARAMO,A PIE
VIA MOCOA,A PIE
LAS COLINAS,A PIE
CIUDADELA EL SOL,TRANSPORTE PUBLICO
LA ESPERANZA,A PIE
LA ESPERANZA,A PIE
FRAYLES,A PIE
LAURELES II,MOTOCICLETA
BARRIO SARIE BAY,MOTOCICLETA
BARRIO MODELO I,A PIE
BARRIO SCHOOL HOUSE,A PIE
VILLA ROSA,A PIE
EL CENTRO BOLIVAR,A PIE
DIAMANTE II,A PIE
EL PABLON,A PIE
POBLADO,MOTOCICLETA
TEJAR,A PIE
SAN FRANCISCO P/TA,A PIE
LA COLINA CAMPESTRE,A PIE
CERROS DEL MEDITERRANEO,A PIE
EL CENTRO,A PIE
CENTRO,A PIE
VARIANTE (ZONA NORTE),A PIE
VARIANTE (ZONA NORTE),A PIE
LOS TUNJOS,A PIE
MODELIA,A PIE
LOS TUNJOS,A PIE
CENTRO,MOTOCICLETA
BELLAVISTA,TRANSPORTE PUBLICO
LOS ANDES E5,MOTOCICLETA
LOS COMUNEROS I E15,A PIE
SUCRE E9,A PIE
SAN FERNANDO VIEJO E19,TRANSPORTE PUBLICO
ALFONSO LOPEZ I E7,A PIE
SANTA FE E8,MOTOCICLETA
U.R. SANTIAGO DE CALI E19,A PIE
EL RETIRO E15,A PIE
EL REMANSO E21,A PIE
EL VERGEL E13,A PIE
URB. POBLADO CAMPESTRE (23-S-6-3),A PIE
CGTO EL LAURO (23-1),MOTOCICLETA
