BARRIO,MOVILVICTIMA
JARDIN,A PIE
CIUDADELA DEL NORTE,A PIE
VDA. SAN FELIX,A PIE
SANTA RITA,A PIE
VDA. SAN FELIX,VEHICULO
LA ARBOLEDA,A PIE
ALCALA,A PIE
CAMPO VALDES 1  C-4,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LOS CERROS EL VERGEL  C-9,A PIE
MANRIQUE 1  C-4,TRANSPORTE PUBLICO
SAN PEDRO  C-4,MOTOCICLETA
LA CANDELARIA C-10,A PIE
DOCE DE OCTUBRE C-6,A PIE
EL DIAMANTE C-7,MOTOCICLETA
SAN JAVIER 1 C-13,A PIE
BARRIO CAYCEDO C-9,A PIE
ARANJUEZ  C-4,A PIE
SEVILLA  C-4,A PIE
FLORIDA NUEVA C-11,A PIE
PARQUE PRINCIPAL,A PIE
AVENIDA NAPOLES,A PIE
EL LLANITO,A PIE
CALLE CALIENTE,A PIE
SANTO DOMINGO DE GUZMAN,A PIE
CARRIZAL,VEHICULO
EL BOSQUE,A PIE
CARRIZAL,A PIE
ABAJO,A PIE
EL BOSQUE,A PIE
ABAJO,A PIE
CENTRO,A PIE
CHAMBACU,A PIE
NUEVO PORVENIR,A PIE
13 DE JUNIO,A PIE
S. JOSE DE LOS CAMPANOS,A PIE
BARRIO CENTRO,A PIE
BARRIO ABAJO,A PIE
LA PAZ,A PIE
ZONA ROSA,A PIE
SAN JAVIER,A PIE
BARRIO GALERIAS,A PIE
BARRIO GALERIAS,A PIE
LAS MALVINAS,A PIE
SITIO O VDA LOS FAROLES,A PIE
ALFONSO LOPEZ,A PIE
PANAMERICANO,A PIE
NUEVA COLOMBIA,MOTOCICLETA
URB.VILLA DARIANA,A PIE
BAHIA SOLANO,A PIE
LA VICTORIA,A PIE
SAN FRANCISCO,A PIE
27 DE JULIO,A PIE
CASERÌO LOS VENADOS,A PIE
LA GLORIA,A PIE
FURATENA,A PIE
LOS ALAMOS,A PIE
RANCHERIA,A PIE
LA CATEDRAL E-17,A PIE
EL RINCON E-11,A PIE
CASA BLANCA E-11,A PIE
PATIO BONITO I E-8,BICICLETA
URB. MANUELA BELTRAN E-19,A PIE
EL TINTAL E-8,A PIE
TIMIZA CELULA A LOTE RA-2 E-8,A PIE
BILBAO E-11,A PIE
DANIEL ORTEGA,A PIE
LA FLORIDA,A PIE
KENEDDY,A PIE
ALTOS DEL PARRANTIAL,A PIE
COOPERATIVO,A PIE
CORREGIMIENTO MATITAS,A PIE
LA VICTORIA,A PIE
JOSE ANTONIO GALAN,MOTOCICLETA
TIMANCO,A PIE
ALFONSO LOPEZ,A PIE
TIMANCO,A PIE
CALAMO,A PIE
5 DE FEBRERO,A PIE
CENTRO,A PIE
CENTRO,A PIE
VEREDA APIAY,A PIE
PORFIA,A PIE
BALATA,A PIE
OKAVANGO,A PIE
7 DE AGOSTO,A PIE
13 DE MAYO,A PIE
VEREDA CANHOS NEGROS,A PIE
VDA CONSUELO DE CHINYANQUER,MOTOCICLETA
VEREDA CHIRANQUER,A PIE
SAN FERNANDO,TRANSPORTE PUBLICO
FATIMA,A PIE
TERMINAL,A PIE
LA ESPERANZA,A PIE
CENTRO,A PIE
VILLA DOCENTE,A PIE
VILLAFLOR II,A PIE
CHAPAL,A PIE
TAMASAGRA I,A PIE
LOS FUNDADORES,A PIE
VILLAFLOR II,A PIE
SANTIAGO,A PIE
VISTA HERMOSA,A PIE
BARRIO DIVINA PASTORA,A PIE
BARRIO EL PARAMO,A PIE
VIA MOCOA,A PIE
LAS COLINAS,A PIE
CIUDADELA EL SOL,TRANSPORTE PUBLICO
LA ESPERANZA,A PIE
LA ESPERANZA,A PIE
FRAYLES,A PIE
LAURELES II,A PIE
BARRIO SARIE BAY,A PIE
BARRIO MODELO I,A PIE
BARRIO SCHOOL HOUSE,A PIE
VILLA ROSA,A PIE
EL CENTRO BOLIVAR,A PIE
DIAMANTE II,A PIE
EL PABLON,A PIE
POBLADO,A PIE
TEJAR,A PIE
SAN FRANCISCO P/TA,A PIE
LA COLINA CAMPESTRE,A PIE
CERROS DEL MEDITERRANEO,A PIE
EL CENTRO,A PIE
CENTRO,A PIE
VARIANTE (ZONA NORTE),A PIE
VARIANTE (ZONA NORTE),A PIE
LOS TUNJOS,A PIE
MODELIA,A PIE
LOS TUNJOS,A PIE
CENTRO,A PIE
BELLAVISTA,TRANSPORTE PUBLICO
LOS ANDES E5,VEHICULO
LOS COMUNEROS I E15,A PIE
SUCRE E9,A PIE
SAN FERNANDO VIEJO E19,TRANSPORTE PUBLICO
ALFONSO LOPEZ I E7,A PIE
SANTA FE E8,A PIE
U.R. SANTIAGO DE CALI E19,A PIE
EL RETIRO E15,MOTOCICLETA
EL REMANSO E21,A PIE
EL VERGEL E13,MOTOCICLETA
URB. POBLADO CAMPESTRE (23-S-6-3),A PIE
CGTO EL LAURO (23-1),A PIE
CORREGIMIENTO DE GUABITAS,A PIE
EL DEPARTAMENTAL,A PIE
RECREO,A PIE
CINCUENTENARIO,A PIE
URBANIZACION BUENOS AIRES,A PIE
URBANIZACION BUENOS AIRES,A PIE
NUEVO FARFAN,A PIE
