BARRIO,NACIONALIDAD
JARDIN,COLOMBIA
CIUDADELA DEL NORTE,COLOMBIA
VDA. SAN FELIX,COLOMBIA
SANTA RITA,COLOMBIA
VDA. SAN FELIX,COLOMBIA
LA ARBOLEDA,COLOMBIA
ALCALA,COLOMBIA
CAMPO VALDES 1  C-4,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
LOS CERROS EL VERGEL  C-9,COLOMBIA
MANRIQUE 1  C-4,COLOMBIA
SAN PEDRO  C-4,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
DOCE DE OCTUBRE C-6,COLOMBIA
EL DIAMANTE C-7,COLOMBIA
SAN JAVIER 1 C-13,COLOMBIA
BARRIO CAYCEDO C-9,COLOMBIA
ARANJUEZ  C-4,COLOMBIA
SEVILLA  C-4,COLOMBIA
FLORIDA NUEVA C-11,COLOMBIA
PARQUE PRINCIPAL,COLOMBIA
AVENIDA NAPOLES,COLOMBIA
EL LLANITO,COLOMBIA
CALLE CALIENTE,COLOMBIA
SANTO DOMINGO DE GUZMAN,COLOMBIA
CARRIZAL,COLOMBIA
EL BOSQUE,COLOMBIA
CARRIZAL,COLOMBIA
ABAJO,COLOMBIA
EL BOSQUE,COLOMBIA
ABAJO,COLOMBIA
CENTRO,COLOMBIA
CHAMBACU,COLOMBIA
NUEVO PORVENIR,COLOMBIA
13 DE JUNIO,COLOMBIA
S. JOSE DE LOS CAMPANOS,COLOMBIA
BARRIO CENTRO,COLOMBIA
BARRIO ABAJO,COLOMBIA
LA PAZ,COLOMBIA
ZONA ROSA,COLOMBIA
SAN JAVIER,COLOMBIA
BARRIO GALERIAS,COLOMBIA
BARRIO GALERIAS,COLOMBIA
LAS MALVINAS,COLOMBIA
SITIO O VDA LOS FAROLES,COLOMBIA
ALFONSO LOPEZ,COLOMBIA
PANAMERICANO,COLOMBIA
NUEVA COLOMBIA,COLOMBIA
URB.VILLA DARIANA,COLOMBIA
BAHIA SOLANO,COLOMBIA
LA VICTORIA,COLOMBIA
SAN FRANCISCO,COLOMBIA
27 DE JULIO,COLOMBIA
CASERÌO LOS VENADOS,COLOMBIA
LA GLORIA,COLOMBIA
FURATENA,COLOMBIA
LOS ALAMOS,COLOMBIA
RANCHERIA,COLOMBIA
LA CATEDRAL E-17,COLOMBIA
EL RINCON E-11,COLOMBIA
CASA BLANCA E-11,COLOMBIA
PATIO BONITO I E-8,COLOMBIA
URB. MANUELA BELTRAN E-19,COLOMBIA
EL TINTAL E-8,COLOMBIA
TIMIZA CELULA A LOTE RA-2 E-8,COLOMBIA
BILBAO E-11,COLOMBIA
DANIEL ORTEGA,-
LA FLORIDA,COLOMBIA
KENEDDY,COLOMBIA
ALTOS DEL PARRANTIAL,COLOMBIA
COOPERATIVO,COLOMBIA
CORREGIMIENTO MATITAS,COLOMBIA
LA VICTORIA,COLOMBIA
JOSE ANTONIO GALAN,COLOMBIA
TIMANCO,COLOMBIA
ALFONSO LOPEZ,COLOMBIA
TIMANCO,COLOMBIA
CALAMO,COLOMBIA
5 DE FEBRERO,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
VEREDA APIAY,COLOMBIA
PORFIA,COLOMBIA
BALATA,COLOMBIA
OKAVANGO,COLOMBIA
7 DE AGOSTO,COLOMBIA
13 DE MAYO,COLOMBIA
VEREDA CANHOS NEGROS,COLOMBIA
VDA CONSUELO DE CHINYANQUER,COLOMBIA
VEREDA CHIRANQUER,COLOMBIA
SAN FERNANDO,COLOMBIA
FATIMA,COLOMBIA
TERMINAL,COLOMBIA
LA ESPERANZA,COLOMBIA
CENTRO,COLOMBIA
VILLA DOCENTE,COLOMBIA
VILLAFLOR II,COLOMBIA
CHAPAL,COLOMBIA
TAMASAGRA I,COLOMBIA
LOS FUNDADORES,COLOMBIA
VILLAFLOR II,COLOMBIA
SANTIAGO,COLOMBIA
VISTA HERMOSA,COLOMBIA
BARRIO DIVINA PASTORA,COLOMBIA
BARRIO EL PARAMO,COLOMBIA
VIA MOCOA,COLOMBIA
LAS COLINAS,COLOMBIA
CIUDADELA EL SOL,COLOMBIA
LA ESPERANZA,COLOMBIA
LA ESPERANZA,COLOMBIA
FRAYLES,COLOMBIA
LAURELES II,COLOMBIA
BARRIO SARIE BAY,COLOMBIA
BARRIO MODELO I,COLOMBIA
BARRIO SCHOOL HOUSE,COLOMBIA
VILLA ROSA,COLOMBIA
EL CENTRO BOLIVAR,COLOMBIA
