BARRIO,SEXO
JARDIN,FEMENINO
CIUDADELA DEL NORTE,FEMENINO
VDA. SAN FELIX,MASCULINO
SANTA RITA,MASCULINO
VDA. SAN FELIX,MASCULINO
LA ARBOLEDA,FEMENINO
ALCALA,MASCULINO
CAMPO VALDES 1  C-4,MASCULINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,FEMENINO
LOS CERROS EL VERGEL  C-9,MASCULINO
MANRIQUE 1  C-4,MASCULINO
SAN PEDRO  C-4,MASCULINO
LA CANDELARIA C-10,FEMENINO
DOCE DE OCTUBRE C-6,FEMENINO
EL DIAMANTE C-7,MASCULINO
SAN JAVIER 1 C-13,MASCULINO
BARRIO CAYCEDO C-9,MASCULINO
ARANJUEZ  C-4,FEMENINO
SEVILLA  C-4,FEMENINO
FLORIDA NUEVA C-11,FEMENINO
PARQUE PRINCIPAL,MASCULINO
AVENIDA NAPOLES,MASCULINO
EL LLANITO,FEMENINO
CALLE CALIENTE,FEMENINO
SANTO DOMINGO DE GUZMAN,FEMENINO
CARRIZAL,MASCULINO
EL BOSQUE,MASCULINO
CARRIZAL,MASCULINO
ABAJO,MASCULINO
EL BOSQUE,MASCULINO
ABAJO,MASCULINO
CENTRO,FEMENINO
CHAMBACU,FEMENINO
NUEVO PORVENIR,MASCULINO
13 DE JUNIO,FEMENINO
S. JOSE DE LOS CAMPANOS,MASCULINO
BARRIO CENTRO,MASCULINO
BARRIO ABAJO,FEMENINO
LA PAZ,MASCULINO
ZONA ROSA,MASCULINO
SAN JAVIER,FEMENINO
BARRIO GALERIAS,FEMENINO
BARRIO GALERIAS,MASCULINO
LAS MALVINAS,MASCULINO
SITIO O VDA LOS FAROLES,MASCULINO
ALFONSO LOPEZ,MASCULINO
PANAMERICANO,FEMENINO
NUEVA COLOMBIA,FEMENINO
URB.VILLA DARIANA,FEMENINO
BAHIA SOLANO,MASCULINO
LA VICTORIA,FEMENINO
SAN FRANCISCO,FEMENINO
27 DE JULIO,FEMENINO
CASERÌO LOS VENADOS,MASCULINO
LA GLORIA,MASCULINO
FURATENA,MASCULINO
LOS ALAMOS,FEMENINO
RANCHERIA,MASCULINO
LA CATEDRAL E-17,FEMENINO
EL RINCON E-11,MASCULINO
CASA BLANCA E-11,FEMENINO
PATIO BONITO I E-8,MASCULINO
URB. MANUELA BELTRAN E-19,MASCULINO
EL TINTAL E-8,FEMENINO
TIMIZA CELULA A LOTE RA-2 E-8,MASCULINO
BILBAO E-11,MASCULINO
DANIEL ORTEGA,-
LA FLORIDA,MASCULINO
KENEDDY,FEMENINO
ALTOS DEL PARRANTIAL,MASCULINO
COOPERATIVO,MASCULINO
CORREGIMIENTO MATITAS,FEMENINO
LA VICTORIA,FEMENINO
JOSE ANTONIO GALAN,MASCULINO
TIMANCO,MASCULINO
ALFONSO LOPEZ,FEMENINO
TIMANCO,FEMENINO
CALAMO,MASCULINO
5 DE FEBRERO,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
VEREDA APIAY,MASCULINO
PORFIA,MASCULINO
BALATA,MASCULINO
OKAVANGO,FEMENINO
7 DE AGOSTO,MASCULINO
13 DE MAYO,FEMENINO
VEREDA CANHOS NEGROS,FEMENINO
VDA CONSUELO DE CHINYANQUER,MASCULINO
VEREDA CHIRANQUER,MASCULINO
SAN FERNANDO,MASCULINO
FATIMA,FEMENINO
TERMINAL,FEMENINO
LA ESPERANZA,FEMENINO
CENTRO,MASCULINO
VILLA DOCENTE,MASCULINO
VILLAFLOR II,FEMENINO
CHAPAL,FEMENINO
TAMASAGRA I,MASCULINO
LOS FUNDADORES,MASCULINO
VILLAFLOR II,MASCULINO
SANTIAGO,MASCULINO
VISTA HERMOSA,MASCULINO
BARRIO DIVINA PASTORA,MASCULINO
BARRIO EL PARAMO,FEMENINO
VIA MOCOA,MASCULINO
LAS COLINAS,MASCULINO
CIUDADELA EL SOL,MASCULINO
LA ESPERANZA,FEMENINO
LA ESPERANZA,FEMENINO
FRAYLES,FEMENINO
LAURELES II,FEMENINO
BARRIO SARIE BAY,MASCULINO
BARRIO MODELO I,FEMENINO
BARRIO SCHOOL HOUSE,FEMENINO
VILLA ROSA,MASCULINO
EL CENTRO BOLIVAR,FEMENINO
DIAMANTE II,FEMENINO
EL PABLON,MASCULINO
POBLADO,MASCULINO
TEJAR,MASCULINO
SAN FRANCISCO P/TA,MASCULINO
LA COLINA CAMPESTRE,MASCULINO
CERROS DEL MEDITERRANEO,MASCULINO
EL CENTRO,MASCULINO
CENTRO,FEMENINO
VARIANTE (ZONA NORTE),MASCULINO
VARIANTE (ZONA NORTE),MASCULINO
LOS TUNJOS,FEMENINO
MODELIA,FEMENINO
LOS TUNJOS,FEMENINO
CENTRO,FEMENINO
BELLAVISTA,FEMENINO
LOS ANDES E5,FEMENINO
LOS COMUNEROS I E15,MASCULINO
SUCRE E9,MASCULINO
SAN FERNANDO VIEJO E19,FEMENINO
ALFONSO LOPEZ I E7,FEMENINO
SANTA FE E8,FEMENINO
U.R. SANTIAGO DE CALI E19,MASCULINO
EL RETIRO E15,MASCULINO
EL REMANSO E21,FEMENINO
EL VERGEL E13,MASCULINO
URB. POBLADO CAMPESTRE (23-S-6-3),FEMENINO
CGTO EL LAURO (23-1),MASCULINO
CORREGIMIENTO DE GUABITAS,MASCULINO
EL DEPARTAMENTAL,FEMENINO
RECREO,MASCULINO
CINCUENTENARIO,FEMENINO
URBANIZACION BUENOS AIRES,MASCULINO
URBANIZACION BUENOS AIRES,MASCULINO
NUEVO FARFAN,MASCULINO
NUEVO FATIMA,FEMENINO
ARROYOHONDO ZONA INDUSTRIAL (25-2),FEMENINO
BELALCAZAR E25,FEMENINO
SAN PEDRO,FEMENINO
VDA. TABLAZO HATILLO,FEMENINO
EL CONGOLO,FEMENINO
ACEVEDO,MASCULINO
CIUDADELA DEL NORTE,MASCULINO
PRIMAVERA,FEMENINO
EL DORADO,FEMENINO
VDA. SIERRA MORENA,MASCULINO
BELLAVISTA,MASCULINO
SURAMERICANA C-11,MASCULINO
ESTACION VILLA C-10,MASCULINO
PARQUE NORTE C-4,FEMENINO
CASTILLA C-5,FEMENINO
EL CHAGUALO C-10,MASCULINO
LA FLORIDA C-14,FEMENINO
PALENQUE 1 C-7,MASCULINO
BARRIO CAYCEDO C-9,MASCULINO
BELLO HORIZONTE C-7,MASCULINO
