BARRIO,SITIO
JARDIN,CASAS DE HABITACION
CIUDADELA DEL NORTE,VIAS PUBLICAS
VDA. SAN FELIX,VIAS PUBLICAS
SANTA RITA,VIAS PUBLICAS
VDA. SAN FELIX,VIAS PUBLICAS
LA ARBOLEDA,VIAS PUBLICAS
ALCALA,VIAS PUBLICAS
CAMPO VALDES 1  C-4,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LOS CERROS EL VERGEL  C-9,VIAS PUBLICAS
MANRIQUE 1  C-4,VIAS PUBLICAS
SAN PEDRO  C-4,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
DOCE DE OCTUBRE C-6,VIAS PUBLICAS
EL DIAMANTE C-7,VIAS PUBLICAS
SAN JAVIER 1 C-13,VIAS PUBLICAS
BARRIO CAYCEDO C-9,VIAS PUBLICAS
ARANJUEZ  C-4,VIAS PUBLICAS
SEVILLA  C-4,VIAS PUBLICAS
FLORIDA NUEVA C-11,CASAS DE HABITACION
PARQUE PRINCIPAL,DISCOTECAS
AVENIDA NAPOLES,CENTRO RECREACIONAL
EL LLANITO,VIAS PUBLICAS
CALLE CALIENTE,"BARES, CANTINAS Y SIMILARES"
SANTO DOMINGO DE GUZMAN,VIAS PUBLICAS
CARRIZAL,VEHICULO
EL BOSQUE,VIAS PUBLICAS
CARRIZAL,DENTRO DE LA VIVIENDA
ABAJO,VIAS PUBLICAS
EL BOSQUE,VIAS PUBLICAS
ABAJO,VIAS PUBLICAS
CENTRO,FRENTE A RESIDENCIAS - VIA PUBLICA
CHAMBACU,CENTRO COMERCIAL
NUEVO PORVENIR,VIAS PUBLICAS
13 DE JUNIO,VIAS PUBLICAS
S. JOSE DE LOS CAMPANOS,CASAS DE HABITACION
BARRIO CENTRO,VIAS PUBLICAS
BARRIO ABAJO,VIAS PUBLICAS
LA PAZ,"HOTELES, RESIDENCIAS, Y SIMILARES."
ZONA ROSA,FRENTE A DISCOTECAS
SAN JAVIER,VIAS PUBLICAS
BARRIO GALERIAS,VIAS PUBLICAS
BARRIO GALERIAS,VIAS PUBLICAS
LAS MALVINAS,VIAS PUBLICAS
SITIO O VDA LOS FAROLES,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
PANAMERICANO,VIAS PUBLICAS
NUEVA COLOMBIA,VIAS PUBLICAS
URB.VILLA DARIANA,VIAS PUBLICAS
BAHIA SOLANO,CASAS DE HABITACION
LA VICTORIA,CASAS DE HABITACION
SAN FRANCISCO,PISCINA
27 DE JULIO,VIAS PUBLICAS
CASERÌO LOS VENADOS,FINCAS Y SIMILARES
LA GLORIA,APARTAMENTO
FURATENA,VIAS PUBLICAS
LOS ALAMOS,VIAS PUBLICAS
RANCHERIA,VIAS PUBLICAS
LA CATEDRAL E-17,VIAS PUBLICAS
EL RINCON E-11,VIAS PUBLICAS
CASA BLANCA E-11,VIAS PUBLICAS
PATIO BONITO I E-8,CICLO RUTA
URB. MANUELA BELTRAN E-19,VIAS PUBLICAS
EL TINTAL E-8,VIAS PUBLICAS
TIMIZA CELULA A LOTE RA-2 E-8,VIAS PUBLICAS
BILBAO E-11,VIAS PUBLICAS
DANIEL ORTEGA,RESTAURANTES
LA FLORIDA,VIAS PUBLICAS
KENEDDY,VIAS PUBLICAS
ALTOS DEL PARRANTIAL,FRENTE A ALMACEN - VIA PUBLICA
COOPERATIVO,VIAS PUBLICAS
CORREGIMIENTO MATITAS,CASAS DE HABITACION
LA VICTORIA,CASAS DE HABITACION
JOSE ANTONIO GALAN,VIAS PUBLICAS
TIMANCO,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
TIMANCO,VIAS PUBLICAS
CALAMO,VIAS PUBLICAS
5 DE FEBRERO,VIAS PUBLICAS
CENTRO,DISCOTECAS
CENTRO,VIAS PUBLICAS
VEREDA APIAY,INTERIOR VEHICULO SERVICIO PUBLICO
PORFIA,VIAS PUBLICAS
BALATA,CENTRO COMERCIAL
OKAVANGO,PARQUES
7 DE AGOSTO,VIAS PUBLICAS
13 DE MAYO,CASAS DE HABITACION
VEREDA CANHOS NEGROS,VIAS PUBLICAS
VDA CONSUELO DE CHINYANQUER,VIAS PUBLICAS
VEREDA CHIRANQUER,CASAS DE HABITACION
SAN FERNANDO,VIAS PUBLICAS
FATIMA,VIAS PUBLICAS
TERMINAL,TERMINAL DE TRANSPORTES
LA ESPERANZA,VIAS PUBLICAS
CENTRO,PARQUES
VILLA DOCENTE,VIAS PUBLICAS
VILLAFLOR II,VIAS PUBLICAS
CHAPAL,VIAS PUBLICAS
TAMASAGRA I,VIAS PUBLICAS
LOS FUNDADORES,VIAS PUBLICAS
VILLAFLOR II,VIAS PUBLICAS
SANTIAGO,FRENTE A RESIDENCIAS - VIA PUBLICA
VISTA HERMOSA,PARQUES
BARRIO DIVINA PASTORA,VIAS PUBLICAS
BARRIO EL PARAMO,VIAS PUBLICAS
VIA MOCOA,VIAS PUBLICAS
LAS COLINAS,CASAS DE HABITACION
CIUDADELA EL SOL,VIAS PUBLICAS
LA ESPERANZA,VIAS PUBLICAS
LA ESPERANZA,VIAS PUBLICAS
FRAYLES,VIAS PUBLICAS
LAURELES II,VIAS PUBLICAS
BARRIO SARIE BAY,SOBRE ANDEN - VIA PUBLICA
BARRIO MODELO I,CASAS DE HABITACION
BARRIO SCHOOL HOUSE,VIAS PUBLICAS
VILLA ROSA,VIAS PUBLICAS
EL CENTRO BOLIVAR,VIAS PUBLICAS
DIAMANTE II,CASAS DE HABITACION
EL PABLON,VIAS PUBLICAS
POBLADO,PARQUES
TEJAR,VIAS PUBLICAS
SAN FRANCISCO P/TA,VIAS PUBLICAS
LA COLINA CAMPESTRE,CANCHA DE FUTBOL
CERROS DEL MEDITERRANEO,CASAS DE HABITACION
EL CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
VARIANTE (ZONA NORTE),INTERIOR VEHICULO PARTICULAR
VARIANTE (ZONA NORTE),INTERIOR VEHICULO PARTICULAR
LOS TUNJOS,CASAS DE HABITACION
MODELIA,VIAS PUBLICAS
LOS TUNJOS,CASAS DE HABITACION
CENTRO,VIAS PUBLICAS
BELLAVISTA,VIAS PUBLICAS
LOS ANDES E5,VIAS PUBLICAS
LOS COMUNEROS I E15,RESTAURANTES
SUCRE E9,"HOTELES, RESIDENCIAS, Y SIMILARES."
SAN FERNANDO VIEJO E19,BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
ALFONSO LOPEZ I E7,VIAS PUBLICAS
SANTA FE E8,FRENTE A RESIDENCIAS - VIA PUBLICA
U.R. SANTIAGO DE CALI E19,CONJUNTO RESIDENCIAL
EL RETIRO E15,VIAS PUBLICAS
EL REMANSO E21,VIAS PUBLICAS
EL VERGEL E13,VIAS PUBLICAS
