BARRIO,ZONA
JARDIN,URBANA
CIUDADELA DEL NORTE,URBANA
VDA. SAN FELIX,RURAL
SANTA RITA,URBANA
VDA. SAN FELIX,RURAL
LA ARBOLEDA,URBANA
ALCALA,URBANA
CAMPO VALDES 1  C-4,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
LOS CERROS EL VERGEL  C-9,URBANA
MANRIQUE 1  C-4,URBANA
SAN PEDRO  C-4,URBANA
LA CANDELARIA C-10,URBANA
DOCE DE OCTUBRE C-6,URBANA
EL DIAMANTE C-7,URBANA
SAN JAVIER 1 C-13,URBANA
BARRIO CAYCEDO C-9,URBANA
ARANJUEZ  C-4,URBANA
SEVILLA  C-4,URBANA
FLORIDA NUEVA C-11,URBANA
PARQUE PRINCIPAL,URBANA
AVENIDA NAPOLES,RURAL
EL LLANITO,URBANA
CALLE CALIENTE,RURAL
SANTO DOMINGO DE GUZMAN,URBANA
CARRIZAL,URBANA
EL BOSQUE,URBANA
CARRIZAL,URBANA
ABAJO,URBANA
EL BOSQUE,URBANA
ABAJO,URBANA
CENTRO,URBANA
CHAMBACU,URBANA
NUEVO PORVENIR,URBANA
13 DE JUNIO,URBANA
S. JOSE DE LOS CAMPANOS,URBANA
BARRIO CENTRO,URBANA
BARRIO ABAJO,URBANA
LA PAZ,URBANA
ZONA ROSA,URBANA
SAN JAVIER,URBANA
BARRIO GALERIAS,URBANA
BARRIO GALERIAS,URBANA
LAS MALVINAS,URBANA
SITIO O VDA LOS FAROLES,RURAL
ALFONSO LOPEZ,URBANA
PANAMERICANO,URBANA
NUEVA COLOMBIA,URBANA
URB.VILLA DARIANA,URBANA
BAHIA SOLANO,URBANA
LA VICTORIA,URBANA
SAN FRANCISCO,URBANA
27 DE JULIO,URBANA
CASERÌO LOS VENADOS,RURAL
LA GLORIA,URBANA
FURATENA,URBANA
LOS ALAMOS,URBANA
RANCHERIA,URBANA
LA CATEDRAL E-17,URBANA
EL RINCON E-11,URBANA
CASA BLANCA E-11,URBANA
PATIO BONITO I E-8,URBANA
URB. MANUELA BELTRAN E-19,URBANA
EL TINTAL E-8,URBANA
TIMIZA CELULA A LOTE RA-2 E-8,URBANA
BILBAO E-11,URBANA
DANIEL ORTEGA,URBANA
LA FLORIDA,URBANA
KENEDDY,URBANA
ALTOS DEL PARRANTIAL,URBANA
COOPERATIVO,URBANA
CORREGIMIENTO MATITAS,RURAL
LA VICTORIA,URBANA
JOSE ANTONIO GALAN,URBANA
TIMANCO,URBANA
ALFONSO LOPEZ,URBANA
TIMANCO,URBANA
CALAMO,URBANA
5 DE FEBRERO,URBANA
CENTRO,URBANA
CENTRO,URBANA
VEREDA APIAY,RURAL
PORFIA,RURAL
BALATA,URBANA
OKAVANGO,URBANA
7 DE AGOSTO,URBANA
13 DE MAYO,URBANA
VEREDA CANHOS NEGROS,RURAL
VDA CONSUELO DE CHINYANQUER,RURAL
VEREDA CHIRANQUER,RURAL
SAN FERNANDO,RURAL
FATIMA,URBANA
TERMINAL,URBANA
LA ESPERANZA,URBANA
CENTRO,URBANA
VILLA DOCENTE,URBANA
VILLAFLOR II,URBANA
CHAPAL,URBANA
TAMASAGRA I,URBANA
LOS FUNDADORES,URBANA
VILLAFLOR II,URBANA
SANTIAGO,URBANA
VISTA HERMOSA,URBANA
BARRIO DIVINA PASTORA,URBANA
BARRIO EL PARAMO,URBANA
VIA MOCOA,RURAL
LAS COLINAS,URBANA
CIUDADELA EL SOL,URBANA
LA ESPERANZA,URBANA
LA ESPERANZA,URBANA
FRAYLES,URBANA
LAURELES II,URBANA
BARRIO SARIE BAY,URBANA
BARRIO MODELO I,URBANA
BARRIO SCHOOL HOUSE,URBANA
VILLA ROSA,URBANA
EL CENTRO BOLIVAR,URBANA
DIAMANTE II,URBANA
EL PABLON,URBANA
POBLADO,URBANA
TEJAR,URBANA
SAN FRANCISCO P/TA,URBANA
LA COLINA CAMPESTRE,URBANA
CERROS DEL MEDITERRANEO,URBANA
EL CENTRO,URBANA
CENTRO,URBANA
VARIANTE (ZONA NORTE),RURAL
VARIANTE (ZONA NORTE),RURAL
LOS TUNJOS,URBANA
MODELIA,URBANA
LOS TUNJOS,URBANA
CENTRO,URBANA
BELLAVISTA,URBANA
LOS ANDES E5,URBANA
LOS COMUNEROS I E15,URBANA
SUCRE E9,URBANA
SAN FERNANDO VIEJO E19,URBANA
ALFONSO LOPEZ I E7,URBANA
SANTA FE E8,URBANA
U.R. SANTIAGO DE CALI E19,URBANA
EL RETIRO E15,URBANA
EL REMANSO E21,URBANA
EL VERGEL E13,URBANA
URB. POBLADO CAMPESTRE (23-S-6-3),URBANA
CGTO EL LAURO (23-1),RURAL
CORREGIMIENTO DE GUABITAS,RURAL
EL DEPARTAMENTAL,URBANA
RECREO,URBANA
CINCUENTENARIO,URBANA
URBANIZACION BUENOS AIRES,URBANA
URBANIZACION BUENOS AIRES,URBANA
NUEVO FARFAN,URBANA
NUEVO FATIMA,URBANA
ARROYOHONDO ZONA INDUSTRIAL (25-2),URBANA
BELALCAZAR E25,URBANA
SAN PEDRO,URBANA
VDA. TABLAZO HATILLO,RURAL
EL CONGOLO,URBANA
ACEVEDO,URBANA
CIUDADELA DEL NORTE,URBANA
PRIMAVERA,URBANA
EL DORADO,URBANA
VDA. SIERRA MORENA,URBANA
BELLAVISTA,URBANA
SURAMERICANA C-11,URBANA
ESTACION VILLA C-10,URBANA
PARQUE NORTE C-4,URBANA
CASTILLA C-5,URBANA
EL CHAGUALO C-10,URBANA
LA FLORIDA C-14,URBANA
PALENQUE 1 C-7,URBANA
BARRIO CAYCEDO C-9,URBANA
BELLO HORIZONTE C-7,URBANA
BOMBONA 1 C-10,URBANA
CARIBE C-5,URBANA
EL RINCON C-16,URBANA
SEVILLA  C-4,URBANA
GUAYABAL C-15,URBANA
GRANADA C-16,URBANA
VILLANUEVA C-10,URBANA
SANTA CRUZ  C-2,URBANA
ESTACION VILLA C-10,URBANA
CATALUNHA  C-9,URBANA
SEVILLA  C-4,URBANA
CARIBE C-5,URBANA
EL CHAGUALO C-10,URBANA
CARIBE,URBANA
SECTOR GALERIA,URBANA
EL CARMEN,URBANA
BELLA ARENA,URBANA
SANTA CRUZ,URBANA
LA ARBOLEDA,URBANA
LA CRUZ,URBANA
VDA. TENERIA,RURAL
BARRIO LOS SAUCES,URBANA
BARRIO POPULAR,URBANA
CENTRO,URBANA
CRISTO REY,URBANA
CRISTO REY,URBANA
LA ESTRELLA,URBANA
URAPANES,URBANA
LA AMAZONIA,URBANA
JORGE ELIECER GAITAN,URBANA
VIA PALESTRO,RURAL
RAIZAL,RURAL
ESPERANZA,URBANA
LA ESPERANZA,URBANA
MAREIGUA,URBANA
LAS FLORES,URBANA
LAS FLORES,URBANA
EL JARDIN,URBANA
LA FLORESTA,URBANA
VENECIA E-6,URBANA
SUCRE E-2,URBANA
EL POA E-11,URBANA
LA CATEDRAL E-3,URBANA
SANTA FE E-14,URBANA
SAN ISIDRO E-4,URBANA
LA MACARENA E-3,URBANA
SUBA CENTRO E-11,URBANA
CHICO NAVARRA E-1,URBANA
SUBA CENTRO E-11,URBANA
LA PAZ E-3,URBANA
SANTA ISABEL E-14,URBANA
SUBA CENTRO E-11,URBANA
ALTO PRADO,URBANA
COLOMBIALIBRE,URBANA
EL CENTRO,URBANA
BARRIO DIVINO NINHO,URBANA
VEREDA CLAROS,RURAL
EL VERGEL,URBANA
LOS DUJOS,URBANA
ENRIQUE OLAYA HERRERA,URBANA
REPOSO,URBANA
ALCAZARES,URBANA
CENTRO HISTORICO,URBANA
RODADERO SUR,URBANA
CENTRO,URBANA
ESTERO,URBANA
INDUSTRIAL,URBANA
SAN BENITO,URBANA
BELLO HORIZONTE,URBANA
BENJAMIN HERRERA,URBANA
RECUERDO,URBANA
CANTARANA,URBANA
POTRERILLO,URBANA
POTRERILLO,URBANA
NUEVO SOL,URBANA
CENTRO,URBANA
CHAPAL,URBANA
CAICEDO ALTO,URBANA
AV. ESTUDIANTES,URBANA
CHILE,URBANA
CENTRO,URBANA
POTRERILLO,URBANA
MADRIGAL,URBANA
NIZA II,URBANA
CENTRO,URBANA
CENTRO,URBANA
AV. CHAMPAGNAT,URBANA
BARRIO PRADOS DEL ESTE,URBANA
BARRIO EL BOSQUE,URBANA
SECTOR CAM,URBANA
VERACRUZ,URBANA
SECTOR COLISEO DEL CAFE,URBANA
MIRAFLORES BAJO,URBANA
CIUDADELA EL ENSUENHO,URBANA
CIUDADELA EL ENSUENHO,URBANA
B. CENTRO,URBANA
B. CENTRO,URBANA
B. CENTRO,URBANA
SECTOR LA POPA,URBANA
LA AURORA,URBANA
LA AURORA,URBANA
