DEPARTAMENTO,ARMA
AMAZONAS,CONTUNDENTES
ANTIOQUIA,ARMA DE FUEGO
ANTIOQUIA,ARMA DE FUEGO
ANTIOQUIA,ARMA DE FUEGO
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA DE FUEGO
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,SIN EMPLEO DE ARMAS
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA DE FUEGO
ANTIOQUIA,ARMA DE FUEGO
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,SIN EMPLEO DE ARMAS
ANTIOQUIA,SIN EMPLEO DE ARMAS
ANTIOQUIA,CONTUNDENTES
ANTIOQUIA,SIN EMPLEO DE ARMAS
ANTIOQUIA,CONTUNDENTES
ANTIOQUIA,ARMA BLANCA / CORTOPUNZANTE
ANTIOQUIA,SIN EMPLEO DE ARMAS
ATLANTICO,ARMA DE FUEGO
ATLANTICO,SIN EMPLEO DE ARMAS
ATLANTICO,ARMA DE FUEGO
ATLANTICO,ARMA BLANCA / CORTOPUNZANTE
ATLANTICO,SIN EMPLEO DE ARMAS
ATLANTICO,ARMA DE FUEGO
ATLANTICO,ARMA BLANCA / CORTOPUNZANTE
ATLANTICO,CONTUNDENTES
BOLIVAR,SIN EMPLEO DE ARMAS
BOLIVAR,CONTUNDENTES
BOLIVAR,PERRO
BOLIVAR,CONTUNDENTES
BOLIVAR,ARMA BLANCA / CORTOPUNZANTE
BOLIVAR,ARMA BLANCA / CORTOPUNZANTE
BOYACA,SIN EMPLEO DE ARMAS
CALDAS,ARMA BLANCA / CORTOPUNZANTE
CALDAS,SIN EMPLEO DE ARMAS
CALDAS,CONTUNDENTES
CALDAS,ESCOPOLAMINA
CAQUETA,ARMA DE FUEGO
CAUCA,ARMA BLANCA / CORTOPUNZANTE
CAUCA,ARMA DE FUEGO
CAUCA,CONTUNDENTES
CESAR,SIN EMPLEO DE ARMAS
CESAR,ARMA BLANCA / CORTOPUNZANTE
CHOCO,SIN EMPLEO DE ARMAS
CHOCO,SIN EMPLEO DE ARMAS
CORDOBA,SIN EMPLEO DE ARMAS
CORDOBA,SIN EMPLEO DE ARMAS
CORDOBA,ARMA BLANCA / CORTOPUNZANTE
CORDOBA,CONTUNDENTES
CORDOBA,ARMA BLANCA / CORTOPUNZANTE
CORDOBA,ARMA BLANCA / CORTOPUNZANTE
CORDOBA,ARMA DE FUEGO
CUNDINAMARCA,SIN EMPLEO DE ARMAS
CUNDINAMARCA,ARMA BLANCA / CORTOPUNZANTE
CUNDINAMARCA,ARMA BLANCA / CORTOPUNZANTE
CUNDINAMARCA,ARMA BLANCA / CORTOPUNZANTE
CUNDINAMARCA,SIN EMPLEO DE ARMAS
CUNDINAMARCA,ARMA BLANCA / CORTOPUNZANTE
CUNDINAMARCA,SIN EMPLEO DE ARMAS
CUNDINAMARCA,ARMA BLANCA / CORTOPUNZANTE
