DEPARTAMENTO,BARRIO
AMAZONAS,JARDIN
ANTIOQUIA,CIUDADELA DEL NORTE
ANTIOQUIA,VDA. SAN FELIX
ANTIOQUIA,SANTA RITA
ANTIOQUIA,VDA. SAN FELIX
ANTIOQUIA,LA ARBOLEDA
ANTIOQUIA,ALCALA
ANTIOQUIA,CAMPO VALDES 1  C-4
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LOS CERROS EL VERGEL  C-9
ANTIOQUIA,MANRIQUE 1  C-4
ANTIOQUIA,SAN PEDRO  C-4
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,DOCE DE OCTUBRE C-6
ANTIOQUIA,EL DIAMANTE C-7
ANTIOQUIA,SAN JAVIER 1 C-13
ANTIOQUIA,BARRIO CAYCEDO C-9
ANTIOQUIA,ARANJUEZ  C-4
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,FLORIDA NUEVA C-11
ANTIOQUIA,PARQUE PRINCIPAL
ANTIOQUIA,AVENIDA NAPOLES
ANTIOQUIA,EL LLANITO
ANTIOQUIA,CALLE CALIENTE
ATLANTICO,SANTO DOMINGO DE GUZMAN
ATLANTICO,CARRIZAL
ATLANTICO,EL BOSQUE
ATLANTICO,CARRIZAL
ATLANTICO,ABAJO
ATLANTICO,EL BOSQUE
ATLANTICO,ABAJO
ATLANTICO,CENTRO
BOLIVAR,CHAMBACU
BOLIVAR,NUEVO PORVENIR
BOLIVAR,13 DE JUNIO
BOLIVAR,S. JOSE DE LOS CAMPANOS
BOLIVAR,BARRIO CENTRO
BOLIVAR,BARRIO ABAJO
BOYACA,LA PAZ
CALDAS,ZONA ROSA
CALDAS,SAN JAVIER
CALDAS,BARRIO GALERIAS
CALDAS,BARRIO GALERIAS
CAQUETA,LAS MALVINAS
CAUCA,SITIO O VDA LOS FAROLES
CAUCA,ALFONSO LOPEZ
CAUCA,PANAMERICANO
CESAR,NUEVA COLOMBIA
CESAR,URB.VILLA DARIANA
CHOCO,BAHIA SOLANO
CHOCO,LA VICTORIA
CORDOBA,SAN FRANCISCO
CORDOBA,27 DE JULIO
CORDOBA,CASERÌO LOS VENADOS
CORDOBA,LA GLORIA
CORDOBA,FURATENA
CORDOBA,LOS ALAMOS
CORDOBA,RANCHERIA
CUNDINAMARCA,LA CATEDRAL E-17
CUNDINAMARCA,EL RINCON E-11
CUNDINAMARCA,CASA BLANCA E-11
CUNDINAMARCA,PATIO BONITO I E-8
CUNDINAMARCA,URB. MANUELA BELTRAN E-19
CUNDINAMARCA,EL TINTAL E-8
CUNDINAMARCA,TIMIZA CELULA A LOTE RA-2 E-8
CUNDINAMARCA,BILBAO E-11
CUNDINAMARCA,DANIEL ORTEGA
CUNDINAMARCA,LA FLORIDA
CUNDINAMARCA,KENEDDY
GUAJIRA,ALTOS DEL PARRANTIAL
GUAJIRA,COOPERATIVO
GUAJIRA,CORREGIMIENTO MATITAS
GUAJIRA,LA VICTORIA
HUILA,JOSE ANTONIO GALAN
HUILA,TIMANCO
HUILA,ALFONSO LOPEZ
HUILA,TIMANCO
HUILA,CALAMO
MAGDALENA,5 DE FEBRERO
META,CENTRO
META,CENTRO
META,VEREDA APIAY
META,PORFIA
META,BALATA
META,OKAVANGO
META,7 DE AGOSTO
META,13 DE MAYO
META,VEREDA CANHOS NEGROS
NARINHO,VDA CONSUELO DE CHINYANQUER
NARINHO,VEREDA CHIRANQUER
NARINHO,SAN FERNANDO
NARINHO,FATIMA
NARINHO,TERMINAL
NARINHO,LA ESPERANZA
NARINHO,CENTRO
NARINHO,VILLA DOCENTE
NARINHO,VILLAFLOR II
NARINHO,CHAPAL
NARINHO,TAMASAGRA I
NARINHO,LOS FUNDADORES
NARINHO,VILLAFLOR II
NARINHO,SANTIAGO
NARINHO,VISTA HERMOSA
NORTE DE SANTANDER,BARRIO DIVINA PASTORA
NORTE DE SANTANDER,BARRIO EL PARAMO
PUTUMAYO,VIA MOCOA
QUINDIO,LAS COLINAS
QUINDIO,CIUDADELA EL SOL
QUINDIO,LA ESPERANZA
QUINDIO,LA ESPERANZA
RISARALDA,FRAYLES
RISARALDA,LAURELES II
SAN ANDRES,BARRIO SARIE BAY
SAN ANDRES,BARRIO MODELO I
SAN ANDRES,BARRIO SCHOOL HOUSE
SANTANDER,VILLA ROSA
SANTANDER,EL CENTRO BOLIVAR
SANTANDER,DIAMANTE II
SANTANDER,EL PABLON
SANTANDER,POBLADO
SANTANDER,TEJAR
SANTANDER,SAN FRANCISCO P/TA
SANTANDER,LA COLINA CAMPESTRE
SANTANDER,CERROS DEL MEDITERRANEO
SANTANDER,EL CENTRO
SUCRE,CENTRO
TOLIMA,VARIANTE (ZONA NORTE)
TOLIMA,VARIANTE (ZONA NORTE)
TOLIMA,LOS TUNJOS
TOLIMA,MODELIA
TOLIMA,LOS TUNJOS
TOLIMA,CENTRO
VALLE,BELLAVISTA
VALLE,LOS ANDES E5
VALLE,LOS COMUNEROS I E15
VALLE,SUCRE E9
VALLE,SAN FERNANDO VIEJO E19
VALLE,ALFONSO LOPEZ I E7
VALLE,SANTA FE E8
VALLE,U.R. SANTIAGO DE CALI E19
VALLE,EL RETIRO E15
VALLE,EL REMANSO E21
VALLE,EL VERGEL E13
VALLE,URB. POBLADO CAMPESTRE (23-S-6-3)
VALLE,CGTO EL LAURO (23-1)
VALLE,CORREGIMIENTO DE GUABITAS
VALLE,EL DEPARTAMENTAL
VALLE,RECREO
VALLE,CINCUENTENARIO
VALLE,URBANIZACION BUENOS AIRES
VALLE,URBANIZACION BUENOS AIRES
VALLE,NUEVO FARFAN
VALLE,NUEVO FATIMA
VALLE,ARROYOHONDO ZONA INDUSTRIAL (25-2)
VALLE,BELALCAZAR E25
ANTIOQUIA,SAN PEDRO
ANTIOQUIA,VDA. TABLAZO HATILLO
ANTIOQUIA,EL CONGOLO
ANTIOQUIA,ACEVEDO
ANTIOQUIA,CIUDADELA DEL NORTE
ANTIOQUIA,PRIMAVERA
ANTIOQUIA,EL DORADO
ANTIOQUIA,VDA. SIERRA MORENA
ANTIOQUIA,BELLAVISTA
ANTIOQUIA,SURAMERICANA C-11
ANTIOQUIA,ESTACION VILLA C-10
ANTIOQUIA,PARQUE NORTE C-4
ANTIOQUIA,CASTILLA C-5
ANTIOQUIA,EL CHAGUALO C-10
ANTIOQUIA,LA FLORIDA C-14
ANTIOQUIA,PALENQUE 1 C-7
ANTIOQUIA,BARRIO CAYCEDO C-9
ANTIOQUIA,BELLO HORIZONTE C-7
ANTIOQUIA,BOMBONA 1 C-10
ANTIOQUIA,CARIBE C-5
ANTIOQUIA,EL RINCON C-16
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,GUAYABAL C-15
ANTIOQUIA,GRANADA C-16
ANTIOQUIA,VILLANUEVA C-10
ANTIOQUIA,SANTA CRUZ  C-2
ANTIOQUIA,ESTACION VILLA C-10
ANTIOQUIA,CATALUNHA  C-9
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,CARIBE C-5
ANTIOQUIA,EL CHAGUALO C-10
ANTIOQUIA,CARIBE
ANTIOQUIA,SECTOR GALERIA
ATLANTICO,EL CARMEN
ATLANTICO,BELLA ARENA
ATLANTICO,SANTA CRUZ
ATLANTICO,LA ARBOLEDA
BOLIVAR,LA CRUZ
BOYACA,VDA. TENERIA
BOYACA,BARRIO LOS SAUCES
BOYACA,BARRIO POPULAR
CALDAS,CENTRO
CALDAS,CRISTO REY
CALDAS,CRISTO REY
CALDAS,LA ESTRELLA
CALDAS,URAPANES
CAQUETA,LA AMAZONIA
CAQUETA,JORGE ELIECER GAITAN
CAQUETA,VIA PALESTRO
CASANARE,RAIZAL
CASANARE,ESPERANZA
CAUCA,LA ESPERANZA
CESAR,MAREIGUA
CESAR,LAS FLORES
CESAR,LAS FLORES
CHOCO,EL JARDIN
CORDOBA,LA FLORESTA
CUNDINAMARCA,VENECIA E-6
CUNDINAMARCA,SUCRE E-2
CUNDINAMARCA,EL POA E-11
CUNDINAMARCA,LA CATEDRAL E-3
CUNDINAMARCA,SANTA FE E-14
CUNDINAMARCA,SAN ISIDRO E-4
CUNDINAMARCA,LA MACARENA E-3
CUNDINAMARCA,SUBA CENTRO E-11
CUNDINAMARCA,CHICO NAVARRA E-1
CUNDINAMARCA,SUBA CENTRO E-11
CUNDINAMARCA,LA PAZ E-3
CUNDINAMARCA,SANTA ISABEL E-14
CUNDINAMARCA,SUBA CENTRO E-11
GUAJIRA,ALTO PRADO
GUAJIRA,COLOMBIALIBRE
GUAJIRA,EL CENTRO
GUAVIARE,BARRIO DIVINO NINHO
HUILA,VEREDA CLAROS
HUILA,EL VERGEL
HUILA,LOS DUJOS
HUILA,ENRIQUE OLAYA HERRERA
MAGDALENA,REPOSO
MAGDALENA,ALCAZARES
MAGDALENA,CENTRO HISTORICO
MAGDALENA,RODADERO SUR
META,CENTRO
META,ESTERO
META,INDUSTRIAL
META,SAN BENITO
META,BELLO HORIZONTE
NARINHO,BENJAMIN HERRERA
NARINHO,RECUERDO
NARINHO,CANTARANA
NARINHO,POTRERILLO
NARINHO,POTRERILLO
NARINHO,NUEVO SOL
NARINHO,CENTRO
NARINHO,CHAPAL
NARINHO,CAICEDO ALTO
NARINHO,AV. ESTUDIANTES
NARINHO,CHILE
NARINHO,CENTRO
NARINHO,POTRERILLO
NARINHO,MADRIGAL
NARINHO,NIZA II
NARINHO,CENTRO
NARINHO,CENTRO
NARINHO,AV. CHAMPAGNAT
NORTE DE SANTANDER,BARRIO PRADOS DEL ESTE
NORTE DE SANTANDER,BARRIO EL BOSQUE
QUINDIO,SECTOR CAM
QUINDIO,VERACRUZ
QUINDIO,SECTOR COLISEO DEL CAFE
QUINDIO,MIRAFLORES BAJO
QUINDIO,CIUDADELA EL ENSUENHO
QUINDIO,CIUDADELA EL ENSUENHO
RISARALDA,B. CENTRO
RISARALDA,B. CENTRO
RISARALDA,B. CENTRO
RISARALDA,SECTOR LA POPA
RISARALDA,LA AURORA
RISARALDA,LA AURORA
RISARALDA,PLAZA CIVICA CIUDAD VICTORIA
RISARALDA,SECTOR PLAZA DE BOLIVAR
RISARALDA,SECTOR AVENIDA DEL RIO
RISARALDA,LAS GARZAS
SANTANDER,LA ESPERANZA
SANTANDER,GARCIA ROVIRA
SANTANDER,CABECERA DEL LLANO
SANTANDER,REGADERO NORTE
SANTANDER,TRANSICION V
SANTANDER,DIAMANTE II
SANTANDER,VILLA ROSA
SANTANDER,PIO XII
SANTANDER,EL BOSQUE
SANTANDER,PANORAMA
TOLIMA,VIA PIEDRAS
TOLIMA,CENTRO
TOLIMA,VRDA. DINDALITO
VALLE,EL GRAN LIMONAR E17
VALLE,NORMANDIA E2
VALLE,ALFONSO B. ARAGON E14
VALLE,MARIANO RAMOS E16
VALLE,EL RETIRO E15
VALLE,SANTA ROSA E3
VALLE,SANTA TERESITA E2
VALLE,SAN PEDRO E3
VALLE,VALLADO E15
VALLE,SIETE DE AGOSTO E7
VALLE,JORGE ISAACS E4
VALLE,JORGE ISAACS E4
VALLE,SILOE E20
VALLE,MARROQUIN I E14
VALLE,CALLEJON TIPLE ARRIBA (23-S-4-1)
VALLE,CANDELARIA (23-1 23-2)
VALLE,CENTRAL (23-S-2-1)
VALLE,JORGE ELIECER GAITAN
VALLE,LA PRADERA I E24
VALLE,ZAMORANO
VALLE,CENTRAL
VALLE,CENTRAL
VALLE,VILLA CLAUDIA
ANTIOQUIA,VDA. POTRERITO
ANTIOQUIA,ZONA CENTRO
ANTIOQUIA,ASOVIVIENDA
ANTIOQUIA,PALMIRA
ANTIOQUIA,VILLANUEVA
ANTIOQUIA,TERRA NOVA
ANTIOQUIA,VDA. LA MARIA
ANTIOQUIA,SAN PIO
ANTIOQUIA,VILLA PAULA
ANTIOQUIA,CENTRO
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,VILLANUEVA C-10
ANTIOQUIA,LA CANDELARIA C-10
QUINDIO,ZONA CENTRO
ANTIOQUIA,GERONA  C-9
ANTIOQUIA,LA MILAGROSA  C-9
ANTIOQUIA,HECTOR ABAD GOMEZ C-5
ANTIOQUIA,CRISTO REY C-15
ANTIOQUIA,BARRIO COLOMBIA C-14
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LAURELES C-11
ANTIOQUIA,LOS ANGELES C-10
ANTIOQUIA,EL POBLADO C-14
ANTIOQUIA,BOYACA C-5
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,CARIBE C-5
ANTIOQUIA,ESTACION VILLA C-10
ANTIOQUIA,ESTACION VILLA C-10
ANTIOQUIA,AMANECERES
ANTIOQUIA,CAMPO ALEGRE
ANTIOQUIA,LLANOGRANDE
ANTIOQUIA,RINCON DE SAN ANTONIO
ANTIOQUIA,RIO ABAJO
ANTIOQUIA,CERAMICA
ANTIOQUIA,SAN MIGUEL
ANTIOQUIA,SAN MIGUEL
ATLANTICO,CARRIZAL
ATLANTICO,VILLAS DE LA CORDIALIDAD
ATLANTICO,VILLAS DE LA CORDIALIDAD
ATLANTICO,BOSTON
ATLANTICO,EL SANTUARIO
ATLANTICO,REBOLO
ATLANTICO,PASADENA
ATLANTICO,BOSTON
BOYACA,SAN JOSE
BOYACA,CENTRO
BOYACA,BARRIO SANTA BARBARA
CALDAS,CENTRO
CALDAS,BARRIO LOS AGUSTINOS
CALDAS,BARRIO CHIPRE
CAQUETA,CIUDADELA HABITACIONAL SIGLO XXI
CAQUETA,LA LIBERTAD
CASANARE,ALGARROBO
CASANARE,ALGARROBO
CASANARE,ALGARROBO
CASANARE,ALGARROBO
CASANARE,ALGARROBO
CASANARE,CENTRO
CASANARE,LA FRAGUA
CASANARE,LA FRAGUA
CAUCA,POSTOBON
CAUCA,SOLIDARIDAD
CAUCA,ALAMEDA
CAUCA,VILLA DOCENTE
CAUCA,CHAMPAGNHA
CAUCA,RETIRO BAJO
CORDOBA,EL CENTRO
CORDOBA,VEREDA BESITO VOLADO
CORDOBA,VIA MONTERIA -PLANETA RICA
CUNDINAMARCA,URB. LA COLINA CAMPESTRE I SECTOR E-11
CUNDINAMARCA,CHAPINERO NORTE E-2
CUNDINAMARCA,CHAPINERO NORTE E-2
CUNDINAMARCA,CHAPINERO NORTE E-2
CUNDINAMARCA,ALQUERIA LA FRAGUA E-8
CUNDINAMARCA,NICOLAS DE FEDERMAN E-13
CUNDINAMARCA,GUSTAVO RESTREPO E-18
CUNDINAMARCA,VENECIA E-6
CUNDINAMARCA,CHICO NORTE II SECTOR E-1
CUNDINAMARCA,SAN ANTONIO E-15
CUNDINAMARCA,EL RINCON E-11
CUNDINAMARCA,LOS CEDRITOS E-1
CUNDINAMARCA,VILLA MAYOR E-15
GUAJIRA,CENTRO
GUAJIRA,31 DE OCTUBRE
GUAJIRA,31 DE OCTUBRE
GUAJIRA,EL CENTRO
HUILA,QUIRINAL
HUILA,LAS  MERCEDES
HUILA,CENTRO
HUILA,VEREDA MATEO RICO
MAGDALENA,CENTRO HISTORICO
MAGDALENA,CENTRO HISTORICO
META,CENTRO
META,MONTECARLO
META,BRISAS DEL GUATIQUIA
META,CENTRO
META,LA ESPERANZA
META,VILLA MELIDA
META,CANAAN
META,LA ESMERALDA
META,CENTRO
META,CENTRO
META,PIAMONTE
META,CENTRO
META,CENTRO
META,MONTECARLO
META,GAVIOTAS
META,CENTRO
META,VEREDA APIAY
NARINHO,20 DE JULIO
NARINHO,CENTRO
NARINHO,SAN FELIPE
NARINHO,CENTRO
NARINHO,20 DE JULIO
NARINHO,20 DE JULIO
NARINHO,CENTRO
NARINHO,OBRERO
NARINHO,SANTANDER
NARINHO,CENTRO
NARINHO,EMILIO BOTERO
NARINHO,SAN ANDRES
NARINHO,CENTRO
NARINHO,CENTRO
NARINHO,PANORAMICO I ETAPA
NARINHO,CENTRO
NORTE DE SANTANDER,BARRIO CALLEJON
NORTE DE SANTANDER,BARRIO BELLAVISTA
PUTUMAYO,SUBESTACION SAN JUAN DE VILLALOBOS
PUTUMAYO,EL CENTRO
QUINDIO,NUEVA ARMENIA
QUINDIO,ACACIAS
QUINDIO,BOSQUES DE PINARES
QUINDIO,CENTRO
QUINDIO,BUENOS AIRES
QUINDIO,SAGUANES
RISARALDA,SAN DIEGO
RISARALDA,BAYRON GAVIRIA
RISARALDA,TURIN
RISARALDA,VDA. EL MANZANO
RISARALDA,SANTA TERESITA
RISARALDA,SECTOR PARQUE EL LAGO
RISARALDA,ALFONSO LOPEZ
RISARALDA,B. SAN FRANCISCO
SANTANDER,GALAN GOMEZ
SANTANDER,NARINHO
SANTANDER,NARINHO
SANTANDER,CENTRO
SANTANDER,CLAVERIANO
TOLIMA,RONDON
TOLIMA,ASOBETANIA
TOLIMA,VILLA ANGELICA
TOLIMA,KENEDY
TOLIMA,CENTRO
TOLIMA,JARDIN II ETAPA
TOLIMA,JORDAN MUTIFAMILIARES
TOLIMA,ONZAGA
TOLIMA,LA MANSION
TOLIMA,KENEDY
TOLIMA,MACARENA ALTA
TOLIMA,EL JORDAN
VALLE,LOS LAGOS E13
VALLE,MORICHAL DE COMFANDI E15
VALLE,SAN LUIS E6
VALLE,CRISTOBAL COLON E10
VALLE,PARCELACIONES PANCE E22
VALLE,ALAMEDA E9
VALLE,PARCELACIONES PANCE E22
VALLE,ALFONSO BARBERENA E12
VALLE,EL INGENIO E17
VALLE,ALFONSO B. ARAGON E14
VALLE,SAN FERNANDO VIEJO E19
VALLE,EL SENA E5
VALLE,PARCELACIONES PANCE E22
VALLE,PRIMERO DE MAYO E17
VALLE,PANAMERICANO (23-2)
VALLE,VIA CENCAR - AEREOPUERTO
VALLE,FRANCISCANOS
VALLE,LAS DELICIAS
VALLE,VIA YUMBO DAPA (25-8)
VALLE,VIA YUMBO DAPA (25-8)
VALLE,BELALCAZAR E25
AMAZONAS,SIMON BOLIVAR
AMAZONAS,CENTRO (LETICIA)
ANTIOQUIA,PARQUE PRINCIPAL
ANTIOQUIA,LA MADERA
ANTIOQUIA,SANTA MARIA # 3
ANTIOQUIA,LA CIUDADELA
ANTIOQUIA,LA CIUDADELA
ANTIOQUIA,CAMPO VALDES 1  C-4
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,ARANJUEZ  C-4
ANTIOQUIA,BARRIO COLOMBIA C-14
ANTIOQUIA,CERRO EL VOLADOR C-7
ANTIOQUIA,ENCISO C-8
ANTIOQUIA,PROGRESO 2 C-6
ANTIOQUIA,VILLANUEVA C-10
ANTIOQUIA,PRADO C-10
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,EL DIAMANTE C-7
ANTIOQUIA,LA PINHUELA  C-4
ANTIOQUIA,EL TESORO C-14
ANTIOQUIA,CONQUISTADORES C-11
ANTIOQUIA,LAURELES C-11
ANTIOQUIA,PRADO C-10
ANTIOQUIA,LA CASTELLANA C-11
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,MANILA C-14
ANTIOQUIA,NARANJAL C-11
ANTIOQUIA,PRADO C-10
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,BOMBONA 1 C-10
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,REMANSOS
ANTIOQUIA,TABLAZO
ANTIOQUIA,TABLAZO
ARAUCA,LAS CABANHAS
ATLANTICO,EL ROSARIO
ATLANTICO,LA VICTORIA
ATLANTICO,CENTRO
ATLANTICO,7 DE ABRIL
BOYACA,CENTRO
BOYACA,VDA. RESGUARDO
CALDAS,PLAZA DE TOROS
CALDAS,ONDAS DE OTUN
CALDAS,FUNDADORES
CALDAS,ARBOLEDA
CALDAS,CENTRO
CALDAS,SECTOR EL CABLE
CAQUETA,EL PORVENIR
CAQUETA,LA VEGA
CAQUETA,RICAURTE
CAQUETA,TORASSO
CAQUETA,TORASSO
CAUCA,CENTRO
CESAR,OLAYA HERRERA
CESAR,EL CARMEN
CESAR,FERIA GANADERA
CHOCO,ZONA MINERA
CHOCO,JULIO FIGUEROA VILLA
CORDOBA,VEREDA SANTA ANA
CUNDINAMARCA,LAS AGUAS E-17
CUNDINAMARCA,URB. PALENQUE E-8
CUNDINAMARCA,TEUSAQUILLO E-13
CUNDINAMARCA,VILLA NELLY E-8
CUNDINAMARCA,GALERIAS E-13
CUNDINAMARCA,LA MACARENA E-3
CUNDINAMARCA,PASADENA ROYAL E-11
CUNDINAMARCA,LA CASTELLANA E-12
CUNDINAMARCA,LA CASTELLANA E-12
CUNDINAMARCA,CIUDAD JARDIN SUR E-15
CUNDINAMARCA,BILBAO E-11
CUNDINAMARCA,ESTADOS UNIDOS   E-8
CUNDINAMARCA,IBERIA E-11
CUNDINAMARCA,CHICO NORTE I E-2
CUNDINAMARCA,SUBA CENTRO E-11
CUNDINAMARCA,GUSTAVO RESTREPO E-18
CUNDINAMARCA,EL PLAYON - LA PLAYITA III E-18
CUNDINAMARCA,ENTRERIOS E-12
CUNDINAMARCA,QUIRIGUA I E-10
CUNDINAMARCA,"LA SOLEDAD, SAN JOSE NORTE E-10"
CUNDINAMARCA,BOSQUES DE SAN JOSE E-18
CUNDINAMARCA,VILLA CLEMENCIA E-7
CUNDINAMARCA,EL RECREO E-7
CUNDINAMARCA,LAS MARGARITAS E-7
CUNDINAMARCA,CENTRO
GUAJIRA,CENTRO
GUAJIRA,EL CARMEN
GUAJIRA,EL CARMEN
GUAJIRA,LA VICTORIA
HUILA,RAFAEL AZUERO MANCHOLA
HUILA,LUIS CARLOS GALAN ETAPA I
HUILA,ENRIQUE OLAYA HERRERA
META,VILLA MELIDA
META,RELIQUIA
META,BARZAL BAJO
META,DONHA LUZ
META,REMANSO
META,VILLA JULIA
META,LLANO LINDO
META,JORDAN
META,ESTERO
META,CAMINO REAL
META,MACUNAIMA
META,COMUNEROS
META,ESTERO
NARINHO,SANTANDER
NARINHO,CENTRO
NARINHO,GOLGOTA
NARINHO,OBRERO
NARINHO,20 DE JULIO
NARINHO,LORENZO
NARINHO,LORENZO
NARINHO,MORASURCO
NARINHO,SAN JUAN BOSCO
NARINHO,CENTRO
NARINHO,CENTRO
NARINHO,CENTRO
NARINHO,AV. CHAMPAGNAT
NARINHO,CENTRO
NARINHO,NIZA III
NARINHO,ESTADIO LIBERTAD
NARINHO,LORENZO
NARINHO,PLAZA DEL CARNAVAL
NARINHO,CENTRO
NARINHO,CENTRO
NARINHO,CENTRO
NARINHO,EL MORRO
NARINHO,SAN JUAN
NORTE DE SANTANDER,BARRIO LOS PINOS
NORTE DE SANTANDER,BARRIO LA PLAYA
NORTE DE SANTANDER,BARRIO SAN JOSE
NORTE DE SANTANDER,BARRIO LA LIBERTAD
NORTE DE SANTANDER,BARRIO SIMON BOLIVAR
NORTE DE SANTANDER,BARRIO CENTRO
PUTUMAYO,PABLO VI
PUTUMAYO,CENTRO
PUTUMAYO,CIUDADELA UNIVERSITARIA
PUTUMAYO,PERPETUO SOCORRO
QUINDIO,SAN FERNANDO
QUINDIO,MIRAFLORES BAJO
QUINDIO,ZONA CENTRO
QUINDIO,PLAZOLETA LA VILLA
RISARALDA,LOS NARANJOS
RISARALDA,VILLAVICENCIO
RISARALDA,SECTOR AV 30 AGO ENTRE CL 37 Y 41
SANTANDER,SECTOR COMERCIAL
SANTANDER,SANTA ISABEL
SANTANDER,LA ESPERANZA
SANTANDER,JARDINES DE COAVICONSA
SANTANDER,NUEVO SOTOMAYOR
SANTANDER,SAN RAFAEL
SANTANDER,SAN FRANCISCO
SANTANDER,KENNEDY
VALLE,LA PAZ E2
SANTANDER,BUCARAMANGA
SANTANDER,LAGOS I
SANTANDER,HACIENDA SAN JUAN
SANTANDER,CONVIVIR
SANTANDER,CENTRO P/TA
SUCRE,EL PROGRESO
SUCRE,ESPANHA
TOLIMA,HACIENDA PIEDRAPINTADA
TOLIMA,EL CARMEN
TOLIMA,ESTACION
TOLIMA,CADIZ
TOLIMA,TOLIMA GRANDE
TOLIMA,JORDAN MUTIFAMILIARES
TOLIMA,SANTA RITA
TOLIMA,CENTRO
VALLE,VERSALLES E2
