DEPARTAMENTO,DIA
AMAZONAS,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ANTIOQUIA,DOMINGO
ATLANTICO,DOMINGO
ATLANTICO,DOMINGO
ATLANTICO,DOMINGO
ATLANTICO,DOMINGO
ATLANTICO,DOMINGO
ATLANTICO,DOMINGO
ATLANTICO,DOMINGO
ATLANTICO,DOMINGO
BOLIVAR,DOMINGO
BOLIVAR,DOMINGO
BOLIVAR,DOMINGO
BOLIVAR,DOMINGO
BOLIVAR,DOMINGO
BOLIVAR,DOMINGO
BOYACA,DOMINGO
CALDAS,DOMINGO
CALDAS,DOMINGO
CALDAS,DOMINGO
CALDAS,DOMINGO
CAQUETA,DOMINGO
CAUCA,DOMINGO
CAUCA,DOMINGO
CAUCA,DOMINGO
CESAR,DOMINGO
CESAR,DOMINGO
CHOCO,DOMINGO
CHOCO,DOMINGO
CORDOBA,DOMINGO
CORDOBA,DOMINGO
CORDOBA,DOMINGO
CORDOBA,DOMINGO
CORDOBA,DOMINGO
CORDOBA,DOMINGO
CORDOBA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
CUNDINAMARCA,DOMINGO
GUAJIRA,DOMINGO
GUAJIRA,DOMINGO
GUAJIRA,DOMINGO
GUAJIRA,DOMINGO
HUILA,DOMINGO
HUILA,DOMINGO
HUILA,DOMINGO
HUILA,DOMINGO
HUILA,DOMINGO
MAGDALENA,DOMINGO
META,DOMINGO
META,DOMINGO
META,DOMINGO
META,DOMINGO
META,DOMINGO
META,DOMINGO
META,DOMINGO
META,DOMINGO
META,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NARINHO,DOMINGO
NORTE DE SANTANDER,DOMINGO
NORTE DE SANTANDER,DOMINGO
PUTUMAYO,DOMINGO
QUINDIO,DOMINGO
QUINDIO,DOMINGO
QUINDIO,DOMINGO
QUINDIO,DOMINGO
RISARALDA,DOMINGO
RISARALDA,DOMINGO
SAN ANDRES,DOMINGO
SAN ANDRES,DOMINGO
SAN ANDRES,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SANTANDER,DOMINGO
SUCRE,DOMINGO
TOLIMA,DOMINGO
TOLIMA,DOMINGO
TOLIMA,DOMINGO
TOLIMA,DOMINGO
TOLIMA,DOMINGO
TOLIMA,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
VALLE,DOMINGO
