DEPARTAMENTO,EDAD
AMAZONAS,ADULTOJOVEN
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOMAYOR
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOJOVEN
ANTIOQUIA,ADULTOMAYOR
ANTIOQUIA,ADULTO
ANTIOQUIA,ADULTOJOVEN
ATLANTICO,ADULTOMAYOR
ATLANTICO,ADULTOJOVEN
ATLANTICO,ANCIANO
ATLANTICO,ADULTO
ATLANTICO,ADULTOMAYOR
ATLANTICO,ADULTOJOVEN
ATLANTICO,ADULTO
ATLANTICO,ADULTOJOVEN
BOLIVAR,ADULTO
BOLIVAR,ADULTOJOVEN
BOLIVAR,ADULTOJOVEN
BOLIVAR,ADULTO
BOLIVAR,ADULTO
BOLIVAR,ADULTO
BOYACA,ADULTOJOVEN
CALDAS,ADULTOJOVEN
CALDAS,ADULTO
CALDAS,ANCIANO
CALDAS,ADULTO
CAQUETA,ADULTOMAYOR
CAUCA,ADULTO
CAUCA,ADULTOJOVEN
CAUCA,ADULTO
CESAR,ADULTO
CESAR,ADULTOJOVEN
CHOCO,ADULTO
CHOCO,ADULTOJOVEN
CORDOBA,ADOLESCENTE
CORDOBA,ADULTOJOVEN
CORDOBA,ADULTO
CORDOBA,ADULTOJOVEN
CORDOBA,ADULTOJOVEN
CORDOBA,ADULTO
CORDOBA,ADULTOJOVEN
CUNDINAMARCA,ADULTOJOVEN
CUNDINAMARCA,ADULTO
CUNDINAMARCA,ADULTOJOVEN
CUNDINAMARCA,ADULTOMAYOR
CUNDINAMARCA,ADULTO
CUNDINAMARCA,ADULTOMAYOR
CUNDINAMARCA,ADULTOJOVEN
CUNDINAMARCA,ADULTO
CUNDINAMARCA,OTRA
CUNDINAMARCA,ADULTOMAYOR
CUNDINAMARCA,ADULTO
GUAJIRA,ADULTO
GUAJIRA,ADULTO
GUAJIRA,ADULTOJOVEN
GUAJIRA,ADULTO
HUILA,ADULTOJOVEN
HUILA,ADULTOJOVEN
HUILA,ADULTO
HUILA,ADOLESCENTE
HUILA,ADULTOJOVEN
MAGDALENA,ADULTOJOVEN
META,ADULTO
META,ADULTOJOVEN
META,ADULTOMAYOR
META,ADULTOJOVEN
META,ADULTOJOVEN
META,ADULTO
META,ADULTO
META,ADULTOMAYOR
META,ADULTOJOVEN
NARINHO,ADULTOJOVEN
NARINHO,ADULTO
NARINHO,ADULTOJOVEN
NARINHO,ADULTO
NARINHO,ADULTOJOVEN
NARINHO,ADULTOMAYOR
NARINHO,ADULTO
NARINHO,ADULTOJOVEN
NARINHO,ADULTOJOVEN
NARINHO,ADULTOJOVEN
NARINHO,ADULTOJOVEN
NARINHO,ADULTO
NARINHO,ADULTOJOVEN
NARINHO,ADULTO
NARINHO,ADULTO
NORTE DE SANTANDER,ADULTOJOVEN
NORTE DE SANTANDER,ADULTOMAYOR
PUTUMAYO,ADULTOJOVEN
QUINDIO,ANCIANO
QUINDIO,ADULTO
QUINDIO,ADULTO
QUINDIO,ADULTO
RISARALDA,ADULTOJOVEN
RISARALDA,ADULTOJOVEN
SAN ANDRES,ADULTOJOVEN
SAN ANDRES,ADULTOMAYOR
SAN ANDRES,ADULTO
SANTANDER,ADULTO
SANTANDER,ADULTOJOVEN
SANTANDER,ANCIANO
SANTANDER,ADULTO
SANTANDER,ADULTOJOVEN
SANTANDER,ADULTOJOVEN
SANTANDER,ADULTOJOVEN
SANTANDER,ADULTOJOVEN
SANTANDER,ADULTO
