DEPARTAMENTO,HORA
AMAZONAS,MADRUGADA
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,NOCHE
ANTIOQUIA,NOCHE
ANTIOQUIA,MANHANA
ANTIOQUIA,TARDE
ANTIOQUIA,ALMUERZO
ANTIOQUIA,ALMUERZO
ANTIOQUIA,MANHANA
ANTIOQUIA,TARDE
ANTIOQUIA,ALMUERZO
ANTIOQUIA,TARDE
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MADRUGADA
ANTIOQUIA,TARDE
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MADRUGADA
ANTIOQUIA,TARDE
ANTIOQUIA,ALMUERZO
ANTIOQUIA,MADRUGADA
ANTIOQUIA,ALMUERZO
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MADRUGADA
ATLANTICO,NOCHE
ATLANTICO,TARDE
ATLANTICO,TARDE
ATLANTICO,MADRUGADA
ATLANTICO,MOVILIZACIONVESPERTINA
ATLANTICO,MADRUGADA
ATLANTICO,MOVILIZACIONVESPERTINA
ATLANTICO,MADRUGADA
BOLIVAR,MOVILIZACIONVESPERTINA
BOLIVAR,MANHANA
BOLIVAR,NOCHE
BOLIVAR,MADRUGADA
BOLIVAR,TARDE
BOLIVAR,MANHANA
BOYACA,MANHANA
CALDAS,MOVILIZACIONVESPERTINA
CALDAS,MANHANA
CALDAS,MANHANA
CALDAS,MANHANA
CAQUETA,MADRUGADA
CAUCA,MOVILIZACIONVESPERTINA
CAUCA,ALMUERZO
CAUCA,MANHANA
CESAR,ALMUERZO
CESAR,MADRUGADA
CHOCO,MOVILIZACIONVESPERTINA
CHOCO,MANHANA
CORDOBA,TARDE
CORDOBA,MADRUGADA
CORDOBA,TARDE
CORDOBA,NOCHE
CORDOBA,MADRUGADA
CORDOBA,NOCHE
CORDOBA,ALMUERZO
CUNDINAMARCA,MOVILIZACIONVESPERTINA
CUNDINAMARCA,MADRUGADA
CUNDINAMARCA,NOCHE
CUNDINAMARCA,MADRUGADA
CUNDINAMARCA,MADRUGADA
CUNDINAMARCA,NOCHE
CUNDINAMARCA,MADRUGADA
CUNDINAMARCA,MADRUGADA
CUNDINAMARCA,TARDE
CUNDINAMARCA,NOCHE
CUNDINAMARCA,MADRUGADA
GUAJIRA,MADRUGADA
GUAJIRA,TARDE
GUAJIRA,NOCHE
GUAJIRA,MADRUGADA
HUILA,MADRUGADA
HUILA,MADRUGADA
HUILA,TARDE
HUILA,MADRUGADA
HUILA,MANHANA
MAGDALENA,MOVILIZACIONMATUTINA
META,MADRUGADA
META,MADRUGADA
META,TARDE
META,ALMUERZO
META,TARDE
META,MOVILIZACIONVESPERTINA
META,MADRUGADA
META,MADRUGADA
META,ALMUERZO
NARINHO,MANHANA
NARINHO,MANHANA
NARINHO,MADRUGADA
NARINHO,ALMUERZO
NARINHO,MANHANA
NARINHO,MOVILIZACIONVESPERTINA
NARINHO,ALMUERZO
NARINHO,NOCHE
NARINHO,MOVILIZACIONVESPERTINA
NARINHO,ALMUERZO
NARINHO,TARDE
NARINHO,MADRUGADA
NARINHO,MADRUGADA
NARINHO,MADRUGADA
NARINHO,MADRUGADA
NORTE DE SANTANDER,MOVILIZACIONVESPERTINA
NORTE DE SANTANDER,TARDE
PUTUMAYO,NOCHE
QUINDIO,MANHANA
QUINDIO,MADRUGADA
QUINDIO,ALMUERZO
QUINDIO,ALMUERZO
RISARALDA,MOVILIZACIONVESPERTINA
RISARALDA,MADRUGADA
SAN ANDRES,MOVILIZACIONVESPERTINA
SAN ANDRES,TARDE
SAN ANDRES,MADRUGADA
SANTANDER,MOVILIZACIONVESPERTINA
SANTANDER,NOCHE
SANTANDER,NOCHE
SANTANDER,TARDE
SANTANDER,NOCHE
SANTANDER,MOVILIZACIONVESPERTINA
SANTANDER,MADRUGADA
SANTANDER,MADRUGADA
SANTANDER,NOCHE
SANTANDER,MOVILIZACIONVESPERTINA
SUCRE,NOCHE
TOLIMA,MANHANA
TOLIMA,MANHANA
TOLIMA,MADRUGADA
TOLIMA,MADRUGADA
TOLIMA,MADRUGADA
TOLIMA,MOVILIZACIONVESPERTINA
VALLE,MOVILIZACIONVESPERTINA
VALLE,MOVILIZACIONVESPERTINA
VALLE,MANHANA
VALLE,MANHANA
VALLE,MANHANA
VALLE,TARDE
VALLE,MOVILIZACIONVESPERTINA
VALLE,NOCHE
VALLE,MANHANA
VALLE,MADRUGADA
VALLE,TARDE
VALLE,MADRUGADA
VALLE,MADRUGADA
VALLE,MANHANA
VALLE,MANHANA
VALLE,MADRUGADA
VALLE,TARDE
VALLE,MOVILIZACIONVESPERTINA
VALLE,MOVILIZACIONVESPERTINA
VALLE,MANHANA
VALLE,NOCHE
VALLE,MOVILIZACIONVESPERTINA
VALLE,NOCHE
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MANHANA
ANTIOQUIA,MADRUGADA
ANTIOQUIA,NOCHE
ANTIOQUIA,MANHANA
ANTIOQUIA,TARDE
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,MANHANA
ANTIOQUIA,ALMUERZO
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,TARDE
ANTIOQUIA,TARDE
ANTIOQUIA,TARDE
ANTIOQUIA,TARDE
ANTIOQUIA,MANHANA
ANTIOQUIA,ALMUERZO
ANTIOQUIA,ALMUERZO
ANTIOQUIA,TARDE
ANTIOQUIA,TARDE
ANTIOQUIA,NOCHE
ANTIOQUIA,MANHANA
ANTIOQUIA,NOCHE
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,TARDE
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,NOCHE
ANTIOQUIA,TARDE
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,MOVILIZACIONVESPERTINA
ANTIOQUIA,TARDE
ATLANTICO,MOVILIZACIONMATUTINA
ATLANTICO,TARDE
ATLANTICO,MANHANA
ATLANTICO,ALMUERZO
BOLIVAR,MANHANA
BOYACA,MOVILIZACIONVESPERTINA
BOYACA,NOCHE
BOYACA,MADRUGADA
CALDAS,NOCHE
CALDAS,MADRUGADA
CALDAS,MADRUGADA
CALDAS,MOVILIZACIONVESPERTINA
CALDAS,NOCHE
CAQUETA,NOCHE
CAQUETA,MOVILIZACIONVESPERTINA
CAQUETA,TARDE
CASANARE,ALMUERZO
CASANARE,NOCHE
CAUCA,NOCHE
CESAR,MOVILIZACIONVESPERTINA
CESAR,MADRUGADA
CESAR,MADRUGADA
CHOCO,TARDE
CORDOBA,MANHANA
CUNDINAMARCA,MOVILIZACIONVESPERTINA
CUNDINAMARCA,ALMUERZO
CUNDINAMARCA,TARDE
CUNDINAMARCA,ALMUERZO
CUNDINAMARCA,MANHANA
CUNDINAMARCA,MANHANA
CUNDINAMARCA,NOCHE
CUNDINAMARCA,ALMUERZO
CUNDINAMARCA,MADRUGADA
CUNDINAMARCA,MADRUGADA
CUNDINAMARCA,MANHANA
CUNDINAMARCA,MOVILIZACIONVESPERTINA
CUNDINAMARCA,NOCHE
GUAJIRA,TARDE
GUAJIRA,NOCHE
GUAJIRA,MOVILIZACIONVESPERTINA
GUAVIARE,MADRUGADA
HUILA,MOVILIZACIONVESPERTINA
HUILA,MADRUGADA
HUILA,MOVILIZACIONVESPERTINA
HUILA,MANHANA
MAGDALENA,MOVILIZACIONVESPERTINA
MAGDALENA,ALMUERZO
MAGDALENA,MANHANA
MAGDALENA,NOCHE
META,TARDE
META,MADRUGADA
META,TARDE
META,MOVILIZACIONVESPERTINA
META,NOCHE
NARINHO,NOCHE
NARINHO,MOVILIZACIONVESPERTINA
NARINHO,MOVILIZACIONVESPERTINA
NARINHO,MANHANA
NARINHO,MANHANA
NARINHO,NOCHE
NARINHO,MANHANA
NARINHO,MOVILIZACIONVESPERTINA
NARINHO,MANHANA
NARINHO,TARDE
NARINHO,TARDE
NARINHO,MOVILIZACIONMATUTINA
NARINHO,MOVILIZACIONMATUTINA
NARINHO,MOVILIZACIONVESPERTINA
NARINHO,ALMUERZO
NARINHO,NOCHE
NARINHO,MANHANA
NARINHO,MANHANA
NORTE DE SANTANDER,MADRUGADA
NORTE DE SANTANDER,NOCHE
QUINDIO,NOCHE
QUINDIO,ALMUERZO
QUINDIO,NOCHE
QUINDIO,ALMUERZO
QUINDIO,NOCHE
QUINDIO,NOCHE
RISARALDA,MADRUGADA
RISARALDA,MADRUGADA
RISARALDA,MADRUGADA
RISARALDA,MOVILIZACIONVESPERTINA
RISARALDA,ALMUERZO
RISARALDA,ALMUERZO
RISARALDA,MOVILIZACIONVESPERTINA
RISARALDA,MANHANA
RISARALDA,NOCHE
RISARALDA,TARDE
SANTANDER,NOCHE
SANTANDER,MOVILIZACIONVESPERTINA
SANTANDER,MADRUGADA
SANTANDER,MADRUGADA
SANTANDER,MADRUGADA
SANTANDER,ALMUERZO
SANTANDER,TARDE
SANTANDER,MADRUGADA
SANTANDER,MANHANA
SANTANDER,NOCHE
TOLIMA,TARDE
TOLIMA,MADRUGADA
TOLIMA,MADRUGADA
VALLE,MOVILIZACIONVESPERTINA
VALLE,ALMUERZO
VALLE,TARDE
VALLE,TARDE
VALLE,NOCHE
VALLE,MOVILIZACIONVESPERTINA
VALLE,ALMUERZO
VALLE,MADRUGADA
VALLE,MADRUGADA
VALLE,MADRUGADA
VALLE,ALMUERZO
VALLE,ALMUERZO
VALLE,MANHANA
VALLE,MOVILIZACIONVESPERTINA
VALLE,MANHANA
VALLE,NOCHE
VALLE,MADRUGADA
VALLE,TARDE
VALLE,MOVILIZACIONVESPERTINA
VALLE,MANHANA
VALLE,NOCHE
VALLE,NOCHE
VALLE,MADRUGADA
ANTIOQUIA,MADRUGADA
ANTIOQUIA,MANHANA
ANTIOQUIA,NOCHE
ANTIOQUIA,MADRUGADA
ANTIOQUIA,NOCHE
ANTIOQUIA,TARDE
ANTIOQUIA,TARDE
ANTIOQUIA,MADRUGADA
ANTIOQUIA,TARDE
ANTIOQUIA,NOCHE
ANTIOQUIA,MANHANA
ANTIOQUIA,MANHANA
ANTIOQUIA,MANHANA
