DEPARTAMENTO,MARCA
AMAZONAS,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,LENOVO
ANTIOQUIA,SAMSUNG
ANTIOQUIA,APPLE
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,LG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,LG
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ANTIOQUIA,MOTOROLA
ATLANTICO,SAMSUNG
ATLANTICO,MOTOROLA
ATLANTICO,ALCATEL
ATLANTICO,SAMSUNG
ATLANTICO,SAMSUNG
ATLANTICO,LG
ATLANTICO,SAMSUNG
ATLANTICO,SAMSUNG
BOLIVAR,APPLE
BOLIVAR,SAMSUNG
BOLIVAR,MOTOROLA
BOLIVAR,SAMSUNG
BOLIVAR,SAMSUNG
BOLIVAR,LG
BOYACA,OTRA
CALDAS,HUAWEI
CALDAS,SAMSUNG
CALDAS,NOKIA
CALDAS,HUAWEI
CAQUETA,LG
CAUCA,AZUMI
CAUCA,ZTE
CAUCA,AZUMI
CESAR,SAMSUNG
CESAR,SAMSUNG
CHOCO,HUAWEI
CHOCO,ALCATEL
CORDOBA,HUAWEI
CORDOBA,SAMSUNG
CORDOBA,MOTOROLA
CORDOBA,OTRA
CORDOBA,SONY
CORDOBA,HUAWEI
CORDOBA,BLU
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,SAMSUNG
CUNDINAMARCA,NOKIA
CUNDINAMARCA,-
GUAJIRA,SAMSUNG
GUAJIRA,HUAWEI
GUAJIRA,SAMSUNG
GUAJIRA,HUAWEI
HUILA,SAMSUNG
HUILA,-
HUILA,LG
HUILA,SAMSUNG
HUILA,SONY
MAGDALENA,HUAWEI
META,SAMSUNG
META,MOTOROLA
META,HUAWEI
META,SAMSUNG
META,ASUS
META,HUAWEI
META,SAMSUNG
META,SAMSUNG
META,HUAWEI
NARINHO,NOKIA
NARINHO,HUAWEI
NARINHO,MOTOROLA
NARINHO,SAMSUNG
NARINHO,LG
NARINHO,SAMSUNG
NARINHO,LENOVO
NARINHO,SAMSUNG
NARINHO,ASUS
NARINHO,LG
NARINHO,LG
NARINHO,HUAWEI
NARINHO,HUAWEI
NARINHO,NOKIA
NARINHO,MOTOROLA
NORTE DE SANTANDER,SAMSUNG
NORTE DE SANTANDER,ALCATEL
PUTUMAYO,MOTOROLA
QUINDIO,HUAWEI
QUINDIO,ALCATEL
QUINDIO,SAMSUNG
QUINDIO,HUAWEI
RISARALDA,SAMSUNG
RISARALDA,HUAWEI
SAN ANDRES,-
SAN ANDRES,SAMSUNG
SAN ANDRES,SAMSUNG
SANTANDER,SAMSUNG
SANTANDER,HUAWEI
SANTANDER,SAMSUNG
SANTANDER,SAMSUNG
SANTANDER,HUAWEI
SANTANDER,HUAWEI
SANTANDER,MOTOROLA
SANTANDER,AVVIO
SANTANDER,ALCATEL
SANTANDER,SAMSUNG
SUCRE,AVVIO
TOLIMA,SAMSUNG
TOLIMA,HUAWEI
TOLIMA,APPLE
TOLIMA,ALCATEL
TOLIMA,APPLE
TOLIMA,SAMSUNG
VALLE,MOTOROLA
VALLE,LG
VALLE,APPLE
VALLE,SAMSUNG
VALLE,ALCATEL
VALLE,SAMSUNG
VALLE,SAMSUNG
VALLE,HUAWEI
VALLE,SAMSUNG
VALLE,HUAWEI
VALLE,SAMSUNG
VALLE,SAMSUNG
VALLE,SAMSUNG
VALLE,SONY
VALLE,MOTOROLA
VALLE,HUAWEI
VALLE,LANIX
VALLE,SAMSUNG
VALLE,APPLE
VALLE,SAMSUNG
VALLE,SAMSUNG
VALLE,HUAWEI
VALLE,MOTOROLA
ANTIOQUIA,SAMSUNG
ANTIOQUIA,HUAWEI
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,HUAWEI
ANTIOQUIA,MOTOROLA
ANTIOQUIA,ALCATEL
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ANTIOQUIA,HUAWEI
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,LENOVO
ANTIOQUIA,SAMSUNG
ANTIOQUIA,APPLE
ANTIOQUIA,HUAWEI
ANTIOQUIA,HUAWEI
ANTIOQUIA,ZTE
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,NOKIA
ANTIOQUIA,MOTOROLA
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ATLANTICO,-
ATLANTICO,MOTOROLA
ATLANTICO,HUAWEI
ATLANTICO,SAMSUNG
BOLIVAR,SAMSUNG
BOYACA,NOKIA
BOYACA,HUAWEI
BOYACA,APPLE
CALDAS,APPLE
CALDAS,SAMSUNG
CALDAS,MOTOROLA
CALDAS,APPLE
CALDAS,HUAWEI
CAQUETA,SONY
CAQUETA,SONY
CAQUETA,HUAWEI
CASANARE,AVVIO
CASANARE,SAMSUNG
CAUCA,SAMSUNG
CESAR,SAMSUNG
CESAR,SAMSUNG
CESAR,SAMSUNG
CHOCO,ALCATEL
CORDOBA,SAMSUNG
CUNDINAMARCA,-
CUNDINAMARCA,LG
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,ALCATEL
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,SAMSUNG
CUNDINAMARCA,-
GUAJIRA,ALCATEL
GUAJIRA,SAMSUNG
GUAJIRA,SAMSUNG
GUAVIARE,SAMSUNG
HUILA,HUAWEI
HUILA,SAMSUNG
HUILA,SAMSUNG
HUILA,-
MAGDALENA,HUAWEI
MAGDALENA,ALCATEL
MAGDALENA,LANIX
MAGDALENA,AZUMI
META,ALCATEL
META,APPLE
META,HUAWEI
META,ASUS
META,SAMSUNG
NARINHO,HUAWEI
NARINHO,MOTOROLA
NARINHO,HUAWEI
NARINHO,HUAWEI
NARINHO,MOTOROLA
NARINHO,LENOVO
NARINHO,HUAWEI
NARINHO,HUAWEI
NARINHO,MOTOROLA
NARINHO,SAMSUNG
NARINHO,SAMSUNG
NARINHO,SAMSUNG
NARINHO,HUAWEI
NARINHO,HUAWEI
NARINHO,SAMSUNG
NARINHO,APPLE
NARINHO,SAMSUNG
NARINHO,SAMSUNG
NORTE DE SANTANDER,SAMSUNG
NORTE DE SANTANDER,SAMSUNG
QUINDIO,ALCATEL
QUINDIO,SAMSUNG
QUINDIO,SAMSUNG
QUINDIO,HUAWEI
QUINDIO,ALCATEL
QUINDIO,NOKIA
RISARALDA,SAMSUNG
RISARALDA,ALCATEL
RISARALDA,-
RISARALDA,ZTE
RISARALDA,SAMSUNG
RISARALDA,APPLE
RISARALDA,ALCATEL
RISARALDA,-
RISARALDA,MOTOROLA
RISARALDA,SAMSUNG
SANTANDER,SAMSUNG
SANTANDER,MOTOROLA
SANTANDER,MOTOROLA
SANTANDER,BLU
SANTANDER,BLU
SANTANDER,HUAWEI
SANTANDER,OTRA
SANTANDER,SAMSUNG
SANTANDER,HUAWEI
SANTANDER,HUAWEI
TOLIMA,MOTOROLA
TOLIMA,SAMSUNG
TOLIMA,SAMSUNG
VALLE,HUAWEI
VALLE,SAMSUNG
VALLE,HUAWEI
VALLE,ZTE
VALLE,OTRA
VALLE,OTRA
VALLE,LENOVO
VALLE,APPLE
VALLE,ALCATEL
VALLE,HUAWEI
VALLE,APPLE
VALLE,APPLE
VALLE,SAMSUNG
VALLE,NOKIA
VALLE,SAMSUNG
VALLE,SAMSUNG
VALLE,HUAWEI
VALLE,SAMSUNG
VALLE,APPLE
VALLE,ALCATEL
VALLE,NOKIA
VALLE,LANIX
VALLE,AVVIO
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ANTIOQUIA,APPLE
ANTIOQUIA,SAMSUNG
ANTIOQUIA,NOKIA
ANTIOQUIA,MOTOROLA
ANTIOQUIA,LENOVO
ANTIOQUIA,MOTOROLA
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ANTIOQUIA,HUAWEI
QUINDIO,SAMSUNG
ANTIOQUIA,LG
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,AVVIO
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,LG
ANTIOQUIA,ALCATEL
ANTIOQUIA,HUAWEI
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,SAMSUNG
ANTIOQUIA,MOTOROLA
ATLANTICO,NOKIA
ATLANTICO,SAMSUNG
ATLANTICO,OTRA
ATLANTICO,SAMSUNG
ATLANTICO,SAMSUNG
ATLANTICO,LG
ATLANTICO,SAMSUNG
ATLANTICO,SAMSUNG
BOYACA,SAMSUNG
BOYACA,HUAWEI
BOYACA,SAMSUNG
CALDAS,HUAWEI
CALDAS,SAMSUNG
CALDAS,SAMSUNG
CAQUETA,APPLE
CAQUETA,SONY
CASANARE,SAMSUNG
CASANARE,SAMSUNG
CASANARE,AVVIO
CASANARE,AZUMI
CASANARE,OTRA
CASANARE,OTRA
CASANARE,SAMSUNG
CASANARE,ALCATEL
CAUCA,HUAWEI
CAUCA,SAMSUNG
CAUCA,HUAWEI
CAUCA,SAMSUNG
CAUCA,SAMSUNG
CAUCA,BLU
CORDOBA,LANIX
CORDOBA,MOTOROLA
CORDOBA,SAMSUNG
CUNDINAMARCA,SAMSUNG
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,SAMSUNG
CUNDINAMARCA,HUAWEI
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,-
CUNDINAMARCA,SAMSUNG
