DEPARTAMENTO,MUNICIPIO
AMAZONAS,LETICIA (CT)
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,CAUCASIA
ANTIOQUIA,ENVIGADO
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,MEDELLIN (CT)
ANTIOQUIA,NECHI
ANTIOQUIA,PUERTO TRIUNFO
ANTIOQUIA,RIONEGRO
ANTIOQUIA,SONSON
ATLANTICO,BARRANQUILLA (CT)
ATLANTICO,BARRANQUILLA (CT)
ATLANTICO,BARRANQUILLA (CT)
ATLANTICO,BARRANQUILLA (CT)
ATLANTICO,BARRANQUILLA (CT)
ATLANTICO,BARRANQUILLA (CT)
ATLANTICO,BARRANQUILLA (CT)
ATLANTICO,JUAN DE ACOSTA
BOLIVAR,CARTAGENA (CT)
BOLIVAR,CARTAGENA (CT)
BOLIVAR,CARTAGENA (CT)
BOLIVAR,CARTAGENA (CT)
BOLIVAR,MAGANGUE
BOLIVAR,SAN JUAN NEPOMUCENO
BOYACA,SAN MATEO
CALDAS,CHINCHINA
CALDAS,LA DORADA
CALDAS,MANIZALES (CT)
CALDAS,MANIZALES (CT)
CAQUETA,FLORENCIA (CT)
CAUCA,POPAYAN (CT)
CAUCA,POPAYAN (CT)
CAUCA,SANTANDER DE QUILICHAO
CESAR,AGUACHICA
CESAR,VALLEDUPAR (CT)
CHOCO,QUIBDO (CT)
CHOCO,QUIBDO (CT)
CORDOBA,MONTELIBANO
CORDOBA,MONTELIBANO
CORDOBA,MONTERIA (CT)
CORDOBA,MONTERIA (CT)
CORDOBA,MONTERIA (CT)
CORDOBA,MONTERIA (CT)
CORDOBA,SAHAGUN
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,BOGOTA D.C. (CT)
CUNDINAMARCA,FACATATIVA
CUNDINAMARCA,FUSAGASUGA
CUNDINAMARCA,GIRARDOT
GUAJIRA,MAICAO
GUAJIRA,RIOHACHA (CT)
GUAJIRA,RIOHACHA (CT)
GUAJIRA,SAN JUAN DEL CESAR
HUILA,NEIVA (CT)
HUILA,NEIVA (CT)
HUILA,NEIVA (CT)
HUILA,NEIVA (CT)
HUILA,PITALITO
MAGDALENA,CIENAGA
META,GRANADA
META,PUERTO RICO
META,VILLAVICENCIO (CT)
META,VILLAVICENCIO (CT)
META,VILLAVICENCIO (CT)
META,VILLAVICENCIO (CT)
META,VILLAVICENCIO (CT)
META,VILLAVICENCIO (CT)
META,VILLAVICENCIO (CT)
NARINHO,GUACHUCAL
NARINHO,IPIALES
