DEPARTAMENTO,NACIONALIDAD
AMAZONAS,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ANTIOQUIA,COLOMBIA
ATLANTICO,COLOMBIA
ATLANTICO,COLOMBIA
ATLANTICO,COLOMBIA
ATLANTICO,COLOMBIA
ATLANTICO,COLOMBIA
ATLANTICO,COLOMBIA
ATLANTICO,COLOMBIA
ATLANTICO,COLOMBIA
BOLIVAR,COLOMBIA
BOLIVAR,COLOMBIA
BOLIVAR,COLOMBIA
BOLIVAR,COLOMBIA
BOLIVAR,COLOMBIA
BOLIVAR,COLOMBIA
BOYACA,COLOMBIA
CALDAS,COLOMBIA
CALDAS,COLOMBIA
CALDAS,COLOMBIA
CALDAS,COLOMBIA
CAQUETA,COLOMBIA
CAUCA,COLOMBIA
CAUCA,COLOMBIA
CAUCA,COLOMBIA
CESAR,COLOMBIA
CESAR,COLOMBIA
CHOCO,COLOMBIA
CHOCO,COLOMBIA
CORDOBA,COLOMBIA
CORDOBA,COLOMBIA
CORDOBA,COLOMBIA
CORDOBA,COLOMBIA
CORDOBA,COLOMBIA
CORDOBA,COLOMBIA
CORDOBA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,-
CUNDINAMARCA,COLOMBIA
CUNDINAMARCA,COLOMBIA
GUAJIRA,COLOMBIA
GUAJIRA,COLOMBIA
GUAJIRA,COLOMBIA
GUAJIRA,COLOMBIA
HUILA,COLOMBIA
HUILA,COLOMBIA
HUILA,COLOMBIA
HUILA,COLOMBIA
HUILA,COLOMBIA
MAGDALENA,COLOMBIA
META,COLOMBIA
META,COLOMBIA
META,COLOMBIA
META,COLOMBIA
META,COLOMBIA
META,COLOMBIA
META,COLOMBIA
META,COLOMBIA
META,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NARINHO,COLOMBIA
NORTE DE SANTANDER,COLOMBIA
NORTE DE SANTANDER,COLOMBIA
PUTUMAYO,COLOMBIA
QUINDIO,COLOMBIA
QUINDIO,COLOMBIA
QUINDIO,COLOMBIA
QUINDIO,COLOMBIA
RISARALDA,COLOMBIA
RISARALDA,COLOMBIA
SAN ANDRES,COLOMBIA
SAN ANDRES,COLOMBIA
SAN ANDRES,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SANTANDER,COLOMBIA
SUCRE,COLOMBIA
TOLIMA,COLOMBIA
TOLIMA,COLOMBIA
TOLIMA,COLOMBIA
TOLIMA,COLOMBIA
TOLIMA,COLOMBIA
TOLIMA,COLOMBIA
VALLE,COLOMBIA
VALLE,COLOMBIA
VALLE,COLOMBIA
VALLE,COLOMBIA
VALLE,COLOMBIA
VALLE,COLOMBIA
