DEPARTAMENTO,SEXO
AMAZONAS,FEMENINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,MASCULINO
ANTIOQUIA,FEMENINO
ANTIOQUIA,FEMENINO
ATLANTICO,FEMENINO
ATLANTICO,MASCULINO
ATLANTICO,MASCULINO
ATLANTICO,MASCULINO
ATLANTICO,MASCULINO
ATLANTICO,MASCULINO
ATLANTICO,MASCULINO
ATLANTICO,FEMENINO
BOLIVAR,FEMENINO
BOLIVAR,MASCULINO
BOLIVAR,FEMENINO
BOLIVAR,MASCULINO
BOLIVAR,MASCULINO
BOLIVAR,FEMENINO
BOYACA,MASCULINO
CALDAS,MASCULINO
CALDAS,FEMENINO
CALDAS,FEMENINO
CALDAS,MASCULINO
CAQUETA,MASCULINO
CAUCA,MASCULINO
CAUCA,MASCULINO
CAUCA,FEMENINO
CESAR,FEMENINO
CESAR,FEMENINO
CHOCO,MASCULINO
CHOCO,FEMENINO
CORDOBA,FEMENINO
CORDOBA,FEMENINO
CORDOBA,MASCULINO
CORDOBA,MASCULINO
CORDOBA,MASCULINO
CORDOBA,FEMENINO
CORDOBA,MASCULINO
CUNDINAMARCA,FEMENINO
CUNDINAMARCA,MASCULINO
CUNDINAMARCA,FEMENINO
CUNDINAMARCA,MASCULINO
CUNDINAMARCA,MASCULINO
CUNDINAMARCA,FEMENINO
CUNDINAMARCA,MASCULINO
CUNDINAMARCA,MASCULINO
CUNDINAMARCA,-
CUNDINAMARCA,MASCULINO
CUNDINAMARCA,FEMENINO
GUAJIRA,MASCULINO
GUAJIRA,MASCULINO
GUAJIRA,FEMENINO
GUAJIRA,FEMENINO
HUILA,MASCULINO
HUILA,MASCULINO
HUILA,FEMENINO
HUILA,FEMENINO
HUILA,MASCULINO
MAGDALENA,FEMENINO
META,MASCULINO
META,MASCULINO
META,MASCULINO
META,MASCULINO
META,MASCULINO
META,FEMENINO
META,MASCULINO
META,FEMENINO
META,FEMENINO
NARINHO,MASCULINO
NARINHO,MASCULINO
NARINHO,MASCULINO
NARINHO,FEMENINO
NARINHO,FEMENINO
NARINHO,FEMENINO
NARINHO,MASCULINO
NARINHO,MASCULINO
NARINHO,FEMENINO
NARINHO,FEMENINO
NARINHO,MASCULINO
NARINHO,MASCULINO
NARINHO,MASCULINO
NARINHO,MASCULINO
NARINHO,MASCULINO
NORTE DE SANTANDER,MASCULINO
NORTE DE SANTANDER,FEMENINO
PUTUMAYO,MASCULINO
QUINDIO,MASCULINO
QUINDIO,MASCULINO
QUINDIO,FEMENINO
QUINDIO,FEMENINO
RISARALDA,FEMENINO
RISARALDA,FEMENINO
SAN ANDRES,MASCULINO
SAN ANDRES,FEMENINO
SAN ANDRES,FEMENINO
SANTANDER,MASCULINO
SANTANDER,FEMENINO
SANTANDER,FEMENINO
SANTANDER,MASCULINO
SANTANDER,MASCULINO
SANTANDER,MASCULINO
SANTANDER,MASCULINO
SANTANDER,MASCULINO
SANTANDER,MASCULINO
SANTANDER,MASCULINO
SUCRE,FEMENINO
TOLIMA,MASCULINO
TOLIMA,MASCULINO
TOLIMA,FEMENINO
TOLIMA,FEMENINO
TOLIMA,FEMENINO
TOLIMA,FEMENINO
VALLE,FEMENINO
VALLE,FEMENINO
VALLE,MASCULINO
VALLE,MASCULINO
VALLE,FEMENINO
VALLE,FEMENINO
VALLE,FEMENINO
VALLE,MASCULINO
VALLE,MASCULINO
VALLE,FEMENINO
VALLE,MASCULINO
VALLE,FEMENINO
VALLE,MASCULINO
VALLE,MASCULINO
VALLE,FEMENINO
VALLE,MASCULINO
VALLE,FEMENINO
