DEPARTAMENTO,SITIO
AMAZONAS,CASAS DE HABITACION
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,CASAS DE HABITACION
ANTIOQUIA,DISCOTECAS
ANTIOQUIA,CENTRO RECREACIONAL
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,"BARES, CANTINAS Y SIMILARES"
ATLANTICO,VIAS PUBLICAS
ATLANTICO,VEHICULO
ATLANTICO,VIAS PUBLICAS
ATLANTICO,DENTRO DE LA VIVIENDA
ATLANTICO,VIAS PUBLICAS
ATLANTICO,VIAS PUBLICAS
ATLANTICO,VIAS PUBLICAS
ATLANTICO,FRENTE A RESIDENCIAS - VIA PUBLICA
BOLIVAR,CENTRO COMERCIAL
BOLIVAR,VIAS PUBLICAS
BOLIVAR,VIAS PUBLICAS
BOLIVAR,CASAS DE HABITACION
BOLIVAR,VIAS PUBLICAS
BOLIVAR,VIAS PUBLICAS
BOYACA,"HOTELES, RESIDENCIAS, Y SIMILARES."
CALDAS,FRENTE A DISCOTECAS
CALDAS,VIAS PUBLICAS
CALDAS,VIAS PUBLICAS
CALDAS,VIAS PUBLICAS
CAQUETA,VIAS PUBLICAS
CAUCA,VIAS PUBLICAS
CAUCA,VIAS PUBLICAS
CAUCA,VIAS PUBLICAS
CESAR,VIAS PUBLICAS
CESAR,VIAS PUBLICAS
CHOCO,CASAS DE HABITACION
CHOCO,CASAS DE HABITACION
CORDOBA,PISCINA
CORDOBA,VIAS PUBLICAS
CORDOBA,FINCAS Y SIMILARES
CORDOBA,APARTAMENTO
CORDOBA,VIAS PUBLICAS
CORDOBA,VIAS PUBLICAS
CORDOBA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,CICLO RUTA
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,RESTAURANTES
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
GUAJIRA,FRENTE A ALMACEN - VIA PUBLICA
GUAJIRA,VIAS PUBLICAS
GUAJIRA,CASAS DE HABITACION
GUAJIRA,CASAS DE HABITACION
HUILA,VIAS PUBLICAS
HUILA,VIAS PUBLICAS
HUILA,VIAS PUBLICAS
HUILA,VIAS PUBLICAS
HUILA,VIAS PUBLICAS
MAGDALENA,VIAS PUBLICAS
META,DISCOTECAS
META,VIAS PUBLICAS
META,INTERIOR VEHICULO SERVICIO PUBLICO
META,VIAS PUBLICAS
META,CENTRO COMERCIAL
META,PARQUES
META,VIAS PUBLICAS
META,CASAS DE HABITACION
META,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,CASAS DE HABITACION
NARINHO,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,TERMINAL DE TRANSPORTES
NARINHO,VIAS PUBLICAS
NARINHO,PARQUES
NARINHO,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
NARINHO,FRENTE A RESIDENCIAS - VIA PUBLICA
NARINHO,PARQUES
NORTE DE SANTANDER,VIAS PUBLICAS
NORTE DE SANTANDER,VIAS PUBLICAS
PUTUMAYO,VIAS PUBLICAS
QUINDIO,CASAS DE HABITACION
QUINDIO,VIAS PUBLICAS
QUINDIO,VIAS PUBLICAS
QUINDIO,VIAS PUBLICAS
RISARALDA,VIAS PUBLICAS
RISARALDA,VIAS PUBLICAS
SAN ANDRES,SOBRE ANDEN - VIA PUBLICA
SAN ANDRES,CASAS DE HABITACION
SAN ANDRES,VIAS PUBLICAS
SANTANDER,VIAS PUBLICAS
SANTANDER,VIAS PUBLICAS
SANTANDER,CASAS DE HABITACION
SANTANDER,VIAS PUBLICAS
SANTANDER,PARQUES
SANTANDER,VIAS PUBLICAS
SANTANDER,VIAS PUBLICAS
SANTANDER,CANCHA DE FUTBOL
SANTANDER,CASAS DE HABITACION
SANTANDER,VIAS PUBLICAS
SUCRE,VIAS PUBLICAS
TOLIMA,INTERIOR VEHICULO PARTICULAR
TOLIMA,INTERIOR VEHICULO PARTICULAR
TOLIMA,CASAS DE HABITACION
TOLIMA,VIAS PUBLICAS
TOLIMA,CASAS DE HABITACION
TOLIMA,VIAS PUBLICAS
VALLE,VIAS PUBLICAS
VALLE,VIAS PUBLICAS
VALLE,RESTAURANTES
VALLE,"HOTELES, RESIDENCIAS, Y SIMILARES."
VALLE,BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
VALLE,VIAS PUBLICAS
VALLE,FRENTE A RESIDENCIAS - VIA PUBLICA
VALLE,CONJUNTO RESIDENCIAL
VALLE,VIAS PUBLICAS
VALLE,VIAS PUBLICAS
VALLE,VIAS PUBLICAS
VALLE,CASAS DE HABITACION
VALLE,BOMBA DE GASOLINA
VALLE,VIAS PUBLICAS
VALLE,DENTRO DE LA VIVIENDA
VALLE,VIAS PUBLICAS
VALLE,VIAS PUBLICAS
VALLE,VIAS PUBLICAS
VALLE,VIAS PUBLICAS
VALLE,DENTRO DE LA VIVIENDA
VALLE,VIAS PUBLICAS
VALLE,PARQUEADERO
VALLE,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,CASAS DE HABITACION
ANTIOQUIA,PARQUEADERO
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,PARQUES
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,RESTAURANTES
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,TERMINAL DE TRANSPORTES
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,TERMINAL DE TRANSPORTES
ANTIOQUIA,VIAS PUBLICAS
ANTIOQUIA,"DROGUERIAS, FARMACIAS"
ANTIOQUIA,SUPERMERCADOS
ATLANTICO,VIAS PUBLICAS
ATLANTICO,VIAS PUBLICAS
ATLANTICO,VIAS PUBLICAS
ATLANTICO,VIAS PUBLICAS
BOLIVAR,VIAS PUBLICAS
BOYACA,INTERIOR VEHICULO SERVICIO PUBLICO
BOYACA,VIAS PUBLICAS
BOYACA,VIAS PUBLICAS
CALDAS,ZONAS AZULES - VIA PUBLICA
CALDAS,APARTAMENTO
CALDAS,APARTAMENTO
CALDAS,INTERIOR VEHICULO PARTICULAR
CALDAS,VIAS PUBLICAS
CAQUETA,CANCHA DE FUTBOL
CAQUETA,VIAS PUBLICAS
CAQUETA,RIOS
CASANARE,RIOS
CASANARE,VIAS PUBLICAS
CAUCA,VIAS PUBLICAS
CESAR,VIAS PUBLICAS
CESAR,VIAS PUBLICAS
CESAR,VIAS PUBLICAS
CHOCO,VIAS PUBLICAS
CORDOBA,VIAS PUBLICAS
CUNDINAMARCA,ALMACENES
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,TRANSPORTE PUBLICO
CUNDINAMARCA,SOBRE ANDEN - VIA PUBLICA
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,TRANSPORTE PUBLICO
CUNDINAMARCA,PARQUES
CUNDINAMARCA,OFICINAS
CUNDINAMARCA,VIAS PUBLICAS
CUNDINAMARCA,VIAS PUBLICAS
