FECHA,ARMA
ENERO,CONTUNDENTES
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,PERRO
ENERO,CONTUNDENTES
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,ESCOPOLAMINA
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,CONTUNDENTES
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,LLAVE MAESTRA
ENERO,CONTUNDENTES
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,CONTUNDENTES
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,CONTUNDENTES
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
ENERO,CONTUNDENTES
ENERO,ARMA DE FUEGO
ENERO,CONTUNDENTES
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA DE FUEGO
ENERO,SIN EMPLEO DE ARMAS
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,ARMA DE FUEGO
ENERO,ARMA DE FUEGO
ENERO,CONTUNDENTES
ENERO,LLAVE MAESTRA
ENERO,LLAVE MAESTRA
ENERO,CONTUNDENTES
ENERO,ARMA BLANCA / CORTOPUNZANTE
ENERO,SIN EMPLEO DE ARMAS
