FECHA,BARRIO
ENERO,JARDIN
ENERO,CIUDADELA DEL NORTE
ENERO,VDA. SAN FELIX
ENERO,SANTA RITA
ENERO,VDA. SAN FELIX
ENERO,LA ARBOLEDA
ENERO,ALCALA
ENERO,CAMPO VALDES 1  C-4
ENERO,LA CANDELARIA C-10
ENERO,LA CANDELARIA C-10
ENERO,LOS CERROS EL VERGEL  C-9
ENERO,MANRIQUE 1  C-4
ENERO,SAN PEDRO  C-4
ENERO,LA CANDELARIA C-10
ENERO,DOCE DE OCTUBRE C-6
ENERO,EL DIAMANTE C-7
ENERO,SAN JAVIER 1 C-13
ENERO,BARRIO CAYCEDO C-9
ENERO,ARANJUEZ  C-4
ENERO,SEVILLA  C-4
ENERO,FLORIDA NUEVA C-11
ENERO,PARQUE PRINCIPAL
ENERO,AVENIDA NAPOLES
ENERO,EL LLANITO
ENERO,CALLE CALIENTE
ENERO,SANTO DOMINGO DE GUZMAN
ENERO,CARRIZAL
ENERO,EL BOSQUE
ENERO,CARRIZAL
ENERO,ABAJO
ENERO,EL BOSQUE
ENERO,ABAJO
ENERO,CENTRO
ENERO,CHAMBACU
ENERO,NUEVO PORVENIR
ENERO,13 DE JUNIO
ENERO,S. JOSE DE LOS CAMPANOS
ENERO,BARRIO CENTRO
ENERO,BARRIO ABAJO
ENERO,LA PAZ
ENERO,ZONA ROSA
ENERO,SAN JAVIER
ENERO,BARRIO GALERIAS
ENERO,BARRIO GALERIAS
ENERO,LAS MALVINAS
ENERO,SITIO O VDA LOS FAROLES
ENERO,ALFONSO LOPEZ
ENERO,PANAMERICANO
ENERO,NUEVA COLOMBIA
ENERO,URB.VILLA DARIANA
ENERO,BAHIA SOLANO
ENERO,LA VICTORIA
ENERO,SAN FRANCISCO
ENERO,27 DE JULIO
ENERO,CASERÌO LOS VENADOS
ENERO,LA GLORIA
ENERO,FURATENA
ENERO,LOS ALAMOS
ENERO,RANCHERIA
ENERO,LA CATEDRAL E-17
ENERO,EL RINCON E-11
ENERO,CASA BLANCA E-11
ENERO,PATIO BONITO I E-8
ENERO,URB. MANUELA BELTRAN E-19
ENERO,EL TINTAL E-8
ENERO,TIMIZA CELULA A LOTE RA-2 E-8
ENERO,BILBAO E-11
ENERO,DANIEL ORTEGA
ENERO,LA FLORIDA
ENERO,KENEDDY
ENERO,ALTOS DEL PARRANTIAL
ENERO,COOPERATIVO
ENERO,CORREGIMIENTO MATITAS
ENERO,LA VICTORIA
ENERO,JOSE ANTONIO GALAN
ENERO,TIMANCO
ENERO,ALFONSO LOPEZ
ENERO,TIMANCO
ENERO,CALAMO
ENERO,5 DE FEBRERO
ENERO,CENTRO
ENERO,CENTRO
ENERO,VEREDA APIAY
ENERO,PORFIA
ENERO,BALATA
ENERO,OKAVANGO
