FECHA,MUNICIPIO
ENERO,LETICIA (CT)
ENERO,BELLO
ENERO,BELLO
ENERO,BELLO
ENERO,BELLO
ENERO,CAUCASIA
ENERO,ENVIGADO
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,NECHI
ENERO,PUERTO TRIUNFO
ENERO,RIONEGRO
ENERO,SONSON
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,JUAN DE ACOSTA
ENERO,CARTAGENA (CT)
ENERO,CARTAGENA (CT)
ENERO,CARTAGENA (CT)
ENERO,CARTAGENA (CT)
ENERO,MAGANGUE
ENERO,SAN JUAN NEPOMUCENO
ENERO,SAN MATEO
ENERO,CHINCHINA
ENERO,LA DORADA
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,FLORENCIA (CT)
ENERO,POPAYAN (CT)
ENERO,POPAYAN (CT)
ENERO,SANTANDER DE QUILICHAO
ENERO,AGUACHICA
ENERO,VALLEDUPAR (CT)
ENERO,QUIBDO (CT)
ENERO,QUIBDO (CT)
ENERO,MONTELIBANO
ENERO,MONTELIBANO
ENERO,MONTERIA (CT)
ENERO,MONTERIA (CT)
ENERO,MONTERIA (CT)
ENERO,MONTERIA (CT)
ENERO,SAHAGUN
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,FACATATIVA
ENERO,FUSAGASUGA
ENERO,GIRARDOT
ENERO,MAICAO
ENERO,RIOHACHA (CT)
ENERO,RIOHACHA (CT)
ENERO,SAN JUAN DEL CESAR
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,PITALITO
ENERO,CIENAGA
ENERO,GRANADA
ENERO,PUERTO RICO
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
