FECHA,NACIONALIDAD
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,-
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,EUROPA
ENERO,EUROPA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,-
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
ENERO,COLOMBIA
