FECHA,SITIO
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,DISCOTECAS
ENERO,CENTRO RECREACIONAL
ENERO,VIAS PUBLICAS
ENERO,"BARES, CANTINAS Y SIMILARES"
ENERO,VIAS PUBLICAS
ENERO,VEHICULO
ENERO,VIAS PUBLICAS
ENERO,DENTRO DE LA VIVIENDA
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,FRENTE A RESIDENCIAS - VIA PUBLICA
ENERO,CENTRO COMERCIAL
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,"HOTELES, RESIDENCIAS, Y SIMILARES."
ENERO,FRENTE A DISCOTECAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,CASAS DE HABITACION
ENERO,PISCINA
ENERO,VIAS PUBLICAS
ENERO,FINCAS Y SIMILARES
ENERO,APARTAMENTO
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CICLO RUTA
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,RESTAURANTES
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,FRENTE A ALMACEN - VIA PUBLICA
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,DISCOTECAS
ENERO,VIAS PUBLICAS
ENERO,INTERIOR VEHICULO SERVICIO PUBLICO
ENERO,VIAS PUBLICAS
ENERO,CENTRO COMERCIAL
ENERO,PARQUES
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,TERMINAL DE TRANSPORTES
ENERO,VIAS PUBLICAS
ENERO,PARQUES
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,FRENTE A RESIDENCIAS - VIA PUBLICA
ENERO,PARQUES
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,SOBRE ANDEN - VIA PUBLICA
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,PARQUES
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,CANCHA DE FUTBOL
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
ENERO,INTERIOR VEHICULO PARTICULAR
ENERO,INTERIOR VEHICULO PARTICULAR
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,CASAS DE HABITACION
ENERO,VIAS PUBLICAS
ENERO,VIAS PUBLICAS
