FECHA,ZONA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,RURAL
ENERO,RURAL
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,RURAL
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,RURAL
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
MAYO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
ENERO,URBANA
