HORA,ARMA
MADRUGADA,CONTUNDENTES
MOVILIZACIONVESPERTINA,ARMA DE FUEGO
NOCHE,ARMA DE FUEGO
NOCHE,ARMA DE FUEGO
MANHANA,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA DE FUEGO
ALMUERZO,ARMA BLANCA / CORTOPUNZANTE
ALMUERZO,SIN EMPLEO DE ARMAS
MANHANA,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA BLANCA / CORTOPUNZANTE
ALMUERZO,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA DE FUEGO
MADRUGADA,ARMA DE FUEGO
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,SIN EMPLEO DE ARMAS
TARDE,SIN EMPLEO DE ARMAS
ALMUERZO,CONTUNDENTES
MADRUGADA,SIN EMPLEO DE ARMAS
ALMUERZO,CONTUNDENTES
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,SIN EMPLEO DE ARMAS
NOCHE,ARMA DE FUEGO
TARDE,SIN EMPLEO DE ARMAS
TARDE,ARMA DE FUEGO
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA DE FUEGO
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,CONTUNDENTES
MOVILIZACIONVESPERTINA,SIN EMPLEO DE ARMAS
MANHANA,CONTUNDENTES
NOCHE,PERRO
MADRUGADA,CONTUNDENTES
TARDE,ARMA BLANCA / CORTOPUNZANTE
MANHANA,ARMA BLANCA / CORTOPUNZANTE
MANHANA,SIN EMPLEO DE ARMAS
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
MANHANA,SIN EMPLEO DE ARMAS
MANHANA,CONTUNDENTES
MANHANA,ESCOPOLAMINA
MADRUGADA,ARMA DE FUEGO
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
ALMUERZO,ARMA DE FUEGO
MANHANA,CONTUNDENTES
ALMUERZO,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,SIN EMPLEO DE ARMAS
MANHANA,SIN EMPLEO DE ARMAS
TARDE,SIN EMPLEO DE ARMAS
MADRUGADA,SIN EMPLEO DE ARMAS
TARDE,ARMA BLANCA / CORTOPUNZANTE
NOCHE,CONTUNDENTES
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
NOCHE,ARMA BLANCA / CORTOPUNZANTE
ALMUERZO,ARMA DE FUEGO
MOVILIZACIONVESPERTINA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
NOCHE,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,SIN EMPLEO DE ARMAS
NOCHE,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA DE FUEGO
NOCHE,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA DE FUEGO
TARDE,ARMA DE FUEGO
NOCHE,LLAVE MAESTRA
MADRUGADA,CONTUNDENTES
MADRUGADA,ARMA DE FUEGO
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
TARDE,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MANHANA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONMATUTINA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA DE FUEGO
MADRUGADA,SIN EMPLEO DE ARMAS
TARDE,CONTUNDENTES
ALMUERZO,ARMA BLANCA / CORTOPUNZANTE
TARDE,CONTUNDENTES
MOVILIZACIONVESPERTINA,CONTUNDENTES
MADRUGADA,SIN EMPLEO DE ARMAS
MADRUGADA,SIN EMPLEO DE ARMAS
ALMUERZO,SIN EMPLEO DE ARMAS
MANHANA,CONTUNDENTES
MANHANA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA DE FUEGO
ALMUERZO,ARMA BLANCA / CORTOPUNZANTE
MANHANA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
ALMUERZO,SIN EMPLEO DE ARMAS
NOCHE,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
ALMUERZO,SIN EMPLEO DE ARMAS
TARDE,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,CONTUNDENTES
TARDE,SIN EMPLEO DE ARMAS
NOCHE,SIN EMPLEO DE ARMAS
MANHANA,SIN EMPLEO DE ARMAS
MADRUGADA,SIN EMPLEO DE ARMAS
ALMUERZO,CONTUNDENTES
ALMUERZO,CONTUNDENTES
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA DE FUEGO
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
NOCHE,ARMA BLANCA / CORTOPUNZANTE
NOCHE,CONTUNDENTES
TARDE,SIN EMPLEO DE ARMAS
NOCHE,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
NOCHE,SIN EMPLEO DE ARMAS
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
NOCHE,ARMA BLANCA / CORTOPUNZANTE
MANHANA,SIN EMPLEO DE ARMAS
MANHANA,SIN EMPLEO DE ARMAS
MADRUGADA,SIN EMPLEO DE ARMAS
MADRUGADA,SIN EMPLEO DE ARMAS
MADRUGADA,SIN EMPLEO DE ARMAS
MOVILIZACIONVESPERTINA,ARMA DE FUEGO
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,ARMA DE FUEGO
MANHANA,SIN EMPLEO DE ARMAS
MANHANA,ARMA BLANCA / CORTOPUNZANTE
MANHANA,SIN EMPLEO DE ARMAS
TARDE,ARMA DE FUEGO
MOVILIZACIONVESPERTINA,ARMA DE FUEGO
NOCHE,SIN EMPLEO DE ARMAS
MANHANA,ARMA BLANCA / CORTOPUNZANTE
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA DE FUEGO
MADRUGADA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA DE FUEGO
MANHANA,SIN EMPLEO DE ARMAS
MANHANA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA DE FUEGO
TARDE,SIN EMPLEO DE ARMAS
MOVILIZACIONVESPERTINA,ARMA DE FUEGO
MOVILIZACIONVESPERTINA,ARMA DE FUEGO
MANHANA,SIN EMPLEO DE ARMAS
NOCHE,SIN EMPLEO DE ARMAS
MOVILIZACIONVESPERTINA,SIN EMPLEO DE ARMAS
NOCHE,CONTUNDENTES
MADRUGADA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA BLANCA / CORTOPUNZANTE
MANHANA,SIN EMPLEO DE ARMAS
MADRUGADA,ARMA DE FUEGO
NOCHE,ARMA DE FUEGO
MANHANA,ARMA DE FUEGO
TARDE,SIN EMPLEO DE ARMAS
MOVILIZACIONVESPERTINA,ARMA DE FUEGO
MANHANA,ARMA DE FUEGO
ALMUERZO,SIN EMPLEO DE ARMAS
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
MOVILIZACIONVESPERTINA,ARMA BLANCA / CORTOPUNZANTE
TARDE,ARMA DE FUEGO
TARDE,ARMA BLANCA / CORTOPUNZANTE
TARDE,SIN EMPLEO DE ARMAS
TARDE,SIN EMPLEO DE ARMAS
MANHANA,ARMA DE FUEGO
ALMUERZO,ARMA DE FUEGO
ALMUERZO,SIN EMPLEO DE ARMAS
TARDE,SIN EMPLEO DE ARMAS
TARDE,SIN EMPLEO DE ARMAS
NOCHE,ARMA BLANCA / CORTOPUNZANTE
MANHANA,ARMA DE FUEGO
