HORA,BARRIO
MADRUGADA,JARDIN
MOVILIZACIONVESPERTINA,CIUDADELA DEL NORTE
NOCHE,VDA. SAN FELIX
NOCHE,SANTA RITA
MANHANA,VDA. SAN FELIX
TARDE,LA ARBOLEDA
ALMUERZO,ALCALA
ALMUERZO,CAMPO VALDES 1  C-4
MANHANA,LA CANDELARIA C-10
TARDE,LA CANDELARIA C-10
ALMUERZO,LOS CERROS EL VERGEL  C-9
TARDE,MANRIQUE 1  C-4
MADRUGADA,SAN PEDRO  C-4
MADRUGADA,LA CANDELARIA C-10
MADRUGADA,DOCE DE OCTUBRE C-6
MADRUGADA,EL DIAMANTE C-7
TARDE,SAN JAVIER 1 C-13
MADRUGADA,BARRIO CAYCEDO C-9
MADRUGADA,ARANJUEZ  C-4
TARDE,SEVILLA  C-4
ALMUERZO,FLORIDA NUEVA C-11
MADRUGADA,PARQUE PRINCIPAL
ALMUERZO,AVENIDA NAPOLES
MADRUGADA,EL LLANITO
MADRUGADA,CALLE CALIENTE
NOCHE,SANTO DOMINGO DE GUZMAN
TARDE,CARRIZAL
TARDE,EL BOSQUE
MADRUGADA,CARRIZAL
MOVILIZACIONVESPERTINA,ABAJO
MADRUGADA,EL BOSQUE
MOVILIZACIONVESPERTINA,ABAJO
MADRUGADA,CENTRO
MOVILIZACIONVESPERTINA,CHAMBACU
MANHANA,NUEVO PORVENIR
NOCHE,13 DE JUNIO
MADRUGADA,S. JOSE DE LOS CAMPANOS
TARDE,BARRIO CENTRO
MANHANA,BARRIO ABAJO
MANHANA,LA PAZ
MOVILIZACIONVESPERTINA,ZONA ROSA
MANHANA,SAN JAVIER
MANHANA,BARRIO GALERIAS
MANHANA,BARRIO GALERIAS
MADRUGADA,LAS MALVINAS
MOVILIZACIONVESPERTINA,SITIO O VDA LOS FAROLES
ALMUERZO,ALFONSO LOPEZ
MANHANA,PANAMERICANO
ALMUERZO,NUEVA COLOMBIA
MADRUGADA,URB.VILLA DARIANA
MOVILIZACIONVESPERTINA,BAHIA SOLANO
MANHANA,LA VICTORIA
TARDE,SAN FRANCISCO
MADRUGADA,27 DE JULIO
TARDE,CASERÌO LOS VENADOS
NOCHE,LA GLORIA
MADRUGADA,FURATENA
NOCHE,LOS ALAMOS
ALMUERZO,RANCHERIA
MOVILIZACIONVESPERTINA,LA CATEDRAL E-17
MADRUGADA,EL RINCON E-11
NOCHE,CASA BLANCA E-11
MADRUGADA,PATIO BONITO I E-8
MADRUGADA,URB. MANUELA BELTRAN E-19
NOCHE,EL TINTAL E-8
MADRUGADA,TIMIZA CELULA A LOTE RA-2 E-8
MADRUGADA,BILBAO E-11
TARDE,DANIEL ORTEGA
NOCHE,LA FLORIDA
MADRUGADA,KENEDDY
MADRUGADA,ALTOS DEL PARRANTIAL
TARDE,COOPERATIVO
NOCHE,CORREGIMIENTO MATITAS
MADRUGADA,LA VICTORIA
MADRUGADA,JOSE ANTONIO GALAN
MADRUGADA,TIMANCO
TARDE,ALFONSO LOPEZ
MADRUGADA,TIMANCO
MANHANA,CALAMO
MOVILIZACIONMATUTINA,5 DE FEBRERO
MADRUGADA,CENTRO
MADRUGADA,CENTRO
TARDE,VEREDA APIAY
ALMUERZO,PORFIA
TARDE,BALATA
MOVILIZACIONVESPERTINA,OKAVANGO
MADRUGADA,7 DE AGOSTO
MADRUGADA,13 DE MAYO
ALMUERZO,VEREDA CANHOS NEGROS
MANHANA,VDA CONSUELO DE CHINYANQUER
MANHANA,VEREDA CHIRANQUER
MADRUGADA,SAN FERNANDO
ALMUERZO,FATIMA
MANHANA,TERMINAL
MOVILIZACIONVESPERTINA,LA ESPERANZA
ALMUERZO,CENTRO
NOCHE,VILLA DOCENTE
MOVILIZACIONVESPERTINA,VILLAFLOR II
ALMUERZO,CHAPAL
TARDE,TAMASAGRA I
MADRUGADA,LOS FUNDADORES
MADRUGADA,VILLAFLOR II
MADRUGADA,SANTIAGO
MADRUGADA,VISTA HERMOSA
MOVILIZACIONVESPERTINA,BARRIO DIVINA PASTORA
TARDE,BARRIO EL PARAMO
NOCHE,VIA MOCOA
MANHANA,LAS COLINAS
MADRUGADA,CIUDADELA EL SOL
ALMUERZO,LA ESPERANZA
ALMUERZO,LA ESPERANZA
MOVILIZACIONVESPERTINA,FRAYLES
MADRUGADA,LAURELES II
MOVILIZACIONVESPERTINA,BARRIO SARIE BAY
TARDE,BARRIO MODELO I
MADRUGADA,BARRIO SCHOOL HOUSE
MOVILIZACIONVESPERTINA,VILLA ROSA
NOCHE,EL CENTRO BOLIVAR
NOCHE,DIAMANTE II
TARDE,EL PABLON
NOCHE,POBLADO
MOVILIZACIONVESPERTINA,TEJAR
MADRUGADA,SAN FRANCISCO P/TA
MADRUGADA,LA COLINA CAMPESTRE
NOCHE,CERROS DEL MEDITERRANEO
MOVILIZACIONVESPERTINA,EL CENTRO
NOCHE,CENTRO
MANHANA,VARIANTE (ZONA NORTE)
MANHANA,VARIANTE (ZONA NORTE)
MADRUGADA,LOS TUNJOS
MADRUGADA,MODELIA
MADRUGADA,LOS TUNJOS
MOVILIZACIONVESPERTINA,CENTRO
MOVILIZACIONVESPERTINA,BELLAVISTA
MOVILIZACIONVESPERTINA,LOS ANDES E5
MANHANA,LOS COMUNEROS I E15
MANHANA,SUCRE E9
MANHANA,SAN FERNANDO VIEJO E19
TARDE,ALFONSO LOPEZ I E7
MOVILIZACIONVESPERTINA,SANTA FE E8
NOCHE,U.R. SANTIAGO DE CALI E19
MANHANA,EL RETIRO E15
MADRUGADA,EL REMANSO E21
TARDE,EL VERGEL E13
MADRUGADA,URB. POBLADO CAMPESTRE (23-S-6-3)
MADRUGADA,CGTO EL LAURO (23-1)
MANHANA,CORREGIMIENTO DE GUABITAS
MANHANA,EL DEPARTAMENTAL
MADRUGADA,RECREO
TARDE,CINCUENTENARIO
MOVILIZACIONVESPERTINA,URBANIZACION BUENOS AIRES
MOVILIZACIONVESPERTINA,URBANIZACION BUENOS AIRES
MANHANA,NUEVO FARFAN
NOCHE,NUEVO FATIMA
MOVILIZACIONVESPERTINA,ARROYOHONDO ZONA INDUSTRIAL (25-2)
NOCHE,BELALCAZAR E25
MADRUGADA,SAN PEDRO
MADRUGADA,VDA. TABLAZO HATILLO
MANHANA,EL CONGOLO
MADRUGADA,ACEVEDO
NOCHE,CIUDADELA DEL NORTE
MANHANA,PRIMAVERA
TARDE,EL DORADO
MOVILIZACIONVESPERTINA,VDA. SIERRA MORENA
MANHANA,BELLAVISTA
ALMUERZO,SURAMERICANA C-11
MOVILIZACIONVESPERTINA,ESTACION VILLA C-10
MOVILIZACIONVESPERTINA,PARQUE NORTE C-4
TARDE,CASTILLA C-5
TARDE,EL CHAGUALO C-10
TARDE,LA FLORIDA C-14
TARDE,PALENQUE 1 C-7
MANHANA,BARRIO CAYCEDO C-9
ALMUERZO,BELLO HORIZONTE C-7
ALMUERZO,BOMBONA 1 C-10
TARDE,CARIBE C-5
TARDE,EL RINCON C-16
NOCHE,SEVILLA  C-4
MANHANA,GUAYABAL C-15
NOCHE,GRANADA C-16
MOVILIZACIONVESPERTINA,VILLANUEVA C-10
TARDE,SANTA CRUZ  C-2
MOVILIZACIONVESPERTINA,ESTACION VILLA C-10
MOVILIZACIONVESPERTINA,CATALUNHA  C-9
