HORA,EDAD
MADRUGADA,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTO
NOCHE,ADULTO
NOCHE,ADULTOJOVEN
MANHANA,ADULTO
TARDE,ADULTOMAYOR
ALMUERZO,ADULTOJOVEN
ALMUERZO,ADULTOJOVEN
MANHANA,ADULTO
TARDE,ADULTOJOVEN
ALMUERZO,ADULTO
TARDE,ADULTO
MADRUGADA,ADULTO
MADRUGADA,ADULTOJOVEN
MADRUGADA,ADULTO
MADRUGADA,ADULTOJOVEN
TARDE,ADULTOJOVEN
MADRUGADA,ADULTO
MADRUGADA,ADULTOJOVEN
TARDE,ADULTOJOVEN
ALMUERZO,ADULTO
MADRUGADA,ADULTOJOVEN
ALMUERZO,ADULTOMAYOR
MADRUGADA,ADULTO
MADRUGADA,ADULTOJOVEN
NOCHE,ADULTOMAYOR
TARDE,ADULTOJOVEN
TARDE,ANCIANO
MADRUGADA,ADULTO
MOVILIZACIONVESPERTINA,ADULTOMAYOR
MADRUGADA,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTO
MADRUGADA,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTO
MANHANA,ADULTOJOVEN
NOCHE,ADULTOJOVEN
MADRUGADA,ADULTO
TARDE,ADULTO
MANHANA,ADULTO
MANHANA,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTOJOVEN
MANHANA,ADULTO
MANHANA,ANCIANO
MANHANA,ADULTO
MADRUGADA,ADULTOMAYOR
MOVILIZACIONVESPERTINA,ADULTO
ALMUERZO,ADULTOJOVEN
MANHANA,ADULTO
ALMUERZO,ADULTO
MADRUGADA,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTO
MANHANA,ADULTOJOVEN
TARDE,ADOLESCENTE
MADRUGADA,ADULTOJOVEN
TARDE,ADULTO
NOCHE,ADULTOJOVEN
MADRUGADA,ADULTOJOVEN
NOCHE,ADULTO
ALMUERZO,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTOJOVEN
MADRUGADA,ADULTO
NOCHE,ADULTOJOVEN
MADRUGADA,ADULTOMAYOR
MADRUGADA,ADULTO
NOCHE,ADULTOMAYOR
MADRUGADA,ADULTOJOVEN
MADRUGADA,ADULTO
TARDE,OTRA
NOCHE,ADULTOMAYOR
MADRUGADA,ADULTO
MADRUGADA,ADULTO
TARDE,ADULTO
NOCHE,ADULTOJOVEN
MADRUGADA,ADULTO
MADRUGADA,ADULTOJOVEN
MADRUGADA,ADULTOJOVEN
TARDE,ADULTO
MADRUGADA,ADOLESCENTE
MANHANA,ADULTOJOVEN
MOVILIZACIONMATUTINA,ADULTOJOVEN
MADRUGADA,ADULTO
MADRUGADA,ADULTOJOVEN
TARDE,ADULTOMAYOR
ALMUERZO,ADULTOJOVEN
TARDE,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTO
MADRUGADA,ADULTO
MADRUGADA,ADULTOMAYOR
ALMUERZO,ADULTOJOVEN
MANHANA,ADULTOJOVEN
MANHANA,ADULTO
MADRUGADA,ADULTOJOVEN
ALMUERZO,ADULTO
MANHANA,ADULTOJOVEN
MOVILIZACIONVESPERTINA,ADULTOMAYOR
ALMUERZO,ADULTO
NOCHE,ADULTOJOVEN
