HORA,MOVILAGRESOR
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
NOCHE,A PIE
NOCHE,MOTOCICLETA
MANHANA,MOTOCICLETA
TARDE,MOTOCICLETA
ALMUERZO,MOTOCICLETA
ALMUERZO,A PIE
MANHANA,A PIE
TARDE,A PIE
ALMUERZO,A PIE
TARDE,MOTOCICLETA
MADRUGADA,VEHICULO
MADRUGADA,A PIE
MADRUGADA,MOTOCICLETA
MADRUGADA,MOTOCICLETA
TARDE,A PIE
MADRUGADA,MOTOCICLETA
MADRUGADA,A PIE
TARDE,A PIE
ALMUERZO,A PIE
MADRUGADA,A PIE
ALMUERZO,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
NOCHE,MOTOCICLETA
TARDE,VEHICULO
TARDE,MOTOCICLETA
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
MANHANA,MOTOCICLETA
NOCHE,MOTOCICLETA
MADRUGADA,A PIE
TARDE,A PIE
MANHANA,A PIE
MANHANA,A PIE
MOVILIZACIONVESPERTINA,A PIE
MANHANA,A PIE
MANHANA,A PIE
MANHANA,A PIE
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
ALMUERZO,A PIE
MANHANA,A PIE
ALMUERZO,MOTOCICLETA
MADRUGADA,MOTOCICLETA
MOVILIZACIONVESPERTINA,A PIE
MANHANA,A PIE
TARDE,A PIE
MADRUGADA,MOTOCICLETA
TARDE,A PIE
NOCHE,A PIE
MADRUGADA,A PIE
NOCHE,MOTOCICLETA
ALMUERZO,MOTOCICLETA
MOVILIZACIONVESPERTINA,A PIE
MADRUGADA,A PIE
NOCHE,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
NOCHE,BICICLETA
MADRUGADA,A PIE
MADRUGADA,A PIE
TARDE,A PIE
NOCHE,A PIE
MADRUGADA,MOTOCICLETA
MADRUGADA,MOTOCICLETA
TARDE,MOTOCICLETA
NOCHE,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
TARDE,MOTOCICLETA
MADRUGADA,A PIE
MANHANA,A PIE
MOVILIZACIONMATUTINA,MOTOCICLETA
MADRUGADA,A PIE
MADRUGADA,A PIE
TARDE,TRANSPORTE PUBLICO
ALMUERZO,BICICLETA
TARDE,A PIE
MOVILIZACIONVESPERTINA,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
ALMUERZO,MOTOCICLETA
MANHANA,A PIE
MANHANA,A PIE
MADRUGADA,TRANSPORTE PUBLICO
ALMUERZO,MOTOCICLETA
MANHANA,A PIE
MOVILIZACIONVESPERTINA,A PIE
ALMUERZO,A PIE
NOCHE,MOTOCICLETA
MOVILIZACIONVESPERTINA,A PIE
ALMUERZO,MOTOCICLETA
TARDE,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
TARDE,A PIE
NOCHE,A PIE
MANHANA,A PIE
MADRUGADA,TRANSPORTE PUBLICO
ALMUERZO,A PIE
ALMUERZO,A PIE
MOVILIZACIONVESPERTINA,A PIE
MADRUGADA,MOTOCICLETA
MOVILIZACIONVESPERTINA,MOTOCICLETA
TARDE,A PIE
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
NOCHE,A PIE
NOCHE,A PIE
TARDE,A PIE
NOCHE,MOTOCICLETA
MOVILIZACIONVESPERTINA,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
NOCHE,A PIE
MOVILIZACIONVESPERTINA,A PIE
NOCHE,A PIE
MANHANA,A PIE
MANHANA,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,MOTOCICLETA
MOVILIZACIONVESPERTINA,TRANSPORTE PUBLICO
MOVILIZACIONVESPERTINA,MOTOCICLETA
MANHANA,A PIE
MANHANA,A PIE
MANHANA,TRANSPORTE PUBLICO
TARDE,A PIE
MOVILIZACIONVESPERTINA,MOTOCICLETA
NOCHE,A PIE
MANHANA,A PIE
MADRUGADA,A PIE
TARDE,A PIE
MADRUGADA,A PIE
MADRUGADA,MOTOCICLETA
MANHANA,A PIE
MANHANA,A PIE
MADRUGADA,MOTOCICLETA
TARDE,A PIE
MOVILIZACIONVESPERTINA,MOTOCICLETA
MOVILIZACIONVESPERTINA,MOTOCICLETA
MANHANA,A PIE
NOCHE,A PIE
MOVILIZACIONVESPERTINA,A PIE
NOCHE,MOTOCICLETA
MADRUGADA,A PIE
MADRUGADA,A PIE
MANHANA,A PIE
MADRUGADA,MOTOCICLETA
NOCHE,MOTOCICLETA
MANHANA,MOTOCICLETA
TARDE,A PIE
MOVILIZACIONVESPERTINA,A PIE
MANHANA,MOTOCICLETA
ALMUERZO,A PIE
MOVILIZACIONVESPERTINA,A PIE
MOVILIZACIONVESPERTINA,A PIE
TARDE,A PIE
TARDE,A PIE
TARDE,A PIE
TARDE,MOTOCICLETA
MANHANA,TRANSPORTE PUBLICO
ALMUERZO,MOTOCICLETA
ALMUERZO,A PIE
TARDE,A PIE
TARDE,A PIE
NOCHE,A PIE
MANHANA,MOTOCICLETA
NOCHE,A PIE
MOVILIZACIONVESPERTINA,A PIE
TARDE,A PIE
MOVILIZACIONVESPERTINA,A PIE
MOVILIZACIONVESPERTINA,MOTOCICLETA
NOCHE,MOTOCICLETA
TARDE,A PIE
MOVILIZACIONVESPERTINA,A PIE
MOVILIZACIONVESPERTINA,A PIE
TARDE,A PIE
MOVILIZACIONMATUTINA,MOTOCICLETA
TARDE,TRANSPORTE PUBLICO
MANHANA,A PIE
ALMUERZO,MOTOCICLETA
MANHANA,A PIE
MOVILIZACIONVESPERTINA,A PIE
NOCHE,MOTOCICLETA
MADRUGADA,A PIE
NOCHE,A PIE
MADRUGADA,A PIE
MADRUGADA,A PIE
MOVILIZACIONVESPERTINA,A PIE
NOCHE,A PIE
NOCHE,A PIE
MOVILIZACIONVESPERTINA,MOTOCICLETA
TARDE,A PIE
ALMUERZO,A PIE
NOCHE,A PIE
NOCHE,A PIE
MOVILIZACIONVESPERTINA,MOTOCICLETA
MADRUGADA,MOTOCICLETA
MADRUGADA,MOTOCICLETA
TARDE,A PIE
MANHANA,A PIE
MOVILIZACIONVESPERTINA,A PIE
ALMUERZO,A PIE
TARDE,TRANSPORTE PUBLICO
ALMUERZO,A PIE
MANHANA,A PIE
MANHANA,A PIE
NOCHE,TRANSPORTE PUBLICO
ALMUERZO,A PIE
