HORA,NACIONALIDAD
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
NOCHE,COLOMBIA
MANHANA,COLOMBIA
TARDE,COLOMBIA
ALMUERZO,COLOMBIA
ALMUERZO,COLOMBIA
MANHANA,COLOMBIA
TARDE,COLOMBIA
ALMUERZO,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
ALMUERZO,COLOMBIA
MADRUGADA,COLOMBIA
ALMUERZO,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
NOCHE,COLOMBIA
TARDE,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MANHANA,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
ALMUERZO,COLOMBIA
MANHANA,COLOMBIA
ALMUERZO,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MANHANA,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
NOCHE,COLOMBIA
ALMUERZO,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MADRUGADA,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,-
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
MANHANA,COLOMBIA
MOVILIZACIONMATUTINA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
ALMUERZO,COLOMBIA
TARDE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
ALMUERZO,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
MADRUGADA,COLOMBIA
ALMUERZO,COLOMBIA
MANHANA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
ALMUERZO,COLOMBIA
NOCHE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
ALMUERZO,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
TARDE,COLOMBIA
NOCHE,COLOMBIA
MANHANA,COLOMBIA
MADRUGADA,COLOMBIA
ALMUERZO,COLOMBIA
ALMUERZO,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
NOCHE,COLOMBIA
TARDE,COLOMBIA
NOCHE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
NOCHE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
TARDE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
MANHANA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
MOVILIZACIONVESPERTINA,EUROPA
MOVILIZACIONVESPERTINA,EUROPA
MANHANA,COLOMBIA
NOCHE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MANHANA,COLOMBIA
MADRUGADA,COLOMBIA
NOCHE,COLOMBIA
MANHANA,COLOMBIA
TARDE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MANHANA,-
ALMUERZO,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
TARDE,COLOMBIA
TARDE,COLOMBIA
TARDE,COLOMBIA
TARDE,COLOMBIA
MANHANA,COLOMBIA
ALMUERZO,COLOMBIA
ALMUERZO,COLOMBIA
TARDE,COLOMBIA
TARDE,COLOMBIA
NOCHE,COLOMBIA
MANHANA,COLOMBIA
NOCHE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
TARDE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
TARDE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
TARDE,COLOMBIA
MOVILIZACIONMATUTINA,COLOMBIA
TARDE,COLOMBIA
MANHANA,COLOMBIA
ALMUERZO,COLOMBIA
MANHANA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
NOCHE,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
NOCHE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
TARDE,COLOMBIA
ALMUERZO,COLOMBIA
NOCHE,COLOMBIA
NOCHE,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
TARDE,COLOMBIA
MANHANA,COLOMBIA
MOVILIZACIONVESPERTINA,COLOMBIA
ALMUERZO,COLOMBIA
TARDE,COLOMBIA
ALMUERZO,COLOMBIA
MANHANA,COLOMBIA
MANHANA,COLOMBIA
NOCHE,COLOMBIA
ALMUERZO,COLOMBIA
MADRUGADA,COLOMBIA
MADRUGADA,COLOMBIA
MANHANA,OCEANIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,COLOMBIA
