HORA,SEXO
MADRUGADA,FEMENINO
MOVILIZACIONVESPERTINA,FEMENINO
NOCHE,MASCULINO
NOCHE,MASCULINO
MANHANA,MASCULINO
TARDE,FEMENINO
ALMUERZO,MASCULINO
ALMUERZO,MASCULINO
MANHANA,MASCULINO
TARDE,FEMENINO
ALMUERZO,MASCULINO
TARDE,MASCULINO
MADRUGADA,MASCULINO
MADRUGADA,FEMENINO
MADRUGADA,FEMENINO
MADRUGADA,MASCULINO
TARDE,MASCULINO
MADRUGADA,MASCULINO
MADRUGADA,FEMENINO
TARDE,FEMENINO
ALMUERZO,FEMENINO
MADRUGADA,MASCULINO
ALMUERZO,MASCULINO
MADRUGADA,FEMENINO
MADRUGADA,FEMENINO
NOCHE,FEMENINO
TARDE,MASCULINO
TARDE,MASCULINO
MADRUGADA,MASCULINO
MOVILIZACIONVESPERTINA,MASCULINO
MADRUGADA,MASCULINO
MOVILIZACIONVESPERTINA,MASCULINO
MADRUGADA,FEMENINO
MOVILIZACIONVESPERTINA,FEMENINO
MANHANA,MASCULINO
NOCHE,FEMENINO
MADRUGADA,MASCULINO
TARDE,MASCULINO
MANHANA,FEMENINO
MANHANA,MASCULINO
MOVILIZACIONVESPERTINA,MASCULINO
MANHANA,FEMENINO
MANHANA,FEMENINO
MANHANA,MASCULINO
MADRUGADA,MASCULINO
MOVILIZACIONVESPERTINA,MASCULINO
ALMUERZO,MASCULINO
MANHANA,FEMENINO
ALMUERZO,FEMENINO
MADRUGADA,FEMENINO
MOVILIZACIONVESPERTINA,MASCULINO
MANHANA,FEMENINO
TARDE,FEMENINO
MADRUGADA,FEMENINO
TARDE,MASCULINO
NOCHE,MASCULINO
MADRUGADA,MASCULINO
NOCHE,FEMENINO
ALMUERZO,MASCULINO
MOVILIZACIONVESPERTINA,FEMENINO
MADRUGADA,MASCULINO
NOCHE,FEMENINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
NOCHE,FEMENINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
TARDE,-
NOCHE,MASCULINO
MADRUGADA,FEMENINO
MADRUGADA,MASCULINO
TARDE,MASCULINO
NOCHE,FEMENINO
MADRUGADA,FEMENINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
TARDE,FEMENINO
MADRUGADA,FEMENINO
MANHANA,MASCULINO
MOVILIZACIONMATUTINA,FEMENINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
TARDE,MASCULINO
ALMUERZO,MASCULINO
TARDE,MASCULINO
MOVILIZACIONVESPERTINA,FEMENINO
MADRUGADA,MASCULINO
MADRUGADA,FEMENINO
ALMUERZO,FEMENINO
MANHANA,MASCULINO
MANHANA,MASCULINO
MADRUGADA,MASCULINO
ALMUERZO,FEMENINO
MANHANA,FEMENINO
MOVILIZACIONVESPERTINA,FEMENINO
ALMUERZO,MASCULINO
NOCHE,MASCULINO
MOVILIZACIONVESPERTINA,FEMENINO
ALMUERZO,FEMENINO
TARDE,MASCULINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
MOVILIZACIONVESPERTINA,MASCULINO
TARDE,FEMENINO
NOCHE,MASCULINO
MANHANA,MASCULINO
MADRUGADA,MASCULINO
ALMUERZO,FEMENINO
ALMUERZO,FEMENINO
MOVILIZACIONVESPERTINA,FEMENINO
MADRUGADA,FEMENINO
MOVILIZACIONVESPERTINA,MASCULINO
TARDE,FEMENINO
MADRUGADA,FEMENINO
MOVILIZACIONVESPERTINA,MASCULINO
NOCHE,FEMENINO
NOCHE,FEMENINO
TARDE,MASCULINO
NOCHE,MASCULINO
MOVILIZACIONVESPERTINA,MASCULINO
MADRUGADA,MASCULINO
MADRUGADA,MASCULINO
NOCHE,MASCULINO
MOVILIZACIONVESPERTINA,MASCULINO
NOCHE,FEMENINO
MANHANA,MASCULINO
MANHANA,MASCULINO
MADRUGADA,FEMENINO
MADRUGADA,FEMENINO
MADRUGADA,FEMENINO
MOVILIZACIONVESPERTINA,FEMENINO
MOVILIZACIONVESPERTINA,FEMENINO
MOVILIZACIONVESPERTINA,FEMENINO
