HORA,ZONA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
NOCHE,RURAL
NOCHE,URBANA
MANHANA,RURAL
TARDE,URBANA
ALMUERZO,URBANA
ALMUERZO,URBANA
MANHANA,URBANA
TARDE,URBANA
ALMUERZO,URBANA
TARDE,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
TARDE,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
TARDE,URBANA
ALMUERZO,URBANA
MADRUGADA,URBANA
ALMUERZO,RURAL
MADRUGADA,URBANA
MADRUGADA,RURAL
NOCHE,URBANA
TARDE,URBANA
TARDE,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
MANHANA,URBANA
NOCHE,URBANA
MADRUGADA,URBANA
TARDE,URBANA
MANHANA,URBANA
MANHANA,URBANA
MOVILIZACIONVESPERTINA,URBANA
MANHANA,URBANA
MANHANA,URBANA
MANHANA,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,RURAL
ALMUERZO,URBANA
MANHANA,URBANA
ALMUERZO,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
MANHANA,URBANA
TARDE,URBANA
MADRUGADA,URBANA
TARDE,RURAL
NOCHE,URBANA
MADRUGADA,URBANA
NOCHE,URBANA
ALMUERZO,URBANA
MOVILIZACIONVESPERTINA,URBANA
MADRUGADA,URBANA
NOCHE,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
NOCHE,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
TARDE,URBANA
NOCHE,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
TARDE,URBANA
NOCHE,RURAL
MADRUGADA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
TARDE,URBANA
MADRUGADA,URBANA
MANHANA,URBANA
MOVILIZACIONMATUTINA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
TARDE,RURAL
ALMUERZO,RURAL
TARDE,URBANA
MOVILIZACIONVESPERTINA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
ALMUERZO,RURAL
MANHANA,RURAL
MANHANA,RURAL
MADRUGADA,RURAL
ALMUERZO,URBANA
MANHANA,URBANA
MOVILIZACIONVESPERTINA,URBANA
ALMUERZO,URBANA
NOCHE,URBANA
MOVILIZACIONVESPERTINA,URBANA
ALMUERZO,URBANA
TARDE,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
TARDE,URBANA
NOCHE,RURAL
MANHANA,URBANA
MADRUGADA,URBANA
ALMUERZO,URBANA
ALMUERZO,URBANA
MOVILIZACIONVESPERTINA,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
TARDE,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
NOCHE,URBANA
NOCHE,URBANA
TARDE,URBANA
NOCHE,URBANA
MOVILIZACIONVESPERTINA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
NOCHE,URBANA
MOVILIZACIONVESPERTINA,URBANA
NOCHE,URBANA
MANHANA,RURAL
MANHANA,RURAL
MADRUGADA,URBANA
MADRUGADA,URBANA
MADRUGADA,URBANA
MOVILIZACIONVESPERTINA,URBANA
MOVILIZACIONVESPERTINA,URBANA
MOVILIZACIONVESPERTINA,URBANA
