MOVILVICTIMA,NACIONALIDAD
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
VEHICULO,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
TRANSPORTE PUBLICO,COLOMBIA
MOTOCICLETA,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
MOTOCICLETA,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
VEHICULO,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
MOTOCICLETA,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
BICICLETA,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,-
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
MOTOCICLETA,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
A PIE,COLOMBIA
MOTOCICLETA,COLOMBIA
