MOVILVICTIMA,SEXO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
VEHICULO,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
TRANSPORTE PUBLICO,MASCULINO
MOTOCICLETA,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
MOTOCICLETA,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
VEHICULO,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
MOTOCICLETA,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
BICICLETA,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,-
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
MOTOCICLETA,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
MOTOCICLETA,MASCULINO
A PIE,MASCULINO
TRANSPORTE PUBLICO,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
TRANSPORTE PUBLICO,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
A PIE,FEMENINO
TRANSPORTE PUBLICO,FEMENINO
VEHICULO,FEMENINO
A PIE,MASCULINO
A PIE,MASCULINO
TRANSPORTE PUBLICO,FEMENINO
