MUNICIPIO,ARMA
LETICIA (CT),CONTUNDENTES
BELLO,ARMA DE FUEGO
BELLO,ARMA DE FUEGO
BELLO,ARMA DE FUEGO
BELLO,ARMA BLANCA / CORTOPUNZANTE
CAUCASIA,ARMA DE FUEGO
ENVIGADO,ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),CONTUNDENTES
NECHI,SIN EMPLEO DE ARMAS
PUERTO TRIUNFO,CONTUNDENTES
RIONEGRO,ARMA BLANCA / CORTOPUNZANTE
SONSON,SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
JUAN DE ACOSTA,CONTUNDENTES
CARTAGENA (CT),SIN EMPLEO DE ARMAS
CARTAGENA (CT),CONTUNDENTES
CARTAGENA (CT),PERRO
CARTAGENA (CT),CONTUNDENTES
MAGANGUE,ARMA BLANCA / CORTOPUNZANTE
SAN JUAN NEPOMUCENO,ARMA BLANCA / CORTOPUNZANTE
SAN MATEO,SIN EMPLEO DE ARMAS
CHINCHINA,ARMA BLANCA / CORTOPUNZANTE
LA DORADA,SIN EMPLEO DE ARMAS
MANIZALES (CT),CONTUNDENTES
MANIZALES (CT),ESCOPOLAMINA
FLORENCIA (CT),ARMA DE FUEGO
POPAYAN (CT),ARMA BLANCA / CORTOPUNZANTE
POPAYAN (CT),ARMA DE FUEGO
SANTANDER DE QUILICHAO,CONTUNDENTES
AGUACHICA,SIN EMPLEO DE ARMAS
VALLEDUPAR (CT),ARMA BLANCA / CORTOPUNZANTE
QUIBDO (CT),SIN EMPLEO DE ARMAS
QUIBDO (CT),SIN EMPLEO DE ARMAS
MONTELIBANO,SIN EMPLEO DE ARMAS
MONTELIBANO,SIN EMPLEO DE ARMAS
MONTERIA (CT),ARMA BLANCA / CORTOPUNZANTE
MONTERIA (CT),CONTUNDENTES
MONTERIA (CT),ARMA BLANCA / CORTOPUNZANTE
MONTERIA (CT),ARMA BLANCA / CORTOPUNZANTE
SAHAGUN,ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
FACATATIVA,ARMA DE FUEGO
FUSAGASUGA,ARMA BLANCA / CORTOPUNZANTE
GIRARDOT,SIN EMPLEO DE ARMAS
MAICAO,ARMA DE FUEGO
RIOHACHA (CT),ARMA DE FUEGO
RIOHACHA (CT),LLAVE MAESTRA
SAN JUAN DEL CESAR,CONTUNDENTES
NEIVA (CT),ARMA DE FUEGO
NEIVA (CT),ARMA BLANCA / CORTOPUNZANTE
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),ARMA BLANCA / CORTOPUNZANTE
PITALITO,ARMA BLANCA / CORTOPUNZANTE
CIENAGA,SIN EMPLEO DE ARMAS
GRANADA,ARMA DE FUEGO
PUERTO RICO,SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
GUACHUCAL,CONTUNDENTES
IPIALES,SIN EMPLEO DE ARMAS
IPIALES,ARMA DE FUEGO
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
TUQUERRES,ARMA BLANCA / CORTOPUNZANTE
CUCUTA (CT),CONTUNDENTES
VILLA DEL ROSARIO,SIN EMPLEO DE ARMAS
SAN MIGUEL,SIN EMPLEO DE ARMAS
ARMENIA (CT),SIN EMPLEO DE ARMAS
ARMENIA (CT),SIN EMPLEO DE ARMAS
QUIMBAYA,CONTUNDENTES
QUIMBAYA,CONTUNDENTES
DOSQUEBRADAS,ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),ARMA DE FUEGO
SAN ANDRES (CT),ARMA BLANCA / CORTOPUNZANTE
SAN ANDRES (CT),ARMA BLANCA / CORTOPUNZANTE
SAN ANDRES (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANCABERMEJA,ARMA BLANCA / CORTOPUNZANTE
BOLIVAR,ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),CONTUNDENTES
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
GIRON,ARMA BLANCA / CORTOPUNZANTE
GIRON,ARMA BLANCA / CORTOPUNZANTE
PIEDECUESTA,ARMA BLANCA / CORTOPUNZANTE
PIEDECUESTA,ARMA BLANCA / CORTOPUNZANTE
PIEDECUESTA,SIN EMPLEO DE ARMAS
SAN GIL,ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
