MUNICIPIO,BARRIO
LETICIA (CT),JARDIN
BELLO,CIUDADELA DEL NORTE
BELLO,VDA. SAN FELIX
BELLO,SANTA RITA
BELLO,VDA. SAN FELIX
CAUCASIA,LA ARBOLEDA
ENVIGADO,ALCALA
MEDELLIN (CT),CAMPO VALDES 1  C-4
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LOS CERROS EL VERGEL  C-9
MEDELLIN (CT),MANRIQUE 1  C-4
MEDELLIN (CT),SAN PEDRO  C-4
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),DOCE DE OCTUBRE C-6
MEDELLIN (CT),EL DIAMANTE C-7
MEDELLIN (CT),SAN JAVIER 1 C-13
MEDELLIN (CT),BARRIO CAYCEDO C-9
MEDELLIN (CT),ARANJUEZ  C-4
MEDELLIN (CT),SEVILLA  C-4
MEDELLIN (CT),FLORIDA NUEVA C-11
NECHI,PARQUE PRINCIPAL
PUERTO TRIUNFO,AVENIDA NAPOLES
RIONEGRO,EL LLANITO
SONSON,CALLE CALIENTE
BARRANQUILLA (CT),SANTO DOMINGO DE GUZMAN
BARRANQUILLA (CT),CARRIZAL
BARRANQUILLA (CT),EL BOSQUE
BARRANQUILLA (CT),CARRIZAL
BARRANQUILLA (CT),ABAJO
BARRANQUILLA (CT),EL BOSQUE
BARRANQUILLA (CT),ABAJO
JUAN DE ACOSTA,CENTRO
CARTAGENA (CT),CHAMBACU
CARTAGENA (CT),NUEVO PORVENIR
CARTAGENA (CT),13 DE JUNIO
CARTAGENA (CT),S. JOSE DE LOS CAMPANOS
MAGANGUE,BARRIO CENTRO
SAN JUAN NEPOMUCENO,BARRIO ABAJO
SAN MATEO,LA PAZ
CHINCHINA,ZONA ROSA
LA DORADA,SAN JAVIER
MANIZALES (CT),BARRIO GALERIAS
MANIZALES (CT),BARRIO GALERIAS
FLORENCIA (CT),LAS MALVINAS
POPAYAN (CT),SITIO O VDA LOS FAROLES
POPAYAN (CT),ALFONSO LOPEZ
SANTANDER DE QUILICHAO,PANAMERICANO
AGUACHICA,NUEVA COLOMBIA
VALLEDUPAR (CT),URB.VILLA DARIANA
QUIBDO (CT),BAHIA SOLANO
QUIBDO (CT),LA VICTORIA
MONTELIBANO,SAN FRANCISCO
MONTELIBANO,27 DE JULIO
MONTERIA (CT),CASERÌO LOS VENADOS
MONTERIA (CT),LA GLORIA
MONTERIA (CT),FURATENA
MONTERIA (CT),LOS ALAMOS
SAHAGUN,RANCHERIA
BOGOTA D.C. (CT),LA CATEDRAL E-17
BOGOTA D.C. (CT),EL RINCON E-11
BOGOTA D.C. (CT),CASA BLANCA E-11
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),URB. MANUELA BELTRAN E-19
BOGOTA D.C. (CT),EL TINTAL E-8
BOGOTA D.C. (CT),TIMIZA CELULA A LOTE RA-2 E-8
BOGOTA D.C. (CT),BILBAO E-11
FACATATIVA,DANIEL ORTEGA
FUSAGASUGA,LA FLORIDA
GIRARDOT,KENEDDY
