MUNICIPIO,DIA
LETICIA (CT),DOMINGO
BELLO,DOMINGO
BELLO,DOMINGO
BELLO,DOMINGO
BELLO,DOMINGO
CAUCASIA,DOMINGO
ENVIGADO,DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
MEDELLIN (CT),DOMINGO
NECHI,DOMINGO
PUERTO TRIUNFO,DOMINGO
RIONEGRO,DOMINGO
SONSON,DOMINGO
BARRANQUILLA (CT),DOMINGO
BARRANQUILLA (CT),DOMINGO
BARRANQUILLA (CT),DOMINGO
BARRANQUILLA (CT),DOMINGO
BARRANQUILLA (CT),DOMINGO
BARRANQUILLA (CT),DOMINGO
BARRANQUILLA (CT),DOMINGO
JUAN DE ACOSTA,DOMINGO
CARTAGENA (CT),DOMINGO
CARTAGENA (CT),DOMINGO
CARTAGENA (CT),DOMINGO
CARTAGENA (CT),DOMINGO
MAGANGUE,DOMINGO
SAN JUAN NEPOMUCENO,DOMINGO
SAN MATEO,DOMINGO
CHINCHINA,DOMINGO
LA DORADA,DOMINGO
MANIZALES (CT),DOMINGO
MANIZALES (CT),DOMINGO
FLORENCIA (CT),DOMINGO
POPAYAN (CT),DOMINGO
POPAYAN (CT),DOMINGO
SANTANDER DE QUILICHAO,DOMINGO
AGUACHICA,DOMINGO
VALLEDUPAR (CT),DOMINGO
QUIBDO (CT),DOMINGO
QUIBDO (CT),DOMINGO
MONTELIBANO,DOMINGO
MONTELIBANO,DOMINGO
MONTERIA (CT),DOMINGO
MONTERIA (CT),DOMINGO
MONTERIA (CT),DOMINGO
MONTERIA (CT),DOMINGO
SAHAGUN,DOMINGO
BOGOTA D.C. (CT),DOMINGO
BOGOTA D.C. (CT),DOMINGO
BOGOTA D.C. (CT),DOMINGO
BOGOTA D.C. (CT),DOMINGO
BOGOTA D.C. (CT),DOMINGO
BOGOTA D.C. (CT),DOMINGO
BOGOTA D.C. (CT),DOMINGO
BOGOTA D.C. (CT),DOMINGO
FACATATIVA,DOMINGO
FUSAGASUGA,DOMINGO
GIRARDOT,DOMINGO
MAICAO,DOMINGO
RIOHACHA (CT),DOMINGO
RIOHACHA (CT),DOMINGO
SAN JUAN DEL CESAR,DOMINGO
NEIVA (CT),DOMINGO
