MUNICIPIO,EDAD
LETICIA (CT),ADULTOJOVEN
BELLO,ADULTO
BELLO,ADULTO
BELLO,ADULTOJOVEN
BELLO,ADULTO
CAUCASIA,ADULTOMAYOR
ENVIGADO,ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
NECHI,ADULTOJOVEN
PUERTO TRIUNFO,ADULTOMAYOR
RIONEGRO,ADULTO
SONSON,ADULTOJOVEN
BARRANQUILLA (CT),ADULTOMAYOR
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ANCIANO
BARRANQUILLA (CT),ADULTO
BARRANQUILLA (CT),ADULTOMAYOR
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ADULTO
JUAN DE ACOSTA,ADULTOJOVEN
CARTAGENA (CT),ADULTO
CARTAGENA (CT),ADULTOJOVEN
CARTAGENA (CT),ADULTOJOVEN
CARTAGENA (CT),ADULTO
MAGANGUE,ADULTO
SAN JUAN NEPOMUCENO,ADULTO
SAN MATEO,ADULTOJOVEN
CHINCHINA,ADULTOJOVEN
LA DORADA,ADULTO
MANIZALES (CT),ANCIANO
MANIZALES (CT),ADULTO
FLORENCIA (CT),ADULTOMAYOR
POPAYAN (CT),ADULTO
POPAYAN (CT),ADULTOJOVEN
SANTANDER DE QUILICHAO,ADULTO
AGUACHICA,ADULTO
VALLEDUPAR (CT),ADULTOJOVEN
QUIBDO (CT),ADULTO
QUIBDO (CT),ADULTOJOVEN
MONTELIBANO,ADOLESCENTE
MONTELIBANO,ADULTOJOVEN
MONTERIA (CT),ADULTO
MONTERIA (CT),ADULTOJOVEN
MONTERIA (CT),ADULTOJOVEN
MONTERIA (CT),ADULTO
SAHAGUN,ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
FACATATIVA,OTRA
FUSAGASUGA,ADULTOMAYOR
GIRARDOT,ADULTO
MAICAO,ADULTO
RIOHACHA (CT),ADULTO
RIOHACHA (CT),ADULTOJOVEN
SAN JUAN DEL CESAR,ADULTO
NEIVA (CT),ADULTOJOVEN
NEIVA (CT),ADULTOJOVEN
NEIVA (CT),ADULTO
NEIVA (CT),ADOLESCENTE
PITALITO,ADULTOJOVEN
CIENAGA,ADULTOJOVEN
GRANADA,ADULTO
PUERTO RICO,ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOMAYOR
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTOMAYOR
VILLAVICENCIO (CT),ADULTOJOVEN
GUACHUCAL,ADULTOJOVEN
IPIALES,ADULTO
IPIALES,ADULTOJOVEN
PASTO (CT),ADULTO
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTOMAYOR
PASTO (CT),ADULTO
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTO
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTO
TUQUERRES,ADULTO
CUCUTA (CT),ADULTOJOVEN
VILLA DEL ROSARIO,ADULTOMAYOR
