MUNICIPIO,HORA
LETICIA (CT),MADRUGADA
BELLO,MOVILIZACIONVESPERTINA
BELLO,NOCHE
BELLO,NOCHE
BELLO,MANHANA
CAUCASIA,TARDE
ENVIGADO,ALMUERZO
MEDELLIN (CT),ALMUERZO
MEDELLIN (CT),MANHANA
MEDELLIN (CT),TARDE
MEDELLIN (CT),ALMUERZO
MEDELLIN (CT),TARDE
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),TARDE
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),TARDE
MEDELLIN (CT),ALMUERZO
NECHI,MADRUGADA
PUERTO TRIUNFO,ALMUERZO
RIONEGRO,MADRUGADA
SONSON,MADRUGADA
BARRANQUILLA (CT),NOCHE
BARRANQUILLA (CT),TARDE
BARRANQUILLA (CT),TARDE
BARRANQUILLA (CT),MADRUGADA
BARRANQUILLA (CT),MOVILIZACIONVESPERTINA
BARRANQUILLA (CT),MADRUGADA
BARRANQUILLA (CT),MOVILIZACIONVESPERTINA
JUAN DE ACOSTA,MADRUGADA
CARTAGENA (CT),MOVILIZACIONVESPERTINA
CARTAGENA (CT),MANHANA
CARTAGENA (CT),NOCHE
CARTAGENA (CT),MADRUGADA
MAGANGUE,TARDE
SAN JUAN NEPOMUCENO,MANHANA
SAN MATEO,MANHANA
CHINCHINA,MOVILIZACIONVESPERTINA
LA DORADA,MANHANA
MANIZALES (CT),MANHANA
MANIZALES (CT),MANHANA
FLORENCIA (CT),MADRUGADA
POPAYAN (CT),MOVILIZACIONVESPERTINA
POPAYAN (CT),ALMUERZO
SANTANDER DE QUILICHAO,MANHANA
AGUACHICA,ALMUERZO
VALLEDUPAR (CT),MADRUGADA
QUIBDO (CT),MOVILIZACIONVESPERTINA
QUIBDO (CT),MANHANA
MONTELIBANO,TARDE
MONTELIBANO,MADRUGADA
MONTERIA (CT),TARDE
MONTERIA (CT),NOCHE
MONTERIA (CT),MADRUGADA
MONTERIA (CT),NOCHE
SAHAGUN,ALMUERZO
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),NOCHE
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),NOCHE
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MADRUGADA
FACATATIVA,TARDE
FUSAGASUGA,NOCHE
GIRARDOT,MADRUGADA
MAICAO,MADRUGADA
RIOHACHA (CT),TARDE
RIOHACHA (CT),NOCHE
SAN JUAN DEL CESAR,MADRUGADA
NEIVA (CT),MADRUGADA
NEIVA (CT),MADRUGADA
NEIVA (CT),TARDE
NEIVA (CT),MADRUGADA
PITALITO,MANHANA
CIENAGA,MOVILIZACIONMATUTINA
GRANADA,MADRUGADA
PUERTO RICO,MADRUGADA
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),ALMUERZO
VILLAVICENCIO (CT),TARDE
