MUNICIPIO,MARCA
LETICIA (CT),SAMSUNG
BELLO,SAMSUNG
BELLO,LENOVO
BELLO,SAMSUNG
BELLO,APPLE
CAUCASIA,SAMSUNG
ENVIGADO,MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
NECHI,MOTOROLA
PUERTO TRIUNFO,SAMSUNG
RIONEGRO,MOTOROLA
SONSON,MOTOROLA
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),MOTOROLA
BARRANQUILLA (CT),ALCATEL
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),LG
BARRANQUILLA (CT),SAMSUNG
JUAN DE ACOSTA,SAMSUNG
CARTAGENA (CT),APPLE
CARTAGENA (CT),SAMSUNG
CARTAGENA (CT),MOTOROLA
CARTAGENA (CT),SAMSUNG
MAGANGUE,SAMSUNG
SAN JUAN NEPOMUCENO,LG
SAN MATEO,OTRA
CHINCHINA,HUAWEI
LA DORADA,SAMSUNG
MANIZALES (CT),NOKIA
MANIZALES (CT),HUAWEI
FLORENCIA (CT),LG
POPAYAN (CT),AZUMI
POPAYAN (CT),ZTE
SANTANDER DE QUILICHAO,AZUMI
AGUACHICA,SAMSUNG
VALLEDUPAR (CT),SAMSUNG
QUIBDO (CT),HUAWEI
QUIBDO (CT),ALCATEL
MONTELIBANO,HUAWEI
MONTELIBANO,SAMSUNG
MONTERIA (CT),MOTOROLA
MONTERIA (CT),OTRA
MONTERIA (CT),SONY
MONTERIA (CT),HUAWEI
SAHAGUN,BLU
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
FACATATIVA,SAMSUNG
FUSAGASUGA,NOKIA
GIRARDOT,-
MAICAO,SAMSUNG
RIOHACHA (CT),HUAWEI
RIOHACHA (CT),SAMSUNG
SAN JUAN DEL CESAR,HUAWEI
NEIVA (CT),SAMSUNG
NEIVA (CT),-
NEIVA (CT),LG
