MUNICIPIO,MOVILAGRESOR
LETICIA (CT),A PIE
BELLO,A PIE
BELLO,A PIE
BELLO,MOTOCICLETA
BELLO,MOTOCICLETA
CAUCASIA,MOTOCICLETA
ENVIGADO,MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
NECHI,A PIE
PUERTO TRIUNFO,A PIE
RIONEGRO,A PIE
SONSON,A PIE
BARRANQUILLA (CT),MOTOCICLETA
BARRANQUILLA (CT),VEHICULO
BARRANQUILLA (CT),MOTOCICLETA
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
JUAN DE ACOSTA,A PIE
CARTAGENA (CT),A PIE
CARTAGENA (CT),MOTOCICLETA
CARTAGENA (CT),MOTOCICLETA
CARTAGENA (CT),A PIE
MAGANGUE,A PIE
SAN JUAN NEPOMUCENO,A PIE
SAN MATEO,A PIE
CHINCHINA,A PIE
LA DORADA,A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
FLORENCIA (CT),A PIE
POPAYAN (CT),A PIE
POPAYAN (CT),A PIE
SANTANDER DE QUILICHAO,A PIE
AGUACHICA,MOTOCICLETA
VALLEDUPAR (CT),MOTOCICLETA
QUIBDO (CT),A PIE
QUIBDO (CT),A PIE
MONTELIBANO,A PIE
MONTELIBANO,MOTOCICLETA
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),MOTOCICLETA
SAHAGUN,MOTOCICLETA
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),BICICLETA
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
FACATATIVA,A PIE
FUSAGASUGA,A PIE
GIRARDOT,MOTOCICLETA
MAICAO,MOTOCICLETA
RIOHACHA (CT),MOTOCICLETA
RIOHACHA (CT),A PIE
SAN JUAN DEL CESAR,A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),MOTOCICLETA
NEIVA (CT),A PIE
PITALITO,A PIE
CIENAGA,MOTOCICLETA
GRANADA,A PIE
PUERTO RICO,A PIE
VILLAVICENCIO (CT),TRANSPORTE PUBLICO
VILLAVICENCIO (CT),BICICLETA
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),MOTOCICLETA
GUACHUCAL,A PIE
IPIALES,A PIE
IPIALES,TRANSPORTE PUBLICO
PASTO (CT),MOTOCICLETA
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),MOTOCICLETA
PASTO (CT),A PIE
PASTO (CT),MOTOCICLETA
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
TUQUERRES,A PIE
CUCUTA (CT),A PIE
VILLA DEL ROSARIO,A PIE
SAN MIGUEL,A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),TRANSPORTE PUBLICO
QUIMBAYA,A PIE
QUIMBAYA,A PIE
DOSQUEBRADAS,A PIE
PEREIRA (CT),MOTOCICLETA
SAN ANDRES (CT),MOTOCICLETA
SAN ANDRES (CT),A PIE
SAN ANDRES (CT),A PIE
BARRANCABERMEJA,A PIE
BOLIVAR,A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
GIRON,MOTOCICLETA
GIRON,A PIE
PIEDECUESTA,A PIE
PIEDECUESTA,A PIE
PIEDECUESTA,A PIE
SAN GIL,A PIE
SINCELEJO (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
MELGAR,MOTOCICLETA
BUENAVENTURA,TRANSPORTE PUBLICO
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),TRANSPORTE PUBLICO
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CANDELARIA,A PIE
CANDELARIA,MOTOCICLETA
GUACARI,A PIE
PALMIRA,A PIE
PALMIRA,MOTOCICLETA
SEVILLA,A PIE
TULUA,MOTOCICLETA
TULUA,MOTOCICLETA
TULUA,A PIE
TULUA,A PIE
YUMBO,A PIE
YUMBO,MOTOCICLETA
ANDES,A PIE
BARBOSA,A PIE
BELLO,A PIE
BELLO,MOTOCICLETA
BELLO,MOTOCICLETA
ENVIGADO,MOTOCICLETA
ENVIGADO,A PIE
LA ESTRELLA,A PIE
MARINILLA,MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
NECOCLI,A PIE
RIONEGRO,A PIE
BARRANQUILLA (CT),MOTOCICLETA
BARRANQUILLA (CT),TRANSPORTE PUBLICO
LURUACO,A PIE
SOLEDAD,MOTOCICLETA
TURBACO,A PIE
CHIQUINQUIRA,A PIE
CHIQUINQUIRA,MOTOCICLETA
CHIQUINQUIRA,A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
VILLAMARIA,A PIE
FLORENCIA (CT),A PIE
FLORENCIA (CT),MOTOCICLETA
SAN VICENTE DEL CAGUAN,A PIE
TAURAMENA,A PIE
YOPAL (CT),A PIE
PUERTO TEJADA,A PIE
VALLEDUPAR (CT),MOTOCICLETA
VALLEDUPAR (CT),MOTOCICLETA
VALLEDUPAR (CT),MOTOCICLETA
QUIBDO (CT),A PIE
MONTERIA (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
