MUNICIPIO,NACIONALIDAD
LETICIA (CT),COLOMBIA
BELLO,COLOMBIA
BELLO,COLOMBIA
BELLO,COLOMBIA
BELLO,COLOMBIA
CAUCASIA,COLOMBIA
ENVIGADO,COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
MEDELLIN (CT),COLOMBIA
NECHI,COLOMBIA
PUERTO TRIUNFO,COLOMBIA
RIONEGRO,COLOMBIA
SONSON,COLOMBIA
BARRANQUILLA (CT),COLOMBIA
BARRANQUILLA (CT),COLOMBIA
BARRANQUILLA (CT),COLOMBIA
BARRANQUILLA (CT),COLOMBIA
BARRANQUILLA (CT),COLOMBIA
BARRANQUILLA (CT),COLOMBIA
BARRANQUILLA (CT),COLOMBIA
JUAN DE ACOSTA,COLOMBIA
CARTAGENA (CT),COLOMBIA
CARTAGENA (CT),COLOMBIA
CARTAGENA (CT),COLOMBIA
CARTAGENA (CT),COLOMBIA
MAGANGUE,COLOMBIA
SAN JUAN NEPOMUCENO,COLOMBIA
SAN MATEO,COLOMBIA
CHINCHINA,COLOMBIA
LA DORADA,COLOMBIA
MANIZALES (CT),COLOMBIA
MANIZALES (CT),COLOMBIA
FLORENCIA (CT),COLOMBIA
POPAYAN (CT),COLOMBIA
POPAYAN (CT),COLOMBIA
SANTANDER DE QUILICHAO,COLOMBIA
AGUACHICA,COLOMBIA
VALLEDUPAR (CT),COLOMBIA
QUIBDO (CT),COLOMBIA
QUIBDO (CT),COLOMBIA
MONTELIBANO,COLOMBIA
MONTELIBANO,COLOMBIA
MONTERIA (CT),COLOMBIA
MONTERIA (CT),COLOMBIA
MONTERIA (CT),COLOMBIA
MONTERIA (CT),COLOMBIA
SAHAGUN,COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
BOGOTA D.C. (CT),COLOMBIA
FACATATIVA,-
FUSAGASUGA,COLOMBIA
GIRARDOT,COLOMBIA
MAICAO,COLOMBIA
RIOHACHA (CT),COLOMBIA
RIOHACHA (CT),COLOMBIA
SAN JUAN DEL CESAR,COLOMBIA
NEIVA (CT),COLOMBIA
NEIVA (CT),COLOMBIA
NEIVA (CT),COLOMBIA
NEIVA (CT),COLOMBIA
PITALITO,COLOMBIA
CIENAGA,COLOMBIA
GRANADA,COLOMBIA
PUERTO RICO,COLOMBIA
VILLAVICENCIO (CT),COLOMBIA
VILLAVICENCIO (CT),COLOMBIA
VILLAVICENCIO (CT),COLOMBIA
VILLAVICENCIO (CT),COLOMBIA
VILLAVICENCIO (CT),COLOMBIA
VILLAVICENCIO (CT),COLOMBIA
VILLAVICENCIO (CT),COLOMBIA
GUACHUCAL,COLOMBIA
IPIALES,COLOMBIA
IPIALES,COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
PASTO (CT),COLOMBIA
TUQUERRES,COLOMBIA
CUCUTA (CT),COLOMBIA
VILLA DEL ROSARIO,COLOMBIA
SAN MIGUEL,COLOMBIA
ARMENIA (CT),COLOMBIA
ARMENIA (CT),COLOMBIA
QUIMBAYA,COLOMBIA
QUIMBAYA,COLOMBIA
DOSQUEBRADAS,COLOMBIA
PEREIRA (CT),COLOMBIA
SAN ANDRES (CT),COLOMBIA
SAN ANDRES (CT),COLOMBIA
SAN ANDRES (CT),COLOMBIA
