MUNICIPIO,SEXO
LETICIA (CT),FEMENINO
BELLO,FEMENINO
BELLO,MASCULINO
BELLO,MASCULINO
BELLO,MASCULINO
CAUCASIA,FEMENINO
ENVIGADO,MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
NECHI,MASCULINO
PUERTO TRIUNFO,MASCULINO
RIONEGRO,FEMENINO
SONSON,FEMENINO
BARRANQUILLA (CT),FEMENINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
JUAN DE ACOSTA,FEMENINO
CARTAGENA (CT),FEMENINO
CARTAGENA (CT),MASCULINO
CARTAGENA (CT),FEMENINO
CARTAGENA (CT),MASCULINO
MAGANGUE,MASCULINO
SAN JUAN NEPOMUCENO,FEMENINO
SAN MATEO,MASCULINO
CHINCHINA,MASCULINO
LA DORADA,FEMENINO
MANIZALES (CT),FEMENINO
MANIZALES (CT),MASCULINO
FLORENCIA (CT),MASCULINO
POPAYAN (CT),MASCULINO
POPAYAN (CT),MASCULINO
SANTANDER DE QUILICHAO,FEMENINO
AGUACHICA,FEMENINO
VALLEDUPAR (CT),FEMENINO
QUIBDO (CT),MASCULINO
QUIBDO (CT),FEMENINO
MONTELIBANO,FEMENINO
MONTELIBANO,FEMENINO
MONTERIA (CT),MASCULINO
MONTERIA (CT),MASCULINO
MONTERIA (CT),MASCULINO
MONTERIA (CT),FEMENINO
SAHAGUN,MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
FACATATIVA,-
FUSAGASUGA,MASCULINO
GIRARDOT,FEMENINO
MAICAO,MASCULINO
RIOHACHA (CT),MASCULINO
RIOHACHA (CT),FEMENINO
SAN JUAN DEL CESAR,FEMENINO
NEIVA (CT),MASCULINO
NEIVA (CT),MASCULINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
PITALITO,MASCULINO
CIENAGA,FEMENINO
GRANADA,MASCULINO
PUERTO RICO,MASCULINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
