MUNICIPIO,SITIO
LETICIA (CT),CASAS DE HABITACION
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
CAUCASIA,VIAS PUBLICAS
ENVIGADO,VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),CASAS DE HABITACION
NECHI,DISCOTECAS
PUERTO TRIUNFO,CENTRO RECREACIONAL
RIONEGRO,VIAS PUBLICAS
SONSON,"BARES, CANTINAS Y SIMILARES"
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VEHICULO
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),DENTRO DE LA VIVIENDA
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
JUAN DE ACOSTA,FRENTE A RESIDENCIAS - VIA PUBLICA
CARTAGENA (CT),CENTRO COMERCIAL
CARTAGENA (CT),VIAS PUBLICAS
CARTAGENA (CT),VIAS PUBLICAS
CARTAGENA (CT),CASAS DE HABITACION
MAGANGUE,VIAS PUBLICAS
SAN JUAN NEPOMUCENO,VIAS PUBLICAS
SAN MATEO,"HOTELES, RESIDENCIAS, Y SIMILARES."
CHINCHINA,FRENTE A DISCOTECAS
LA DORADA,VIAS PUBLICAS
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),VIAS PUBLICAS
FLORENCIA (CT),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
SANTANDER DE QUILICHAO,VIAS PUBLICAS
AGUACHICA,VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
QUIBDO (CT),CASAS DE HABITACION
QUIBDO (CT),CASAS DE HABITACION
MONTELIBANO,PISCINA
MONTELIBANO,VIAS PUBLICAS
