MUNICIPIO,ZONA
LETICIA (CT),URBANA
BELLO,URBANA
BELLO,RURAL
BELLO,URBANA
BELLO,RURAL
CAUCASIA,URBANA
ENVIGADO,URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
NECHI,URBANA
PUERTO TRIUNFO,RURAL
RIONEGRO,URBANA
SONSON,RURAL
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
JUAN DE ACOSTA,URBANA
CARTAGENA (CT),URBANA
CARTAGENA (CT),URBANA
CARTAGENA (CT),URBANA
CARTAGENA (CT),URBANA
MAGANGUE,URBANA
SAN JUAN NEPOMUCENO,URBANA
SAN MATEO,URBANA
CHINCHINA,URBANA
LA DORADA,URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
FLORENCIA (CT),URBANA
POPAYAN (CT),RURAL
POPAYAN (CT),URBANA
SANTANDER DE QUILICHAO,URBANA
AGUACHICA,URBANA
VALLEDUPAR (CT),URBANA
QUIBDO (CT),URBANA
QUIBDO (CT),URBANA
MONTELIBANO,URBANA
MONTELIBANO,URBANA
MONTERIA (CT),RURAL
MONTERIA (CT),URBANA
MONTERIA (CT),URBANA
MONTERIA (CT),URBANA
SAHAGUN,URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
FACATATIVA,URBANA
FUSAGASUGA,URBANA
GIRARDOT,URBANA
MAICAO,URBANA
RIOHACHA (CT),URBANA
RIOHACHA (CT),RURAL
SAN JUAN DEL CESAR,URBANA
NEIVA (CT),URBANA
NEIVA (CT),URBANA
NEIVA (CT),URBANA
NEIVA (CT),URBANA
PITALITO,URBANA
CIENAGA,URBANA
GRANADA,URBANA
PUERTO RICO,URBANA
VILLAVICENCIO (CT),RURAL
VILLAVICENCIO (CT),RURAL
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),RURAL
GUACHUCAL,RURAL
IPIALES,RURAL
IPIALES,RURAL
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
TUQUERRES,URBANA
CUCUTA (CT),URBANA
VILLA DEL ROSARIO,URBANA
SAN MIGUEL,RURAL
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
QUIMBAYA,URBANA
QUIMBAYA,URBANA
DOSQUEBRADAS,URBANA
PEREIRA (CT),URBANA
SAN ANDRES (CT),URBANA
SAN ANDRES (CT),URBANA
SAN ANDRES (CT),URBANA
BARRANCABERMEJA,URBANA
BOLIVAR,URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
GIRON,URBANA
GIRON,URBANA
PIEDECUESTA,URBANA
PIEDECUESTA,URBANA
PIEDECUESTA,URBANA
SAN GIL,URBANA
SINCELEJO (CT),URBANA
IBAGUE (CT),RURAL
IBAGUE (CT),RURAL
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
MELGAR,URBANA
BUENAVENTURA,URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CANDELARIA,URBANA
CANDELARIA,RURAL
GUACARI,RURAL
PALMIRA,URBANA
PALMIRA,URBANA
SEVILLA,URBANA
TULUA,URBANA
TULUA,URBANA
TULUA,URBANA
TULUA,URBANA
YUMBO,URBANA
YUMBO,URBANA
ANDES,URBANA
BARBOSA,RURAL
BELLO,URBANA
BELLO,URBANA
BELLO,URBANA
ENVIGADO,URBANA
ENVIGADO,URBANA
LA ESTRELLA,URBANA
MARINILLA,URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
NECOCLI,URBANA
RIONEGRO,URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
LURUACO,URBANA
SOLEDAD,URBANA
TURBACO,URBANA
CHIQUINQUIRA,RURAL
CHIQUINQUIRA,URBANA
CHIQUINQUIRA,URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
VILLAMARIA,URBANA
FLORENCIA (CT),URBANA
FLORENCIA (CT),URBANA
SAN VICENTE DEL CAGUAN,RURAL
TAURAMENA,RURAL
YOPAL (CT),URBANA
PUERTO TEJADA,URBANA
VALLEDUPAR (CT),URBANA
VALLEDUPAR (CT),URBANA
VALLEDUPAR (CT),URBANA
QUIBDO (CT),URBANA
MONTERIA (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
MAICAO,URBANA
MAICAO,URBANA
VILLANUEVA,URBANA
SAN JOSE DEL GUAVIARE (CT),URBANA
GARZON,RURAL
NEIVA (CT),URBANA
NEIVA (CT),URBANA
NEIVA (CT),URBANA
SANTA MARTA (CT),URBANA
SANTA MARTA (CT),URBANA
SANTA MARTA (CT),URBANA
SANTA MARTA (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
IPIALES,URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
CUCUTA (CT),URBANA
CUCUTA (CT),URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
QUIMBAYA,URBANA
QUIMBAYA,URBANA
BELEN DE UMBRIA,URBANA
BELEN DE UMBRIA,URBANA
BELEN DE UMBRIA,URBANA
DOSQUEBRADAS,URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
BARRANCABERMEJA,URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
FLORIDABLANCA,URBANA
FLORIDABLANCA,URBANA
ALVARADO,RURAL
CAJAMARCA,RURAL
ESPINAL,RURAL
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CANDELARIA,URBANA
CANDELARIA,URBANA
CANDELARIA,URBANA
GUADALAJARA DE BUGA,URBANA
JAMUNDI,URBANA
PALMIRA,URBANA
PALMIRA,URBANA
PALMIRA,URBANA
SEVILLA,URBANA
BARBOSA,RURAL
BELLO,URBANA
CAUCASIA,URBANA
CISNEROS,RURAL
COPACABANA,URBANA
ITAGUI,URBANA
ITAGUI,RURAL
ITAGUI,URBANA
ITAGUI,URBANA
MARINILLA,URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
CALARCA,URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
RETIRO,URBANA
RIONEGRO,URBANA
RIONEGRO,RURAL
RIONEGRO,RURAL
RIONEGRO,RURAL
SABANETA,URBANA
SANTO DOMINGO,RURAL
SANTO DOMINGO,RURAL
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),RURAL
BARRANQUILLA (CT),RURAL
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
DUITAMA,URBANA
SOGAMOSO,URBANA
TUNJA (CT),URBANA
LA DORADA,URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
FLORENCIA (CT),URBANA
FLORENCIA (CT),URBANA
MANI,URBANA
MANI,URBANA
MANI,URBANA
MANI,URBANA
MANI,URBANA
MONTERREY,URBANA
PAZ DE ARIPORO,URBANA
PAZ DE ARIPORO,URBANA
PATIA,URBANA
POPAYAN (CT),URBANA
POPAYAN (CT),URBANA
POPAYAN (CT),URBANA
POPAYAN (CT),URBANA
POPAYAN (CT),URBANA
AYAPEL,URBANA
MONTERIA (CT),RURAL
MONTERIA (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
MAICAO,URBANA
RIOHACHA (CT),URBANA
RIOHACHA (CT),URBANA
VILLANUEVA,URBANA
NEIVA (CT),URBANA
NEIVA (CT),URBANA
PITALITO,URBANA
TIMANA,RURAL
SANTA MARTA (CT),URBANA
SANTA MARTA (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),RURAL
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,RURAL
IPIALES,URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
CUCUTA (CT),URBANA
CUCUTA (CT),URBANA
MOCOA (CT),RURAL
PUERTO ASIS,URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
CALARCA,URBANA
DOSQUEBRADAS,URBANA
LA VIRGINIA,URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),RURAL
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
SANTA ROSA DE CABAL,URBANA
BARRANCABERMEJA,URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
ESPINAL,URBANA
ESPINAL,URBANA
GUAMO,URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
LERIDA,URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),RURAL
CALI (CT),URBANA
CANDELARIA,URBANA
PALMIRA,RURAL
TULUA,URBANA
TULUA,URBANA
YUMBO,RURAL
YUMBO,RURAL
YUMBO,URBANA
LETICIA (CT),URBANA
LETICIA (CT),URBANA
ABEJORRAL,URBANA
BELLO,URBANA
ITAGUI,URBANA
MARINILLA,URBANA
MARINILLA,URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
MEDELLIN (CT),URBANA
RIONEGRO,URBANA
RIONEGRO,RURAL
RIONEGRO,RURAL
ARAUCA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
BARRANQUILLA (CT),URBANA
SOGAMOSO,URBANA
TIBASOSA,RURAL
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
MANIZALES (CT),URBANA
FLORENCIA (CT),URBANA
FLORENCIA (CT),URBANA
FLORENCIA (CT),URBANA
FLORENCIA (CT),URBANA
FLORENCIA (CT),URBANA
SANTANDER DE QUILICHAO,URBANA
AGUACHICA,URBANA
VALLEDUPAR (CT),URBANA
VALLEDUPAR (CT),URBANA
QUIBDO (CT),URBANA
QUIBDO (CT),URBANA
TIERRALTA,RURAL
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
BOGOTA D.C. (CT),URBANA
NILO,RURAL
MAICAO,URBANA
MAICAO,URBANA
MAICAO,URBANA
MAICAO,URBANA
NEIVA (CT),URBANA
NEIVA (CT),URBANA
NEIVA (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
VILLAVICENCIO (CT),URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
IPIALES,URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
PASTO (CT),URBANA
SAN ANDRES DE TUMACO,URBANA
TUQUERRES,URBANA
CUCUTA (CT),URBANA
CUCUTA (CT),URBANA
CUCUTA (CT),URBANA
CUCUTA (CT),URBANA
OCANHA,URBANA
SAN CAYETANO,URBANA
MOCOA (CT),URBANA
MOCOA (CT),URBANA
MOCOA (CT),URBANA
SANTIAGO,URBANA
ARMENIA (CT),URBANA
ARMENIA (CT),URBANA
CALARCA,URBANA
CALARCA,URBANA
DOSQUEBRADAS,URBANA
PEREIRA (CT),URBANA
PEREIRA (CT),URBANA
BARRANCABERMEJA,URBANA
BARRANCABERMEJA,URBANA
BARRANCABERMEJA,URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
BUCARAMANGA (CT),URBANA
CALI (CT),URBANA
BUCARAMANGA (CT),URBANA
FLORIDABLANCA,URBANA
FLORIDABLANCA,URBANA
GIRON,URBANA
PIEDECUESTA,URBANA
SANTIAGO DE TOLU,URBANA
SINCELEJO (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
IBAGUE (CT),URBANA
MELGAR,URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),RURAL
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
CALI (CT),URBANA
PALMIRA,URBANA
PALMIRA,URBANA
PALMIRA,URBANA
PUERTO CARRENHO (CT),URBANA
LETICIA (CT),URBANA
ABEJORRAL,URBANA
APARTADO,URBANA
BELLO,URBANA
BELLO,URBANA
BELLO,URBANA
CHIGORODO,URBANA
ENVIGADO,URBANA
ENVIGADO,URBANA
ITAGUI,URBANA
ITAGUI,URBANA
ITAGUI,URBANA
LA ESTRELLA,URBANA
MEDELLIN (CT),URBANA
