NACIONALIDAD,MARCA
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,LENOVO
COLOMBIA,SAMSUNG
COLOMBIA,APPLE
COLOMBIA,SAMSUNG
COLOMBIA,MOTOROLA
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,HUAWEI
COLOMBIA,SAMSUNG
COLOMBIA,LG
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,LG
COLOMBIA,HUAWEI
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,MOTOROLA
COLOMBIA,SAMSUNG
COLOMBIA,MOTOROLA
COLOMBIA,MOTOROLA
COLOMBIA,SAMSUNG
COLOMBIA,MOTOROLA
COLOMBIA,ALCATEL
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,LG
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,APPLE
COLOMBIA,SAMSUNG
COLOMBIA,MOTOROLA
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,LG
COLOMBIA,OTRA
COLOMBIA,HUAWEI
COLOMBIA,SAMSUNG
COLOMBIA,NOKIA
COLOMBIA,HUAWEI
COLOMBIA,LG
COLOMBIA,AZUMI
COLOMBIA,ZTE
COLOMBIA,AZUMI
COLOMBIA,SAMSUNG
COLOMBIA,SAMSUNG
COLOMBIA,HUAWEI
COLOMBIA,ALCATEL
COLOMBIA,HUAWEI
COLOMBIA,SAMSUNG
COLOMBIA,MOTOROLA
COLOMBIA,OTRA
COLOMBIA,SONY
COLOMBIA,HUAWEI
COLOMBIA,BLU
COLOMBIA,-
COLOMBIA,-
COLOMBIA,-
COLOMBIA,-
COLOMBIA,-
COLOMBIA,-
COLOMBIA,-
COLOMBIA,-
-,SAMSUNG
COLOMBIA,NOKIA
COLOMBIA,-
COLOMBIA,SAMSUNG
COLOMBIA,HUAWEI
COLOMBIA,SAMSUNG
COLOMBIA,HUAWEI
COLOMBIA,SAMSUNG
COLOMBIA,-
COLOMBIA,LG
COLOMBIA,SAMSUNG
COLOMBIA,SONY
COLOMBIA,HUAWEI
COLOMBIA,SAMSUNG
