SITIO,ARMA
CASAS DE HABITACION,CONTUNDENTES
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
CASAS DE HABITACION,CONTUNDENTES
DISCOTECAS,SIN EMPLEO DE ARMAS
CENTRO RECREACIONAL,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
"BARES, CANTINAS Y SIMILARES",SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VEHICULO,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
DENTRO DE LA VIVIENDA,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
FRENTE A RESIDENCIAS - VIA PUBLICA,CONTUNDENTES
CENTRO COMERCIAL,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,PERRO
CASAS DE HABITACION,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
"HOTELES, RESIDENCIAS, Y SIMILARES.",SIN EMPLEO DE ARMAS
FRENTE A DISCOTECAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,ESCOPOLAMINA
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
PISCINA,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE
APARTAMENTO,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
RESTAURANTES,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
FRENTE A ALMACEN - VIA PUBLICA,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
CASAS DE HABITACION,LLAVE MAESTRA
CASAS DE HABITACION,CONTUNDENTES
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
DISCOTECAS,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
INTERIOR VEHICULO SERVICIO PUBLICO,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
CENTRO COMERCIAL,CONTUNDENTES
PARQUES,CONTUNDENTES
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,CONTUNDENTES
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
TERMINAL DE TRANSPORTES,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
PARQUES,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE
PARQUES,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
SOBRE ANDEN - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE
CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
CASAS DE HABITACION,CONTUNDENTES
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
PARQUES,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
CANCHA DE FUTBOL,ARMA BLANCA / CORTOPUNZANTE
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
INTERIOR VEHICULO PARTICULAR,SIN EMPLEO DE ARMAS
INTERIOR VEHICULO PARTICULAR,SIN EMPLEO DE ARMAS
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
RESTAURANTES,SIN EMPLEO DE ARMAS
"HOTELES, RESIDENCIAS, Y SIMILARES.",ARMA BLANCA / CORTOPUNZANTE
BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO
CONJUNTO RESIDENCIAL,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
CASAS DE HABITACION,SIN EMPLEO DE ARMAS
BOMBA DE GASOLINA,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
DENTRO DE LA VIVIENDA,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
PARQUEADERO,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
CASAS DE HABITACION,ARMA DE FUEGO
PARQUEADERO,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
PARQUES,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
RESTAURANTES,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
TERMINAL DE TRANSPORTES,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
TERMINAL DE TRANSPORTES,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
"DROGUERIAS, FARMACIAS",SIN EMPLEO DE ARMAS
SUPERMERCADOS,CONTUNDENTES
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
INTERIOR VEHICULO SERVICIO PUBLICO,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
ZONAS AZULES - VIA PUBLICA,CONTUNDENTES
APARTAMENTO,LLAVE MAESTRA
APARTAMENTO,LLAVE MAESTRA
INTERIOR VEHICULO PARTICULAR,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
CANCHA DE FUTBOL,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
RIOS,SIN EMPLEO DE ARMAS
RIOS,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
ALMACENES,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS
SOBRE ANDEN - VIA PUBLICA,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
TRANSPORTE PUBLICO,ESCOPOLAMINA
PARQUES,ARMA BLANCA / CORTOPUNZANTE
OFICINAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA DE FUEGO
FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
PISCINA,CONTUNDENTES
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
INTERIOR VEHICULO SERVICIO PUBLICO,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
CASAS DE HABITACION,CONTUNDENTES
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA DE FUEGO
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,CONTUNDENTES
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,SIN EMPLEO DE ARMAS
VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE
