SITIO,EDAD
CASAS DE HABITACION,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOMAYOR
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTOJOVEN
CASAS DE HABITACION,ADULTO
DISCOTECAS,ADULTOJOVEN
CENTRO RECREACIONAL,ADULTOMAYOR
VIAS PUBLICAS,ADULTO
"BARES, CANTINAS Y SIMILARES",ADULTOJOVEN
VIAS PUBLICAS,ADULTOMAYOR
VEHICULO,ADULTOJOVEN
VIAS PUBLICAS,ANCIANO
DENTRO DE LA VIVIENDA,ADULTO
VIAS PUBLICAS,ADULTOMAYOR
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
FRENTE A RESIDENCIAS - VIA PUBLICA,ADULTOJOVEN
CENTRO COMERCIAL,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTOJOVEN
CASAS DE HABITACION,ADULTO
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTO
"HOTELES, RESIDENCIAS, Y SIMILARES.",ADULTOJOVEN
FRENTE A DISCOTECAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ANCIANO
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOMAYOR
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
CASAS DE HABITACION,ADULTO
CASAS DE HABITACION,ADULTOJOVEN
PISCINA,ADOLESCENTE
VIAS PUBLICAS,ADULTOJOVEN
FINCAS Y SIMILARES,ADULTO
APARTAMENTO,ADULTOJOVEN
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOJOVEN
CICLO RUTA,ADULTOMAYOR
VIAS PUBLICAS,ADULTO
VIAS PUBLICAS,ADULTOMAYOR
VIAS PUBLICAS,ADULTOJOVEN
VIAS PUBLICAS,ADULTO
RESTAURANTES,OTRA
VIAS PUBLICAS,ADULTOMAYOR
VIAS PUBLICAS,ADULTO
FRENTE A ALMACEN - VIA PUBLICA,ADULTO
VIAS PUBLICAS,ADULTO
CASAS DE HABITACION,ADULTOJOVEN
CASAS DE HABITACION,ADULTO
