SITIO,MOVILVICTIMA
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,VEHICULO
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,TRANSPORTE PUBLICO
VIAS PUBLICAS,MOTOCICLETA
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,MOTOCICLETA
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
DISCOTECAS,A PIE
CENTRO RECREACIONAL,A PIE
VIAS PUBLICAS,A PIE
"BARES, CANTINAS Y SIMILARES",A PIE
VIAS PUBLICAS,A PIE
VEHICULO,VEHICULO
VIAS PUBLICAS,A PIE
DENTRO DE LA VIVIENDA,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
FRENTE A RESIDENCIAS - VIA PUBLICA,A PIE
CENTRO COMERCIAL,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
"HOTELES, RESIDENCIAS, Y SIMILARES.",A PIE
FRENTE A DISCOTECAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,MOTOCICLETA
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
CASAS DE HABITACION,A PIE
PISCINA,A PIE
VIAS PUBLICAS,A PIE
FINCAS Y SIMILARES,A PIE
APARTAMENTO,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
CICLO RUTA,BICICLETA
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
RESTAURANTES,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
FRENTE A ALMACEN - VIA PUBLICA,A PIE
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,MOTOCICLETA
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
DISCOTECAS,A PIE
VIAS PUBLICAS,A PIE
INTERIOR VEHICULO SERVICIO PUBLICO,A PIE
VIAS PUBLICAS,A PIE
CENTRO COMERCIAL,A PIE
PARQUES,A PIE
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,MOTOCICLETA
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,TRANSPORTE PUBLICO
VIAS PUBLICAS,A PIE
TERMINAL DE TRANSPORTES,A PIE
VIAS PUBLICAS,A PIE
PARQUES,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
FRENTE A RESIDENCIAS - VIA PUBLICA,A PIE
PARQUES,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,TRANSPORTE PUBLICO
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
SOBRE ANDEN - VIA PUBLICA,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
PARQUES,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
CANCHA DE FUTBOL,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
VIAS PUBLICAS,A PIE
INTERIOR VEHICULO PARTICULAR,A PIE
INTERIOR VEHICULO PARTICULAR,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
CASAS DE HABITACION,A PIE
VIAS PUBLICAS,A PIE
