SITIO,NACIONALIDAD
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
DISCOTECAS,COLOMBIA
CENTRO RECREACIONAL,COLOMBIA
VIAS PUBLICAS,COLOMBIA
"BARES, CANTINAS Y SIMILARES",COLOMBIA
VIAS PUBLICAS,COLOMBIA
VEHICULO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
DENTRO DE LA VIVIENDA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A RESIDENCIAS - VIA PUBLICA,COLOMBIA
CENTRO COMERCIAL,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
"HOTELES, RESIDENCIAS, Y SIMILARES.",COLOMBIA
FRENTE A DISCOTECAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
CASAS DE HABITACION,COLOMBIA
PISCINA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FINCAS Y SIMILARES,COLOMBIA
APARTAMENTO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CICLO RUTA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
RESTAURANTES,-
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A ALMACEN - VIA PUBLICA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
DISCOTECAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
INTERIOR VEHICULO SERVICIO PUBLICO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CENTRO COMERCIAL,COLOMBIA
PARQUES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
TERMINAL DE TRANSPORTES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
PARQUES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A RESIDENCIAS - VIA PUBLICA,COLOMBIA
PARQUES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
SOBRE ANDEN - VIA PUBLICA,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
PARQUES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CANCHA DE FUTBOL,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
INTERIOR VEHICULO PARTICULAR,COLOMBIA
INTERIOR VEHICULO PARTICULAR,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
RESTAURANTES,COLOMBIA
"HOTELES, RESIDENCIAS, Y SIMILARES.",COLOMBIA
BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A RESIDENCIAS - VIA PUBLICA,COLOMBIA
CONJUNTO RESIDENCIAL,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
BOMBA DE GASOLINA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
DENTRO DE LA VIVIENDA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,EUROPA
VIAS PUBLICAS,EUROPA
DENTRO DE LA VIVIENDA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
PARQUEADERO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,-
PARQUEADERO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
PARQUES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
RESTAURANTES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
TERMINAL DE TRANSPORTES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
TERMINAL DE TRANSPORTES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
"DROGUERIAS, FARMACIAS",COLOMBIA
SUPERMERCADOS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
INTERIOR VEHICULO SERVICIO PUBLICO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
ZONAS AZULES - VIA PUBLICA,COLOMBIA
APARTAMENTO,COLOMBIA
APARTAMENTO,COLOMBIA
INTERIOR VEHICULO PARTICULAR,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CANCHA DE FUTBOL,COLOMBIA
VIAS PUBLICAS,COLOMBIA
RIOS,COLOMBIA
RIOS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
ALMACENES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
TRANSPORTE PUBLICO,COLOMBIA
SOBRE ANDEN - VIA PUBLICA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
TRANSPORTE PUBLICO,COLOMBIA
PARQUES,COLOMBIA
OFICINAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,OCEANIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A RESIDENCIAS - VIA PUBLICA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
PISCINA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
INTERIOR VEHICULO SERVICIO PUBLICO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,EUROPA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A RESIDENCIAS - VIA PUBLICA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A RESIDENCIAS - VIA PUBLICA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE A COLEGIO - VIA PUBLICA,COLOMBIA
RESTAURANTES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
"BARES, CANTINAS Y SIMILARES",COLOMBIA
"BARES, CANTINAS Y SIMILARES",COLOMBIA
"BARES, CANTINAS Y SIMILARES",COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FRENTE CENTRO COMERCIAL,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
INTERIOR VEHICULO SERVICIO PUBLICO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
RIOS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
FINCAS Y SIMILARES,COLOMBIA
VIAS PUBLICAS,COLOMBIA
SEMAFORO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,OCEANIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
"HOTELES, RESIDENCIAS, Y SIMILARES.",COLOMBIA
VIAS PUBLICAS,COLOMBIA
CASAS DE HABITACION,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
INTERIOR VEHICULO SERVICIO PUBLICO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
DENTRO DE LA VIVIENDA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
ESTACION DEL METRO,COLOMBIA
APARTAMENTO,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VEHICULO,COLOMBIA
FRENTE A RESIDENCIAS - VIA PUBLICA,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
OFICINAS,COLOMBIA
VIAS PUBLICAS,COLOMBIA
