SITIO,SEXO
CASAS DE HABITACION,FEMENINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,FEMENINO
CASAS DE HABITACION,FEMENINO
DISCOTECAS,MASCULINO
CENTRO RECREACIONAL,MASCULINO
VIAS PUBLICAS,FEMENINO
"BARES, CANTINAS Y SIMILARES",FEMENINO
VIAS PUBLICAS,FEMENINO
VEHICULO,MASCULINO
VIAS PUBLICAS,MASCULINO
DENTRO DE LA VIVIENDA,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
FRENTE A RESIDENCIAS - VIA PUBLICA,FEMENINO
CENTRO COMERCIAL,FEMENINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,FEMENINO
CASAS DE HABITACION,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,FEMENINO
"HOTELES, RESIDENCIAS, Y SIMILARES.",MASCULINO
FRENTE A DISCOTECAS,MASCULINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,MASCULINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,FEMENINO
VIAS PUBLICAS,FEMENINO
CASAS DE HABITACION,MASCULINO
CASAS DE HABITACION,FEMENINO
PISCINA,FEMENINO
VIAS PUBLICAS,FEMENINO
FINCAS Y SIMILARES,MASCULINO
APARTAMENTO,MASCULINO
VIAS PUBLICAS,MASCULINO
