ZONA,ARMA
URBANA,CONTUNDENTES
URBANA,ARMA DE FUEGO
RURAL,ARMA DE FUEGO
URBANA,ARMA DE FUEGO
RURAL,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA DE FUEGO
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,SIN EMPLEO DE ARMAS
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA DE FUEGO
URBANA,ARMA DE FUEGO
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,SIN EMPLEO DE ARMAS
URBANA,SIN EMPLEO DE ARMAS
URBANA,CONTUNDENTES
URBANA,SIN EMPLEO DE ARMAS
RURAL,CONTUNDENTES
URBANA,ARMA BLANCA / CORTOPUNZANTE
RURAL,SIN EMPLEO DE ARMAS
URBANA,ARMA DE FUEGO
URBANA,SIN EMPLEO DE ARMAS
URBANA,ARMA DE FUEGO
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,SIN EMPLEO DE ARMAS
URBANA,ARMA DE FUEGO
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,CONTUNDENTES
URBANA,SIN EMPLEO DE ARMAS
URBANA,CONTUNDENTES
URBANA,PERRO
URBANA,CONTUNDENTES
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,SIN EMPLEO DE ARMAS
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,SIN EMPLEO DE ARMAS
URBANA,CONTUNDENTES
URBANA,ESCOPOLAMINA
URBANA,ARMA DE FUEGO
RURAL,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA DE FUEGO
URBANA,CONTUNDENTES
URBANA,SIN EMPLEO DE ARMAS
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,SIN EMPLEO DE ARMAS
URBANA,SIN EMPLEO DE ARMAS
URBANA,SIN EMPLEO DE ARMAS
URBANA,SIN EMPLEO DE ARMAS
RURAL,ARMA BLANCA / CORTOPUNZANTE
URBANA,CONTUNDENTES
URBANA,ARMA BLANCA / CORTOPUNZANTE
URBANA,ARMA BLANCA / CORTOPUNZANTE
