ZONA,MOVILVICTIMA
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
RURAL,VEHICULO
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,TRANSPORTE PUBLICO
URBANA,MOTOCICLETA
URBANA,A PIE
URBANA,A PIE
URBANA,MOTOCICLETA
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,VEHICULO
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,MOTOCICLETA
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,BICICLETA
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,MOTOCICLETA
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
RURAL,MOTOCICLETA
RURAL,A PIE
RURAL,TRANSPORTE PUBLICO
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,TRANSPORTE PUBLICO
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,TRANSPORTE PUBLICO
URBANA,VEHICULO
URBANA,A PIE
URBANA,A PIE
URBANA,TRANSPORTE PUBLICO
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,MOTOCICLETA
URBANA,A PIE
URBANA,MOTOCICLETA
URBANA,A PIE
RURAL,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
RURAL,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,A PIE
URBANA,MOTOCICLETA
