ZONA,NACIONALIDAD
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,-
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
RURAL,COLOMBIA
RURAL,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
RURAL,COLOMBIA
RURAL,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
URBANA,COLOMBIA
